"Year","Field","FIPS_Code","Value","Units"
"2011","2011 County GDP","47001","4260323","thousands of dollars"
"2012","2012 County GDP","47001","4301721","thousands of dollars"
"2013","2013 County GDP","47001","4301982","thousands of dollars"
"2014","2014 County GDP","47001","4488824","thousands of dollars"
"2015","2015 County GDP","47001","4511619","thousands of dollars"
"2016","2016 County GDP","47001","4611380","thousands of dollars"
"2017","2017 County GDP","47001","4845280","thousands of dollars"
"2018","2018 County GDP","47001","4942990","thousands of dollars"
"2019","2019 County GDP","47001","5224175","thousands of dollars"
"2020","2020 County GDP","47001","5218192","thousands of dollars"
"2011","2011 County GDP","47003","1537912","thousands of dollars"
"2012","2012 County GDP","47003","1648893","thousands of dollars"
"2013","2013 County GDP","47003","1793848","thousands of dollars"
"2014","2014 County GDP","47003","1821293","thousands of dollars"
"2015","2015 County GDP","47003","1811376","thousands of dollars"
"2016","2016 County GDP","47003","1737142","thousands of dollars"
"2017","2017 County GDP","47003","1762773","thousands of dollars"
"2018","2018 County GDP","47003","1874236","thousands of dollars"
"2019","2019 County GDP","47003","2028569","thousands of dollars"
"2020","2020 County GDP","47003","2062513","thousands of dollars"
"2011","2011 County GDP","47005","304604","thousands of dollars"
"2012","2012 County GDP","47005","315202","thousands of dollars"
"2013","2013 County GDP","47005","324223","thousands of dollars"
"2014","2014 County GDP","47005","341445","thousands of dollars"
"2015","2015 County GDP","47005","354930","thousands of dollars"
"2016","2016 County GDP","47005","351926","thousands of dollars"
"2017","2017 County GDP","47005","373086","thousands of dollars"
"2018","2018 County GDP","47005","365695","thousands of dollars"
"2019","2019 County GDP","47005","369261","thousands of dollars"
"2020","2020 County GDP","47005","377573","thousands of dollars"
"2011","2011 County GDP","47007","192872","thousands of dollars"
"2012","2012 County GDP","47007","179744","thousands of dollars"
"2013","2013 County GDP","47007","191461","thousands of dollars"
"2014","2014 County GDP","47007","209059","thousands of dollars"
"2015","2015 County GDP","47007","217769","thousands of dollars"
"2016","2016 County GDP","47007","199696","thousands of dollars"
"2017","2017 County GDP","47007","216265","thousands of dollars"
"2018","2018 County GDP","47007","206260","thousands of dollars"
"2019","2019 County GDP","47007","206513","thousands of dollars"
"2020","2020 County GDP","47007","215606","thousands of dollars"
"2011","2011 County GDP","47009","4061096","thousands of dollars"
"2012","2012 County GDP","47009","4426193","thousands of dollars"
"2013","2013 County GDP","47009","4609887","thousands of dollars"
"2014","2014 County GDP","47009","4656495","thousands of dollars"
"2015","2015 County GDP","47009","4884882","thousands of dollars"
"2016","2016 County GDP","47009","5159962","thousands of dollars"
"2017","2017 County GDP","47009","5550883","thousands of dollars"
"2018","2018 County GDP","47009","5762861","thousands of dollars"
"2019","2019 County GDP","47009","6069878","thousands of dollars"
"2020","2020 County GDP","47009","5875298","thousands of dollars"
"2011","2011 County GDP","47011","3494443","thousands of dollars"
"2012","2012 County GDP","47011","4087820","thousands of dollars"
"2013","2013 County GDP","47011","4232219","thousands of dollars"
"2014","2014 County GDP","47011","4230259","thousands of dollars"
"2015","2015 County GDP","47011","4414125","thousands of dollars"
"2016","2016 County GDP","47011","4333993","thousands of dollars"
"2017","2017 County GDP","47011","4364769","thousands of dollars"
"2018","2018 County GDP","47011","4425722","thousands of dollars"
"2019","2019 County GDP","47011","4551638","thousands of dollars"
"2020","2020 County GDP","47011","4618111","thousands of dollars"
"2011","2011 County GDP","47013","810439","thousands of dollars"
"2012","2012 County GDP","47013","805622","thousands of dollars"
"2013","2013 County GDP","47013","815395","thousands of dollars"
"2014","2014 County GDP","47013","808457","thousands of dollars"
"2015","2015 County GDP","47013","824192","thousands of dollars"
"2016","2016 County GDP","47013","861346","thousands of dollars"
"2017","2017 County GDP","47013","906228","thousands of dollars"
"2018","2018 County GDP","47013","948685","thousands of dollars"
"2019","2019 County GDP","47013","997152","thousands of dollars"
"2020","2020 County GDP","47013","1034314","thousands of dollars"
"2011","2011 County GDP","47015","185471","thousands of dollars"
"2012","2012 County GDP","47015","212756","thousands of dollars"
"2013","2013 County GDP","47015","212089","thousands of dollars"
"2014","2014 County GDP","47015","219981","thousands of dollars"
"2015","2015 County GDP","47015","229137","thousands of dollars"
"2016","2016 County GDP","47015","241231","thousands of dollars"
"2017","2017 County GDP","47015","254915","thousands of dollars"
"2018","2018 County GDP","47015","258568","thousands of dollars"
"2019","2019 County GDP","47015","271828","thousands of dollars"
"2020","2020 County GDP","47015","276050","thousands of dollars"
"2011","2011 County GDP","47017","667279","thousands of dollars"
"2012","2012 County GDP","47017","653747","thousands of dollars"
"2013","2013 County GDP","47017","688852","thousands of dollars"
"2014","2014 County GDP","47017","666726","thousands of dollars"
"2015","2015 County GDP","47017","664862","thousands of dollars"
"2016","2016 County GDP","47017","651144","thousands of dollars"
"2017","2017 County GDP","47017","687555","thousands of dollars"
"2018","2018 County GDP","47017","699724","thousands of dollars"
"2019","2019 County GDP","47017","685689","thousands of dollars"
"2020","2020 County GDP","47017","609812","thousands of dollars"
"2011","2011 County GDP","47019","893646","thousands of dollars"
"2012","2012 County GDP","47019","945496","thousands of dollars"
"2013","2013 County GDP","47019","947694","thousands of dollars"
"2014","2014 County GDP","47019","940205","thousands of dollars"
