"Ownership","Year","Month","Value"
"Local_Government","2022","march","224"
"Local_Government","2022","february","221"
"Local_Government","2022","january","220"
"Local_Government","2021","december","221"
"Local_Government","2021","november","221"
"Local_Government","2021","october","222"
"Local_Government","2021","september","225"
"Local_Government","2021","august","226"
"Local_Government","2021","july","226"
"Local_Government","2021","june","227"
"Local_Government","2021","may","224"
"Local_Government","2021","april","229"
"Local_Government","2021","march","224"
"Local_Government","2021","february","224"
"Local_Government","2021","january","225"
"Local_Government","2020","december","222"
"Local_Government","2020","november","226"
"Local_Government","2020","october","227"
"Local_Government","2020","september","222"
"Local_Government","2020","august","222"
"Local_Government","2020","july","229"
"Local_Government","2020","june","225"
"Local_Government","2020","may","226"
"Local_Government","2020","april","228"
"Local_Government","2020","march","228"
"Local_Government","2020","february","224"
"Local_Government","2020","january","225"
"Local_Government","2019","december","226"
"Local_Government","2019","november","225"
"Local_Government","2019","october","224"
"Local_Government","2019","september","238"
"Local_Government","2019","august","245"
"Local_Government","2019","july","251"
"Local_Government","2019","june","254"
"Local_Government","2019","may","259"
"Local_Government","2019","april","259"
"Local_Government","2019","march","252"
"Local_Government","2019","february","248"
"Local_Government","2019","january","251"
"Local_Government","2018","december","250"
"Local_Government","2018","november","252"
"Local_Government","2018","october","253"
"Local_Government","2018","september","250"
"Local_Government","2018","august","256"
"Local_Government","2018","july","257"
"Local_Government","2018","june","256"
"Local_Government","2018","may","247"
"Local_Government","2018","april","249"
"Local_Government","2018","march","251"
"Local_Government","2018","february","253"
"Local_Government","2018","january","260"
"Local_Government","2017","december","263"
"Local_Government","2017","november","263"
"Local_Government","2017","october","264"
"Local_Government","2017","september","259"
"Local_Government","2017","august","260"
"Local_Government","2017","july","263"
"Local_Government","2017","june","261"
"Local_Government","2017","may","256"
"Local_Government","2017","april","256"
"Local_Government","2017","march","252"
"Local_Government","2017","february","246"
"Local_Government","2017","january","257"
"Local_Government","2016","december","258"
"Local_Government","2016","november","253"
"Local_Government","2016","october","253"
"Local_Government","2016","september","251"
"Local_Government","2016","august","261"
"Local_Government","2016","july","263"
"Local_Government","2016","june","262"
"Local_Government","2016","may","257"
"Local_Government","2016","april","261"
"Local_Government","2016","march","258"
"Local_Government","2016","february","260"
"Local_Government","2016","january","266"
"Local_Government","2015","december","260"
"Local_Government","2015","november","257"
"Local_Government","2015","october","254"
"Local_Government","2015","september","258"
"Local_Government","2015","august","263"
"Local_Government","2015","july","265"
"Local_Government","2015","june","260"
"Local_Government","2015","may","253"
"Local_Government","2015","april","243"
"Local_Government","2015","march","243"
"Local_Government","2015","february","242"
"Local_Government","2015","january","248"
"Local_Government","2014","december","243"
"Local_Government","2014","november","241"
"Local_Government","2014","october","242"
"Local_Government","2014","september","243"
