"Ownership","Year","Month","Value"
"Private","2022","march","6"
"Private","2022","february","7"
"Private","2022","january","5"
"Private","2021","december","6"
"Private","2021","november","6"
"Private","2021","october","6"
"Private","2021","september","6"
"Private","2021","august","6"
"Private","2021","july","6"
"Private","2021","june","6"
"Private","2021","may","6"
"Private","2021","april","6"
"Private","2021","march","6"
"Private","2021","february","6"
"Private","2021","january","6"
"Private","2020","december","7"
"Private","2020","november","5"
"Private","2020","october","5"
"Private","2020","september","6"
"Private","2020","august","7"
"Private","2020","july","5"
"Private","2020","june","5"
"Private","2020","may","5"
"Private","2020","april","5"
"Private","2020","march","5"
"Private","2020","february","5"
"Private","2020","january","6"
"Private","2019","december","4"
"Private","2019","november","6"
"Private","2019","october","5"
"Private","2019","september","4"
"Private","2019","august","7"
"Private","2019","july","5"
"Private","2019","june","6"
"Private","2019","may","7"
"Private","2019","april","6"
"Private","2019","march","6"
"Private","2019","february","8"
"Private","2019","january","5"
"Private","2018","december","6"
"Private","2018","november","7"
"Private","2018","october","6"
"Private","2018","september","6"
"Private","2018","august","6"
"Private","2018","july","6"
"Private","2018","june","5"
"Private","2018","may","7"
"Private","2018","april","5"
"Private","2018","march","6"
"Private","2018","february","5"
"Private","2018","january","5"
"Private","2017","december","-"
"Private","2017","november","-"
"Private","2017","october","-"
"Private","2017","september","5"
"Private","2017","august","6"
"Private","2017","july","5"
"Private","2017","june","5"
"Private","2017","may","5"
"Private","2017","april","3"
"Private","2017","march","-"
"Private","2017","february","-"
"Private","2017","january","-"
"Private","2016","december","-"
"Private","2016","november","-"
"Private","2016","october","-"
"Private","2016","september","-"
"Private","2016","august","-"
"Private","2016","july","-"
"Private","2016","june","-"
"Private","2016","may","-"
"Private","2016","april","-"
"Private","2016","march","-"
"Private","2016","february","-"
"Private","2016","january","-"
"Private","2015","december","-"
"Private","2015","november","-"
"Private","2015","october","-"
"Private","2015","september","-"
"Private","2015","august","-"
"Private","2015","july","-"
"Private","2015","june","-"
"Private","2015","may","-"
"Private","2015","april","-"
"Private","2015","march","-"
"Private","2015","february","-"
"Private","2015","january","-"
"Private","2014","december","-"
"Private","2014","november","-"
"Private","2014","october","-"
"Private","2014","september","-"
"Private","2014","august","-"
"Private","2014","july","-"
"Private","2014","june","-"
"Private","2014","may","-"
"Private","2014","april","-"
"Private","2014","march","-"
"Private","2014","february","-"
"Private","2014","january","-"
"Private","2013","december","-"
"Private","2013","november","-"
"Private","2013","october","-"
"Private","2013","september","-"
"Private","2013","august","-"
"Private","2013","july","-"
"Private","2013","june","-"
"Private","2013","may","-"
"Private","2013","april","-"
"Private","2013","march","-"
"Private","2013","february","-"
"Private","2013","january","-"
"Private","2012","december","-"
"Private","2012","november","-"
"Private","2012","october","-"
"Private","2012","september","-"
"Private","2012","august","-"
"Private","2012","july","-"
"Private","2012","june","-"
"Private","2012","may","-"
"Private","2012","april","-"
"Private","2012","march","-"
"Private","2012","february","-"
"Private","2012","january","-"
"Private","2011","december","-"
"Private","2011","november","-"
"Private","2011","october","-"
"Private","2011","september","-"
"Private","2011","august","-"
"Private","2011","july","-"
"Private","2011","june","-"
"Private","2011","may","-"
"Private","2011","april","-"
"Private","2011","march","-"
"Private","2011","february","-"
"Private","2011","january","-"
