"Ownership","Year","Month","Value"
"Private","2022","march","459"
"Private","2022","february","369"
"Private","2022","january","372"
"Private","2021","december","413"
"Private","2021","november","436"
"Private","2021","october","466"
"Private","2021","september","441"
"Private","2021","august","431"
"Private","2021","july","441"
"Private","2021","june","396"
"Private","2021","may","392"
"Private","2021","april","365"
"Private","2021","march","274"
"Private","2021","february","248"
"Private","2021","january","222"
"Private","2020","december","347"
"Private","2020","november","396"
"Private","2020","october","447"
"Private","2020","september","386"
"Private","2020","august","377"
"Private","2020","july","361"
"Private","2020","june","320"
"Private","2020","may","196"
"Private","2020","april","205"
"Private","2020","march","760"
"Private","2020","february","733"
"Private","2020","january","683"
"Private","2019","december","749"
"Private","2019","november","772"
"Private","2019","october","773"
"Private","2019","september","810"
"Private","2019","august","784"
"Private","2019","july","754"
"Private","2019","june","735"
"Private","2019","may","761"
"Private","2019","april","759"
"Private","2019","march","715"
"Private","2019","february","689"
"Private","2019","january","679"
"Private","2018","december","690"
"Private","2018","november","710"
"Private","2018","october","732"
"Private","2018","september","744"
"Private","2018","august","754"
"Private","2018","july","681"
"Private","2018","june","701"
"Private","2018","may","685"
"Private","2018","april","663"
"Private","2018","march","639"
"Private","2018","february","612"
"Private","2018","january","599"
"Private","2017","december","654"
"Private","2017","november","683"
"Private","2017","october","694"
"Private","2017","september","692"
"Private","2017","august","698"
"Private","2017","july","655"
"Private","2017","june","650"
"Private","2017","may","654"
"Private","2017","april","627"
"Private","2017","march","592"
"Private","2017","february","547"
"Private","2017","january","535"
"Private","2016","december","579"
"Private","2016","november","631"
"Private","2016","october","633"
"Private","2016","september","641"
"Private","2016","august","627"
"Private","2016","july","622"
"Private","2016","june","643"
"Private","2016","may","633"
"Private","2016","april","602"
"Private","2016","march","547"
"Private","2016","february","512"
"Private","2016","january","503"
"Private","2015","december","269"
"Private","2015","november","283"
"Private","2015","october","297"
"Private","2015","september","297"
"Private","2015","august","307"
"Private","2015","july","311"
"Private","2015","june","311"
"Private","2015","may","303"
"Private","2015","april","277"
"Private","2015","march","239"
"Private","2015","february","235"
"Private","2015","january","216"
"Private","2014","december","251"
"Private","2014","november","274"
"Private","2014","october","285"
"Private","2014","september","-"
"Private","2014","august","-"
"Private","2014","july","-"
"Private","2014","june","-"
"Private","2014","may","-"
"Private","2014","april","-"
"Private","2014","march","-"
"Private","2014","february","-"
"Private","2014","january","-"
"Private","2013","december","-"
"Private","2013","november","-"
"Private","2013","october","-"
"Private","2013","september","-"
"Private","2013","august","-"
"Private","2013","july","-"
"Private","2013","june","-"
"Private","2013","may","-"
"Private","2013","april","-"
"Private","2013","march","-"
"Private","2013","february","-"
"Private","2013","january","-"
"Private","2012","december","-"
"Private","2012","november","-"
"Private","2012","october","-"
"Private","2012","september","-"
"Private","2012","august","-"
"Private","2012","july","-"
"Private","2012","june","-"
"Private","2012","may","-"
"Private","2012","april","-"
"Private","2012","march","-"
"Private","2012","february","-"
"Private","2012","january","-"
"Private","2011","december","-"
"Private","2011","november","-"
"Private","2011","october","-"
"Private","2011","september","-"
"Private","2011","august","-"
"Private","2011","july","-"
"Private","2011","june","-"
"Private","2011","may","-"
"Private","2011","april","-"
"Private","2011","march","-"
"Private","2011","february","-"
"Private","2011","january","-"
