"Ownership","Year","Month","Value"
"Fed_Government","2022","march","12928"
"Fed_Government","2022","february","12857"
"Fed_Government","2022","january","13079"
"Fed_Government","2021","december","13204"
"Fed_Government","2021","november","13083"
"Fed_Government","2021","october","12647"
"Fed_Government","2021","september","12792"
"Fed_Government","2021","august","12699"
"Fed_Government","2021","july","12684"
"Fed_Government","2021","june","12560"
"Fed_Government","2021","may","12607"
"Fed_Government","2021","april","12809"
"Fed_Government","2021","march","12737"
"Fed_Government","2021","february","12693"
"Fed_Government","2021","january","12425"
"Fed_Government","2020","december","12974"
"Fed_Government","2020","november","12680"
"Fed_Government","2020","october","12391"
"Fed_Government","2020","september","12375"
"Fed_Government","2020","august","12329"
"Fed_Government","2020","july","12373"
"Fed_Government","2020","june","12418"
"Fed_Government","2020","may","12468"
"Fed_Government","2020","april","12366"
"Fed_Government","2020","march","12327"
"Fed_Government","2020","february","12359"
"Fed_Government","2020","january","12492"
"Fed_Government","2019","december","12800"
"Fed_Government","2019","november","12806"
"Fed_Government","2019","october","12619"
"Fed_Government","2019","september","12542"
"Fed_Government","2019","august","12551"
"Fed_Government","2019","july","12584"
"Fed_Government","2019","june","12620"
"Fed_Government","2019","may","12652"
"Fed_Government","2019","april","12430"
"Fed_Government","2019","march","12538"
"Fed_Government","2019","february","12465"
"Fed_Government","2019","january","12342"
"Fed_Government","2018","december","12933"
"Fed_Government","2018","november","12763"
"Fed_Government","2018","october","12360"
"Fed_Government","2018","september","12378"
"Fed_Government","2018","august","12332"
"Fed_Government","2018","july","12165"
"Fed_Government","2018","june","12308"
"Fed_Government","2018","may","12189"
"Fed_Government","2018","april","12207"
"Fed_Government","2018","march","12146"
"Fed_Government","2018","february","12152"
"Fed_Government","2018","january","12270"
"Fed_Government","2017","december","12624"
"Fed_Government","2017","november","12292"
"Fed_Government","2017","october","12300"
"Fed_Government","2017","september","12262"
"Fed_Government","2017","august","12220"
"Fed_Government","2017","july","12331"
"Fed_Government","2017","june","12327"
"Fed_Government","2017","may","12336"
"Fed_Government","2017","april","12290"
"Fed_Government","2017","march","12289"
"Fed_Government","2017","february","12223"
"Fed_Government","2017","january","12161"
"Fed_Government","2016","december","12649"
"Fed_Government","2016","november","12205"
"Fed_Government","2016","october","12117"
"Fed_Government","2016","september","12140"
"Fed_Government","2016","august","12120"
"Fed_Government","2016","july","11997"
"Fed_Government","2016","june","12080"
"Fed_Government","2016","may","12022"
"Fed_Government","2016","april","11956"
"Fed_Government","2016","march","11970"
"Fed_Government","2016","february","11940"
"Fed_Government","2016","january","11951"
"Fed_Government","2015","december","12343"
"Fed_Government","2015","november","11922"
"Fed_Government","2015","october","11972"
"Fed_Government","2015","september","11918"
"Fed_Government","2015","august","11950"
"Fed_Government","2015","july","11956"
"Fed_Government","2015","june","11965"
"Fed_Government","2015","may","11963"
"Fed_Government","2015","april","12178"
"Fed_Government","2015","march","11938"
"Fed_Government","2015","february","11977"
"Fed_Government","2015","january","11903"
"Fed_Government","2014","december","12217"
"Fed_Government","2014","november","11919"
"Fed_Government","2014","october","11785"
"Fed_Government","2014","september","11842"
"Fed_Government","2014","august","11798"
"Fed_Government","2014","july","11740"
"Fed_Government","2014","june","11726"
"Fed_Government","2014","may","11722"
"Fed_Government","2014","april","12005"
"Fed_Government","2014","march","11740"
"Fed_Government","2014","february","11730"
"Fed_Government","2014","january","11840"
"Fed_Government","2013","december","11987"
"Fed_Government","2013","november","11802"
"Fed_Government","2013","october","11757"
"Fed_Government","2013","september","11855"
"Fed_Government","2013","august","11836"
"Fed_Government","2013","july","11788"
"Fed_Government","2013","june","11756"
"Fed_Government","2013","may","11778"
"Fed_Government","2013","april","12112"
"Fed_Government","2013","march","11723"
"Fed_Government","2013","february","11979"
"Fed_Government","2013","january","11965"
"Fed_Government","2012","december","12089"
"Fed_Government","2012","november","11966"
"Fed_Government","2012","october","12205"
"Fed_Government","2012","september","12052"
"Fed_Government","2012","august","12220"
"Fed_Government","2012","july","12317"
"Fed_Government","2012","june","12240"
"Fed_Government","2012","may","12275"
"Fed_Government","2012","april","12370"
"Fed_Government","2012","march","12291"
"Fed_Government","2012","february","12283"
"Fed_Government","2012","january","12267"
"Fed_Government","2011","december","12354"
"Fed_Government","2011","november","12236"
"Fed_Government","2011","october","12426"
"Fed_Government","2011","september","12304"
"Fed_Government","2011","august","12331"
"Fed_Government","2011","july","12596"
"Fed_Government","2011","june","12482"
"Fed_Government","2011","may","12562"
"Fed_Government","2011","april","12662"
"Fed_Government","2011","march","12633"
"Fed_Government","2011","february","12633"
"Fed_Government","2011","january","12724"
"State_Government","2022","march","-"
"State_Government","2022","february","-"
"State_Government","2022","january","-"
"State_Government","2021","december","-"
"State_Government","2021","november","-"
"State_Government","2021","october","-"
"State_Government","2021","september","-"
"State_Government","2021","august","-"
"State_Government","2021","july","-"
"State_Government","2021","june","-"
"State_Government","2021","may","-"
"State_Government","2021","april","-"
"State_Government","2021","march","-"
"State_Government","2021","february","-"
"State_Government","2021","january","-"
"State_Government","2020","december","-"
"State_Government","2020","november","-"
"State_Government","2020","october","-"
"State_Government","2020","september","-"
"State_Government","2020","august","-"
"State_Government","2020","july","-"
"State_Government","2020","june","-"
"State_Government","2020","may","-"
"State_Government","2020","april","-"
"State_Government","2020","march","-"
"State_Government","2020","february","-"
"State_Government","2020","january","-"
"State_Government","2019","december","-"
"State_Government","2019","november","-"
"State_Government","2019","october","-"
"State_Government","2019","september","-"
"State_Government","2019","august","-"
"State_Government","2019","july","-"
"State_Government","2019","june","-"
"State_Government","2019","may","-"
"State_Government","2019","april","-"
"State_Government","2019","march","-"
"State_Government","2019","february","-"
"State_Government","2019","january","-"
"State_Government","2018","december","-"
"State_Government","2018","november","-"
"State_Government","2018","october","-"
"State_Government","2018","september","-"
"State_Government","2018","august","-"
"State_Government","2018","july","-"
"State_Government","2018","june","-"
"State_Government","2018","may","-"
"State_Government","2018","april","-"
"State_Government","2018","march","-"
"State_Government","2018","february","-"
"State_Government","2018","january","-"
"State_Government","2017","december","-"
"State_Government","2017","november","-"
"State_Government","2017","october","-"
"State_Government","2017","september","-"
"State_Government","2017","august","-"
"State_Government","2017","july","-"
"State_Government","2017","june","-"
"State_Government","2017","may","-"
"State_Government","2017","april","-"
"State_Government","2017","march","-"
"State_Government","2017","february","-"
"State_Government","2017","january","-"
"State_Government","2016","december","-"
"State_Government","2016","november","-"
"State_Government","2016","october","-"
"State_Government","2016","september","-"
"State_Government","2016","august","-"
"State_Government","2016","july","-"
"State_Government","2016","june","-"
"State_Government","2016","may","-"
"State_Government","2016","april","-"
"State_Government","2016","march","-"
"State_Government","2016","february","-"
"State_Government","2016","january","-"
"State_Government","2015","december","-"
"State_Government","2015","november","-"
"State_Government","2015","october","-"
"State_Government","2015","september","-"
"State_Government","2015","august","-"
"State_Government","2015","july","-"
"State_Government","2015","june","-"
"State_Government","2015","may","-"
"State_Government","2015","april","-"
"State_Government","2015","march","-"
"State_Government","2015","february","-"
"State_Government","2015","january","-"
"State_Government","2014","december","-"
"State_Government","2014","november","-"
"State_Government","2014","october","-"
"State_Government","2014","september","-"
"State_Government","2014","august","-"
"State_Government","2014","july","-"
"State_Government","2014","june","-"
"State_Government","2014","may","-"
"State_Government","2014","april","-"
"State_Government","2014","march","-"
"State_Government","2014","february","-"
"State_Government","2014","january","-"
"State_Government","2013","december","-"
"State_Government","2013","november","-"
"State_Government","2013","october","-"
"State_Government","2013","september","-"
"State_Government","2013","august","-"
"State_Government","2013","july","-"
"State_Government","2013","june","-"
"State_Government","2013","may","-"
"State_Government","2013","april","-"
"State_Government","2013","march","-"
"State_Government","2013","february","-"
"State_Government","2013","january","-"
"State_Government","2012","december","-"
"State_Government","2012","november","-"
"State_Government","2012","october","-"
"State_Government","2012","september","-"
"State_Government","2012","august","-"
"State_Government","2012","july","-"
"State_Government","2012","june","-"
"State_Government","2012","may","-"
"State_Government","2012","april","-"
"State_Government","2012","march","-"
"State_Government","2012","february","-"
"State_Government","2012","january","-"
"State_Government","2011","december","-"
"State_Government","2011","november","-"
"State_Government","2011","october","-"
"State_Government","2011","september","-"
"State_Government","2011","august","-"
"State_Government","2011","july","-"
"State_Government","2011","june","-"
"State_Government","2011","may","-"
"State_Government","2011","april","-"
"State_Government","2011","march","-"
"State_Government","2011","february","-"
"State_Government","2011","january","-"
"Local_Government","2022","march","-"
"Local_Government","2022","february","-"
"Local_Government","2022","january","-"
"Local_Government","2021","december","-"
"Local_Government","2021","november","-"
"Local_Government","2021","october","-"
"Local_Government","2021","september","-"
"Local_Government","2021","august","-"
"Local_Government","2021","july","-"
"Local_Government","2021","june","-"
"Local_Government","2021","may","-"
"Local_Government","2021","april","-"
"Local_Government","2021","march","-"
"Local_Government","2021","february","-"
"Local_Government","2021","january","-"
"Local_Government","2020","december","-"
"Local_Government","2020","november","-"
"Local_Government","2020","october","-"
"Local_Government","2020","september","-"
"Local_Government","2020","august","-"
"Local_Government","2020","july","-"
"Local_Government","2020","june","-"
"Local_Government","2020","may","-"
"Local_Government","2020","april","-"
"Local_Government","2020","march","-"
"Local_Government","2020","february","-"
"Local_Government","2020","january","-"
"Local_Government","2019","december","-"
"Local_Government","2019","november","-"
"Local_Government","2019","october","-"
"Local_Government","2019","september","-"
"Local_Government","2019","august","-"
"Local_Government","2019","july","-"
"Local_Government","2019","june","-"
"Local_Government","2019","may","-"
"Local_Government","2019","april","-"
"Local_Government","2019","march","-"
"Local_Government","2019","february","-"
"Local_Government","2019","january","-"
"Local_Government","2018","december","-"
"Local_Government","2018","november","-"
"Local_Government","2018","october","-"
"Local_Government","2018","september","-"
"Local_Government","2018","august","-"
"Local_Government","2018","july","-"
"Local_Government","2018","june","-"
"Local_Government","2018","may","-"
"Local_Government","2018","april","-"
"Local_Government","2018","march","-"
"Local_Government","2018","february","-"
"Local_Government","2018","january","-"
"Local_Government","2017","december","1617"
