"Ownership","Year","Month","Value"
"Local_Government","2022","march","330"
"Local_Government","2022","february","326"
"Local_Government","2022","january","323"
"Local_Government","2021","december","337"
"Local_Government","2021","november","328"
"Local_Government","2021","october","321"
"Local_Government","2021","september","331"
"Local_Government","2021","august","304"
"Local_Government","2021","july","287"
"Local_Government","2021","june","343"
"Local_Government","2021","may","337"
"Local_Government","2021","april","332"
"Local_Government","2021","march","332"
"Local_Government","2021","february","329"
"Local_Government","2021","january","330"
"Local_Government","2020","december","341"
"Local_Government","2020","november","344"
"Local_Government","2020","october","336"
"Local_Government","2020","september","336"
"Local_Government","2020","august","305"
"Local_Government","2020","july","271"
"Local_Government","2020","june","342"
"Local_Government","2020","may","347"
"Local_Government","2020","april","350"
"Local_Government","2020","march","361"
"Local_Government","2020","february","362"
"Local_Government","2020","january","363"
"Local_Government","2019","december","365"
"Local_Government","2019","november","363"
"Local_Government","2019","october","362"
"Local_Government","2019","september","356"
"Local_Government","2019","august","254"
"Local_Government","2019","july","209"
"Local_Government","2019","june","367"
"Local_Government","2019","may","364"
"Local_Government","2019","april","364"
"Local_Government","2019","march","371"
"Local_Government","2019","february","368"
"Local_Government","2019","january","367"
"Local_Government","2018","december","324"
"Local_Government","2018","november","327"
"Local_Government","2018","october","321"
"Local_Government","2018","september","322"
"Local_Government","2018","august","217"
"Local_Government","2018","july","159"
"Local_Government","2018","june","328"
"Local_Government","2018","may","325"
"Local_Government","2018","april","321"
"Local_Government","2018","march","323"
"Local_Government","2018","february","323"
"Local_Government","2018","january","318"
"Local_Government","2017","december","326"
"Local_Government","2017","november","324"
"Local_Government","2017","october","319"
"Local_Government","2017","september","315"
"Local_Government","2017","august","210"
"Local_Government","2017","july","159"
"Local_Government","2017","june","316"
"Local_Government","2017","may","317"
"Local_Government","2017","april","318"
"Local_Government","2017","march","323"
"Local_Government","2017","february","318"
"Local_Government","2017","january","314"
"Local_Government","2016","december","230"
"Local_Government","2016","november","227"
"Local_Government","2016","october","228"
"Local_Government","2016","september","227"
"Local_Government","2016","august","122"
"Local_Government","2016","july","73"
"Local_Government","2016","june","225"
"Local_Government","2016","may","233"
"Local_Government","2016","april","231"
"Local_Government","2016","march","231"
"Local_Government","2016","february","228"
"Local_Government","2016","january","228"
"Local_Government","2015","december","231"
"Local_Government","2015","november","233"
"Local_Government","2015","october","230"
"Local_Government","2015","september","224"
"Local_Government","2015","august","151"
"Local_Government","2015","july","98"
"Local_Government","2015","june","237"
"Local_Government","2015","may","234"
"Local_Government","2015","april","233"
"Local_Government","2015","march","233"
"Local_Government","2015","february","234"
"Local_Government","2015","january","237"
"Local_Government","2014","december","140"
"Local_Government","2014","november","140"
"Local_Government","2014","october","141"
"Local_Government","2014","september","136"
"Local_Government","2014","august","61"
"Local_Government","2014","july","64"
"Local_Government","2014","june","143"
"Local_Government","2014","may","143"
"Local_Government","2014","april","143"
"Local_Government","2014","march","140"
"Local_Government","2014","february","135"
"Local_Government","2014","january","138"
"Local_Government","2013","december","171"
"Local_Government","2013","november","174"
"Local_Government","2013","october","172"
"Local_Government","2013","september","171"
"Local_Government","2013","august","95"
"Local_Government","2013","july","93"
"Local_Government","2013","june","170"
"Local_Government","2013","may","170"
"Local_Government","2013","april","170"
"Local_Government","2013","march","174"
"Local_Government","2013","february","172"
"Local_Government","2013","january","170"
"Local_Government","2012","december","176"
"Local_Government","2012","november","176"
"Local_Government","2012","october","178"
"Local_Government","2012","september","174"
"Local_Government","2012","august","101"
"Local_Government","2012","july","93"
"Local_Government","2012","june","176"
"Local_Government","2012","may","172"
"Local_Government","2012","april","174"
"Local_Government","2012","march","171"
"Local_Government","2012","february","172"
"Local_Government","2012","january","169"
"Local_Government","2011","december","109"
"Local_Government","2011","november","109"
"Local_Government","2011","october","111"
"Local_Government","2011","september","108"
"Local_Government","2011","august","111"
"Local_Government","2011","july","109"
"Local_Government","2011","june","110"
"Local_Government","2011","may","107"
"Local_Government","2011","april","110"
"Local_Government","2011","march","108"
"Local_Government","2011","february","110"
"Local_Government","2011","january","112"
"Private","2022","march","6797"
"Private","2022","february","6729"
"Private","2022","january","6601"
"Private","2021","december","6715"
"Private","2021","november","6826"
"Private","2021","october","6756"
"Private","2021","september","6780"
"Private","2021","august","6703"
"Private","2021","july","5860"
"Private","2021","june","5803"
"Private","2021","may","6378"
"Private","2021","april","6360"
"Private","2021","march","6343"
"Private","2021","february","6298"
"Private","2021","january","6244"
"Private","2020","december","6103"
"Private","2020","november","6114"
"Private","2020","october","5900"
"Private","2020","september","5847"
"Private","2020","august","5609"
"Private","2020","july","4908"
"Private","2020","june","5090"
"Private","2020","may","5570"
"Private","2020","april","5387"
"Private","2020","march","7636"
"Private","2020","february","7644"
"Private","2020","january","7610"
"Private","2019","december","7855"
"Private","2019","november","7959"
"Private","2019","october","7894"
"Private","2019","september","7829"
"Private","2019","august","7738"
"Private","2019","july","7137"
"Private","2019","june","7258"
"Private","2019","may","7692"
"Private","2019","april","7629"
"Private","2019","march","7560"
"Private","2019","february","7522"
"Private","2019","january","7315"
"Private","2018","december","7536"
"Private","2018","november","7589"
"Private","2018","october","7592"
"Private","2018","september","7579"
"Private","2018","august","7571"
"Private","2018","july","6877"
"Private","2018","june","6864"
"Private","2018","may","7425"
"Private","2018","april","7458"
"Private","2018","march","7435"
"Private","2018","february","7296"
"Private","2018","january","7105"
"Private","2017","december","7619"
"Private","2017","november","7657"
"Private","2017","october","7586"
"Private","2017","september","7619"
"Private","2017","august","7468"
"Private","2017","july","6824"
"Private","2017","june","7001"
"Private","2017","may","7510"
"Private","2017","april","7530"
"Private","2017","march","7497"
