"Ownership","Year","Month","Value"
"Fed_Government","2022","march","11"
"Fed_Government","2022","february","11"
"Fed_Government","2022","january","12"
"Fed_Government","2021","december","12"
"Fed_Government","2021","november","11"
"Fed_Government","2021","october","11"
"Fed_Government","2021","september","11"
"Fed_Government","2021","august","11"
"Fed_Government","2021","july","11"
"Fed_Government","2021","june","11"
"Fed_Government","2021","may","11"
"Fed_Government","2021","april","11"
"Fed_Government","2021","march","11"
"Fed_Government","2021","february","11"
"Fed_Government","2021","january","11"
"Fed_Government","2020","december","11"
"Fed_Government","2020","november","11"
"Fed_Government","2020","october","11"
"Fed_Government","2020","september","10"
"Fed_Government","2020","august","9"
"Fed_Government","2020","july","9"
"Fed_Government","2020","june","9"
"Fed_Government","2020","may","9"
"Fed_Government","2020","april","10"
"Fed_Government","2020","march","10"
"Fed_Government","2020","february","10"
"Fed_Government","2020","january","10"
"Fed_Government","2019","december","10"
"Fed_Government","2019","november","10"
"Fed_Government","2019","october","10"
"Fed_Government","2019","september","10"
"Fed_Government","2019","august","9"
"Fed_Government","2019","july","8"
"Fed_Government","2019","june","9"
"Fed_Government","2019","may","9"
"Fed_Government","2019","april","7"
"Fed_Government","2019","march","8"
"Fed_Government","2019","february","8"
"Fed_Government","2019","january","8"
"Fed_Government","2018","december","8"
"Fed_Government","2018","november","8"
"Fed_Government","2018","october","8"
"Fed_Government","2018","september","9"
"Fed_Government","2018","august","9"
"Fed_Government","2018","july","9"
"Fed_Government","2018","june","9"
"Fed_Government","2018","may","9"
"Fed_Government","2018","april","9"
"Fed_Government","2018","march","9"
"Fed_Government","2018","february","9"
"Fed_Government","2018","january","9"
"Fed_Government","2017","december","9"
"Fed_Government","2017","november","9"
"Fed_Government","2017","october","9"
"Fed_Government","2017","september","9"
"Fed_Government","2017","august","9"
"Fed_Government","2017","july","8"
"Fed_Government","2017","june","8"
"Fed_Government","2017","may","7"
"Fed_Government","2017","april","6"
"Fed_Government","2017","march","6"
"Fed_Government","2017","february","5"
"Fed_Government","2017","january","5"
"Fed_Government","2016","december","5"
"Fed_Government","2016","november","5"
"Fed_Government","2016","october","5"
"Fed_Government","2016","september","5"
"Fed_Government","2016","august","5"
"Fed_Government","2016","july","5"
"Fed_Government","2016","june","5"
"Fed_Government","2016","may","5"
"Fed_Government","2016","april","5"
"Fed_Government","2016","march","5"
"Fed_Government","2016","february","5"
"Fed_Government","2016","january","5"
"Fed_Government","2015","december","5"
"Fed_Government","2015","november","5"
"Fed_Government","2015","october","5"
"Fed_Government","2015","september","5"
"Fed_Government","2015","august","5"
"Fed_Government","2015","july","6"
"Fed_Government","2015","june","6"
"Fed_Government","2015","may","6"
"Fed_Government","2015","april","6"
"Fed_Government","2015","march","6"
"Fed_Government","2015","february","6"
"Fed_Government","2015","january","6"
"Fed_Government","2014","december","6"
"Fed_Government","2014","november","6"
"Fed_Government","2014","october","6"
"Fed_Government","2014","september","6"
"Fed_Government","2014","august","6"
"Fed_Government","2014","july","6"
"Fed_Government","2014","june","6"
"Fed_Government","2014","may","6"
"Fed_Government","2014","april","6"
"Fed_Government","2014","march","6"
"Fed_Government","2014","february","6"
"Fed_Government","2014","january","6"
"Fed_Government","2013","december","6"
"Fed_Government","2013","november","6"
"Fed_Government","2013","october","6"
"Fed_Government","2013","september","6"
"Fed_Government","2013","august","6"
"Fed_Government","2013","july","6"
"Fed_Government","2013","june","7"
"Fed_Government","2013","may","6"
"Fed_Government","2013","april","6"
"Fed_Government","2013","march","6"
"Fed_Government","2013","february","6"
"Fed_Government","2013","january","6"
"Fed_Government","2012","december","6"
"Fed_Government","2012","november","7"
"Fed_Government","2012","october","7"
"Fed_Government","2012","september","7"
"Fed_Government","2012","august","7"
"Fed_Government","2012","july","7"
"Fed_Government","2012","june","7"
"Fed_Government","2012","may","7"
"Fed_Government","2012","april","7"
"Fed_Government","2012","march","7"
"Fed_Government","2012","february","7"
"Fed_Government","2012","january","7"
"Fed_Government","2011","december","7"
"Fed_Government","2011","november","7"
"Fed_Government","2011","october","7"
"Fed_Government","2011","september","6"
"Fed_Government","2011","august","6"
"Fed_Government","2011","july","6"
"Fed_Government","2011","june","6"
"Fed_Government","2011","may","5"
"Fed_Government","2011","april","5"
"Fed_Government","2011","march","5"
"Fed_Government","2011","february","5"
"Fed_Government","2011","january","5"
"State_Government","2022","march","-"
"State_Government","2022","february","-"
"State_Government","2022","january","-"
"State_Government","2021","december","-"
"State_Government","2021","november","-"
"State_Government","2021","october","-"
"State_Government","2021","september","-"
"State_Government","2021","august","-"
"State_Government","2021","july","-"
"State_Government","2021","june","-"
"State_Government","2021","may","-"
"State_Government","2021","april","-"
"State_Government","2021","march","-"
"State_Government","2021","february","-"
"State_Government","2021","january","-"
"State_Government","2020","december","-"
"State_Government","2020","november","-"
"State_Government","2020","october","-"
"State_Government","2020","september","-"
"State_Government","2020","august","-"
"State_Government","2020","july","-"
"State_Government","2020","june","-"
"State_Government","2020","may","-"
"State_Government","2020","april","-"
"State_Government","2020","march","-"
"State_Government","2020","february","-"
"State_Government","2020","january","-"
"State_Government","2019","december","-"
"State_Government","2019","november","-"
"State_Government","2019","october","-"
"State_Government","2019","september","-"
"State_Government","2019","august","-"
"State_Government","2019","july","-"
"State_Government","2019","june","-"
"State_Government","2019","may","-"
"State_Government","2019","april","-"
"State_Government","2019","march","-"
"State_Government","2019","february","-"
"State_Government","2019","january","-"
"State_Government","2018","december","-"
"State_Government","2018","november","-"
"State_Government","2018","october","-"
"State_Government","2018","september","-"
"State_Government","2018","august","-"
"State_Government","2018","july","-"
"State_Government","2018","june","-"
"State_Government","2018","may","-"
"State_Government","2018","april","-"
"State_Government","2018","march","-"
"State_Government","2018","february","-"
"State_Government","2018","january","-"
"State_Government","2017","december","-"
"State_Government","2017","november","-"
"State_Government","2017","october","-"
"State_Government","2017","september","-"
"State_Government","2017","august","-"
"State_Government","2017","july","-"
"State_Government","2017","june","-"
"State_Government","2017","may","-"
"State_Government","2017","april","-"
"State_Government","2017","march","-"
"State_Government","2017","february","-"
"State_Government","2017","january","-"
"State_Government","2016","december","-"
"State_Government","2016","november","-"
"State_Government","2016","october","-"
"State_Government","2016","september","-"
"State_Government","2016","august","-"
"State_Government","2016","july","-"
"State_Government","2016","june","-"
"State_Government","2016","may","-"
"State_Government","2016","april","-"
"State_Government","2016","march","-"
"State_Government","2016","february","-"
"State_Government","2016","january","-"
"State_Government","2015","december","-"
"State_Government","2015","november","-"
"State_Government","2015","october","-"
"State_Government","2015","september","-"
"State_Government","2015","august","-"
"State_Government","2015","july","-"
"State_Government","2015","june","-"
"State_Government","2015","may","-"
"State_Government","2015","april","-"
"State_Government","2015","march","-"
"State_Government","2015","february","-"
"State_Government","2015","january","-"
"State_Government","2014","december","-"
"State_Government","2014","november","-"
"State_Government","2014","october","-"
"State_Government","2014","september","-"
"State_Government","2014","august","-"
"State_Government","2014","july","-"
"State_Government","2014","june","-"
"State_Government","2014","may","-"
"State_Government","2014","april","-"
"State_Government","2014","march","-"
"State_Government","2014","february","-"
"State_Government","2014","january","-"
"State_Government","2013","december","-"
"State_Government","2013","november","-"
"State_Government","2013","october","-"
"State_Government","2013","september","-"
"State_Government","2013","august","-"
"State_Government","2013","july","-"
"State_Government","2013","june","-"
"State_Government","2013","may","-"
"State_Government","2013","april","-"
"State_Government","2013","march","-"
"State_Government","2013","february","-"
"State_Government","2013","january","-"
"State_Government","2012","december","-"
"State_Government","2012","november","-"
"State_Government","2012","october","-"
"State_Government","2012","september","-"
"State_Government","2012","august","-"
"State_Government","2012","july","-"
"State_Government","2012","june","-"
"State_Government","2012","may","-"
"State_Government","2012","april","-"
"State_Government","2012","march","-"
"State_Government","2012","february","-"
"State_Government","2012","january","-"
"State_Government","2011","december","-"
"State_Government","2011","november","-"
"State_Government","2011","october","-"
"State_Government","2011","september","-"
"State_Government","2011","august","-"
"State_Government","2011","july","-"
"State_Government","2011","june","-"
"State_Government","2011","may","-"
"State_Government","2011","april","-"
"State_Government","2011","march","-"
"State_Government","2011","february","-"
"State_Government","2011","january","-"
"Local_Government","2022","march","821"
"Local_Government","2022","february","868"
"Local_Government","2022","january","870"
"Local_Government","2021","december","890"
"Local_Government","2021","november","890"
"Local_Government","2021","october","876"
"Local_Government","2021","september","876"
"Local_Government","2021","august","868"
"Local_Government","2021","july","874"
"Local_Government","2021","june","880"
"Local_Government","2021","may","882"
"Local_Government","2021","april","872"
"Local_Government","2021","march","889"
"Local_Government","2021","february","871"
"Local_Government","2021","january","864"
"Local_Government","2020","december","886"
"Local_Government","2020","november","894"
"Local_Government","2020","october","893"
"Local_Government","2020","september","900"
"Local_Government","2020","august","897"
"Local_Government","2020","july","913"
"Local_Government","2020","june","915"
"Local_Government","2020","may","916"
"Local_Government","2020","april","921"
"Local_Government","2020","march","921"
"Local_Government","2020","february","919"
"Local_Government","2020","january","914"
"Local_Government","2019","december","924"
"Local_Government","2019","november","927"
"Local_Government","2019","october","916"
"Local_Government","2019","september","909"
"Local_Government","2019","august","912"
"Local_Government","2019","july","913"
"Local_Government","2019","june","908"
"Local_Government","2019","may","896"
"Local_Government","2019","april","884"
"Local_Government","2019","march","877"
"Local_Government","2019","february","874"
"Local_Government","2019","january","870"
"Local_Government","2018","december","876"
"Local_Government","2018","november","879"
"Local_Government","2018","october","898"
"Local_Government","2018","september","902"
"Local_Government","2018","august","903"
"Local_Government","2018","july","900"
"Local_Government","2018","june","898"
"Local_Government","2018","may","886"
"Local_Government","2018","april","877"
"Local_Government","2018","march","869"
"Local_Government","2018","february","864"
"Local_Government","2018","january","863"
"Local_Government","2017","december","863"
"Local_Government","2017","november","870"
"Local_Government","2017","october","890"
"Local_Government","2017","september","893"
"Local_Government","2017","august","894"
"Local_Government","2017","july","898"
"Local_Government","2017","june","890"
"Local_Government","2017","may","875"
"Local_Government","2017","april","861"
"Local_Government","2017","march","846"
"Local_Government","2017","february","845"
"Local_Government","2017","january","849"
"Local_Government","2016","december","859"
"Local_Government","2016","november","861"
"Local_Government","2016","october","875"
"Local_Government","2016","september","882"
"Local_Government","2016","august","891"
"Local_Government","2016","july","889"
"Local_Government","2016","june","886"
"Local_Government","2016","may","880"
"Local_Government","2016","april","871"
"Local_Government","2016","march","869"
"Local_Government","2016","february","868"
"Local_Government","2016","january","865"
"Local_Government","2015","december","862"
"Local_Government","2015","november","872"
"Local_Government","2015","october","882"
"Local_Government","2015","september","889"
"Local_Government","2015","august","893"
"Local_Government","2015","july","886"
"Local_Government","2015","june","878"
"Local_Government","2015","may","879"
"Local_Government","2015","april","864"
"Local_Government","2015","march","854"
"Local_Government","2015","february","846"
"Local_Government","2015","january","849"
"Local_Government","2014","december","855"
"Local_Government","2014","november","860"
"Local_Government","2014","october","869"
"Local_Government","2014","september","875"
"Local_Government","2014","august","881"
"Local_Government","2014","july","874"
"Local_Government","2014","june","868"
"Local_Government","2014","may","850"
"Local_Government","2014","april","849"
"Local_Government","2014","march","843"
"Local_Government","2014","february","842"
"Local_Government","2014","january","849"
"Local_Government","2013","december","848"
"Local_Government","2013","november","849"
"Local_Government","2013","october","865"
"Local_Government","2013","september","880"
"Local_Government","2013","august","877"
