"Ownership","Year","Month","Value"
"Private","2022","march","57848"
"Private","2022","february","57295"
"Private","2022","january","56888"
"Private","2021","december","58473"
"Private","2021","november","57903"
"Private","2021","october","57521"
"Private","2021","september","56964"
"Private","2021","august","57348"
"Private","2021","july","57351"
"Private","2021","june","57081"
"Private","2021","may","56802"
"Private","2021","april","56481"
"Private","2021","march","56911"
"Private","2021","february","56476"
"Private","2021","january","56836"
"Private","2020","december","59577"
"Private","2020","november","59385"
"Private","2020","october","59239"
"Private","2020","september","59185"
"Private","2020","august","58830"
"Private","2020","july","58982"
"Private","2020","june","58684"
"Private","2020","may","57856"
"Private","2020","april","57760"
"Private","2020","march","60829"
"Private","2020","february","60971"
"Private","2020","january","61211"
"Private","2019","december","62164"
"Private","2019","november","62131"
"Private","2019","october","61551"
"Private","2019","september","61629"
"Private","2019","august","61648"
"Private","2019","july","61208"
"Private","2019","june","61328"
"Private","2019","may","60793"
"Private","2019","april","60284"
"Private","2019","march","60234"
"Private","2019","february","60001"
"Private","2019","january","60162"
"Private","2018","december","60486"
"Private","2018","november","60209"
"Private","2018","october","59865"
"Private","2018","september","59115"
"Private","2018","august","59135"
"Private","2018","july","58519"
"Private","2018","june","57838"
"Private","2018","may","57247"
"Private","2018","april","56645"
"Private","2018","march","56876"
"Private","2018","february","56451"
"Private","2018","january","56226"
"Private","2017","december","57138"
"Private","2017","november","56860"
"Private","2017","october","56790"
"Private","2017","september","57006"
"Private","2017","august","57061"
"Private","2017","july","57006"
"Private","2017","june","57279"
"Private","2017","may","56902"
"Private","2017","april","56630"
"Private","2017","march","55891"
"Private","2017","february","55826"
"Private","2017","january","55549"
"Private","2016","december","58132"
"Private","2016","november","58810"
"Private","2016","october","59009"
"Private","2016","september","58827"
"Private","2016","august","59166"
"Private","2016","july","59626"
"Private","2016","june","58709"
"Private","2016","may","59063"
"Private","2016","april","59514"
"Private","2016","march","57756"
"Private","2016","february","57978"
"Private","2016","january","58384"
"Private","2015","december","58627"
"Private","2015","november","58532"
"Private","2015","october","58746"
"Private","2015","september","58277"
"Private","2015","august","58547"
"Private","2015","july","58295"
"Private","2015","june","58332"
"Private","2015","may","57909"
"Private","2015","april","57441"
"Private","2015","march","56415"
"Private","2015","february","56329"
"Private","2015","january","56480"
"Private","2014","december","58028"
"Private","2014","november","57913"
"Private","2014","october","57607"
"Private","2014","september","57358"
"Private","2014","august","57371"
"Private","2014","july","56475"
"Private","2014","june","56560"
"Private","2014","may","56231"
"Private","2014","april","56018"
"Private","2014","march","55308"
"Private","2014","february","54778"
"Private","2014","january","54781"
"Private","2013","december","57120"
"Private","2013","november","56530"
"Private","2013","october","56308"
"Private","2013","september","56728"
"Private","2013","august","56872"
"Private","2013","july","56015"
"Private","2013","june","56059"
"Private","2013","may","55682"
"Private","2013","april","55370"
"Private","2013","march","54604"
"Private","2013","february","54572"
"Private","2013","january","53753"
"Private","2012","december","55382"
"Private","2012","november","54942"
"Private","2012","october","55088"
"Private","2012","september","55072"
"Private","2012","august","54528"
"Private","2012","july","54264"
"Private","2012","june","54258"
"Private","2012","may","54184"
"Private","2012","april","54074"
"Private","2012","march","53411"
"Private","2012","february","52866"
"Private","2012","january","53338"
"Private","2011","december","54121"
"Private","2011","november","54132"
"Private","2011","october","53851"
"Private","2011","september","53724"
"Private","2011","august","53739"
"Private","2011","july","53290"
"Private","2011","june","53756"
"Private","2011","may","53207"
"Private","2011","april","53235"
"Private","2011","march","52602"
"Private","2011","february","52367"
"Private","2011","january","51898"
