"Ownership","Year","Month","Value"
"Private","2022","march","2006"
"Private","2022","february","1972"
"Private","2022","january","1955"
"Private","2021","december","2021"
"Private","2021","november","2034"
"Private","2021","october","1986"
"Private","2021","september","2021"
"Private","2021","august","2026"
"Private","2021","july","1990"
"Private","2021","june","1987"
"Private","2021","may","1980"
"Private","2021","april","1985"
"Private","2021","march","1928"
"Private","2021","february","1917"
"Private","2021","january","1939"
"Private","2020","december","2048"
"Private","2020","november","2086"
"Private","2020","october","2068"
"Private","2020","september","2009"
"Private","2020","august","2022"
"Private","2020","july","2021"
"Private","2020","june","2032"
"Private","2020","may","2052"
"Private","2020","april","2086"
"Private","2020","march","2364"
"Private","2020","february","2361"
"Private","2020","january","2371"
"Private","2019","december","2573"
"Private","2019","november","2546"
"Private","2019","october","2583"
"Private","2019","september","2631"
"Private","2019","august","2656"
"Private","2019","july","2659"
"Private","2019","june","2622"
"Private","2019","may","2611"
"Private","2019","april","2588"
"Private","2019","march","2526"
"Private","2019","february","2462"
"Private","2019","january","2457"
"Private","2018","december","2478"
"Private","2018","november","2474"
"Private","2018","october","2488"
"Private","2018","september","2506"
"Private","2018","august","2484"
"Private","2018","july","2476"
"Private","2018","june","2446"
"Private","2018","may","2401"
"Private","2018","april","2327"
"Private","2018","march","2295"
"Private","2018","february","2207"
"Private","2018","january","2142"
"Private","2017","december","2214"
"Private","2017","november","2252"
"Private","2017","october","2252"
"Private","2017","september","2297"
"Private","2017","august","2287"
"Private","2017","july","2259"
"Private","2017","june","2259"
"Private","2017","may","2276"
"Private","2017","april","2290"
"Private","2017","march","2345"
"Private","2017","february","2325"
"Private","2017","january","2276"
"Private","2016","december","2366"
"Private","2016","november","2394"
"Private","2016","october","2412"
"Private","2016","september","2444"
"Private","2016","august","2444"
"Private","2016","july","2427"
"Private","2016","june","2427"
"Private","2016","may","2450"
"Private","2016","april","2458"
"Private","2016","march","2481"
"Private","2016","february","2446"
"Private","2016","january","2368"
"Private","2015","december","2557"
"Private","2015","november","2566"
"Private","2015","october","2556"
"Private","2015","september","2556"
"Private","2015","august","2569"
"Private","2015","july","2519"
"Private","2015","june","2560"
"Private","2015","may","2542"
"Private","2015","april","2617"
"Private","2015","march","2496"
"Private","2015","february","2450"
"Private","2015","january","2384"
"Private","2014","december","2541"
"Private","2014","november","2531"
"Private","2014","october","2532"
"Private","2014","september","2488"
"Private","2014","august","2483"
"Private","2014","july","2495"
"Private","2014","june","2542"
"Private","2014","may","2504"
"Private","2014","april","2507"
"Private","2014","march","2535"
"Private","2014","february","2477"
"Private","2014","january","2408"
"Private","2013","december","2496"
"Private","2013","november","2491"
"Private","2013","october","2492"
"Private","2013","september","2411"
"Private","2013","august","2413"
"Private","2013","july","2431"
"Private","2013","june","2468"
"Private","2013","may","2476"
"Private","2013","april","2492"
"Private","2013","march","2492"
"Private","2013","february","2451"
"Private","2013","january","2301"
"Private","2012","december","2480"
"Private","2012","november","2458"
"Private","2012","october","2475"
"Private","2012","september","2531"
"Private","2012","august","2538"
"Private","2012","july","2555"
"Private","2012","june","2315"
"Private","2012","may","2308"
"Private","2012","april","2298"
"Private","2012","march","2272"
"Private","2012","february","2146"
"Private","2012","january","2141"
"Private","2011","december","2111"
"Private","2011","november","2124"
"Private","2011","october","2118"
"Private","2011","september","2193"
"Private","2011","august","2125"
"Private","2011","july","2141"
"Private","2011","june","2146"
"Private","2011","may","2157"
"Private","2011","april","2125"
"Private","2011","march","2088"
"Private","2011","february","2075"
"Private","2011","january","2045"
