State,Commodity,Unit,Year,Units_Within,Units_In,Units_Out
Alabama,Coal,million ton-miles,2012,4363.8495,24785.08173,21117.67235
Alabama,Coal-n.e.c.,million ton-miles,2012,1366.432291,17578.3462,8382.031575
Alabama,Gravel,million ton-miles,2012,1005.266452,3865.068236,6524.54871
Alabama,Animal feed,million ton-miles,2012,985.269914,3475.242468,3104.579657
Alabama,Nonmetal min. prods.,million ton-miles,2012,984.693223,3264.792736,2799.472547
Alabama,Wood prods.,million ton-miles,2012,762.949576,2757.4724,2263.380577
Alabama,Logs,million ton-miles,2012,626.312531,2668.062541,2224.3019
Alabama,Other ag prods.,million ton-miles,2012,609.138149,2382.559872,2126.9491
Alabama,Base metals,million ton-miles,2012,569.913375,2153.7064,2027.020441
Alabama,Fuel oils,million ton-miles,2012,385.013534,2125.645267,2019.754417
Alaska,Crude petroleum,million ton-miles,2012,9780.459,1466.120559,100291.3926
Alaska,Fuel oils,million ton-miles,2012,988.4518,443.5748,469.5339
Alaska,Live animals/fish,million ton-miles,2012,530.2524,359.811397,426.044102
Alaska,Gasoline,million ton-miles,2012,440.5856,349.2036,223.945292
Alaska,Meat/seafood,million ton-miles,2012,331.586216,300.349008,180.4315
Alaska,Coal-n.e.c.,million ton-miles,2012,223.743126,225.4469,135.2972
Alaska,Nonmetal min. prods.,million ton-miles,2012,191.704432,186.250604,120.191401
Alaska,Logs,million ton-miles,2012,140.93245,176.6897,119.4764
Alaska,Gravel,million ton-miles,2012,117.9113,160.7794,88.7915
Alaska,Metallic ores,million ton-miles,2012,95.3959,160.4452,77.0419
Arizona,Gravel,million ton-miles,2012,2573.1894,10901.31681,13049.33749
Arizona,Metallic ores,million ton-miles,2012,1443.070026,7280.2957,2343.897206
Arizona,Nonmetal min. prods.,million ton-miles,2012,867.842783,4146.318698,2158.840666
Arizona,Other ag prods.,million ton-miles,2012,800.459804,3128.04761,1041.681874
Arizona,Other foodstuffs,million ton-miles,2012,764.608527,2231.637867,984.795707
Arizona,Mixed freight,million ton-miles,2012,517.209971,1797.000103,953.237932
Arizona,Coal,million ton-miles,2012,468.0486,1782.287783,872.64511
Arizona,Natural sands,million ton-miles,2012,441.5206,1631.9987,803.060837
Arizona,Waste/scrap,million ton-miles,2012,418.155916,1609.362338,771.472161
Arizona,Coal-n.e.c.,million ton-miles,2012,329.575869,1545.856536,700.502601
Arkansas,Coal-n.e.c.,million ton-miles,2012,5453.8495,13482.82626,19244.7608
Arkansas,Other ag prods.,million ton-miles,2012,984.59836,9506.0577,3418.605001
Arkansas,Gravel,million ton-miles,2012,701.1983,5487.5253,3063.0237
Arkansas,Waste/scrap,million ton-miles,2012,417.8319,2615.22703,2940.971348
Arkansas,Cereal grains,million ton-miles,2012,348.3654,2463.908493,2603.3903
Arkansas,Machinery,million ton-miles,2012,339.15972,2185.99887,1594.2996
Arkansas,Base metals,million ton-miles,2012,307.92264,2143.897424,1428.915656
Arkansas,Logs,million ton-miles,2012,262.092682,1705.900915,1424.640379
Arkansas,Wood prods.,million ton-miles,2012,237.3684,1167.908327,1325.1959
Arkansas,Other foodstuffs,million ton-miles,2012,226.7101,1069.914195,1213.1238
California,Other foodstuffs,million ton-miles,2012,10852.04671,74657.32786,37308.99685
California,Nonmetal min. prods.,million ton-miles,2012,10530.66766,31946.31151,13865.43486
California,Other ag prods.,million ton-miles,2012,10380.00056,30372.78219,12105.05591
California,Gasoline,million ton-miles,2012,8301.586334,27416.68742,12009.53928
California,Coal-n.e.c.,million ton-miles,2012,6291.218195,14985.80116,10219.54008
California,Gravel,million ton-miles,2012,6100.772532,14868.28033,9478.585048
California,Waste/scrap,million ton-miles,2012,5791.654219,13090.767,8832.041425
California,Mixed freight,million ton-miles,2012,4812.721598,12996.49601,8228.198289
California,Natural sands,million ton-miles,2012,4472.59742,11269.37085,7768.754617
California,Crude petroleum,million ton-miles,2012,4413.1148,10111.80321,7298.442414
Colorado,Coal-n.e.c.,million ton-miles,2012,3107.1661,18679.72142,24045.46083
Colorado,Coal,million ton-miles,2012,2513.632,8998.4602,17144.7914
Colorado,Animal feed,million ton-miles,2012,1171.632967,3027.177334,4070.61063
Colorado,Nonmetal min. prods.,million ton-miles,2012,1156.545856,2815.506145,3147.9607
Colorado,Gravel,million ton-miles,2012,1028.240202,2170.194067,2477.6088
Colorado,Cereal grains,million ton-miles,2012,958.17911,1659.80224,2013.8802
Colorado,Mixed freight,million ton-miles,2012,476.030823,1516.276321,1936.395619
Colorado,Waste/scrap,million ton-miles,2012,405.371229,1510.036941,1390.870443
Colorado,Natural sands,million ton-miles,2012,362.2189,1243.103837,1340.027986
Colorado,Gasoline,million ton-miles,2012,357.708709,1202.58751,1273.088205
Connecticut,Fuel oils,million ton-miles,2012,524.4511,2528.158753,9232.891654
Connecticut,Gravel,million ton-miles,2012,324.3663,2423.28032,1724.243587
Connecticut,Coal-n.e.c.,million ton-miles,2012,269.0484,2254.68172,1521.193123
Connecticut,Nonmetal min. prods.,million ton-miles,2012,181.409924,2107.397609,1303.570056
Connecticut,Waste/scrap,million ton-miles,2012,144.946772,944.591914,1119.842086
Connecticut,Gasoline,million ton-miles,2012,130.9837,807.039619,1047.724572
Connecticut,Natural sands,million ton-miles,2012,88.9729,805.5805,994.642098
Connecticut,Mixed freight,million ton-miles,2012,82.732942,687.428998,855.841427
