State,Commodity,Unit,Year,Units_Within,Units_In,Units_Out
Alabama,Logs,thousand tons,2012,44229.01774,78597.43176,62341.59561
Alabama,Gravel,thousand tons,2012,28851.0747,12493.7872,12479.95578
Alabama,Coal,thousand tons,2012,22651.234,6002.207522,8494.078258
Alabama,Nonmetal min. prods.,thousand tons,2012,13561.20291,4651.900029,4913.030699
Alabama,Coal-n.e.c.,thousand tons,2012,10334.26564,4429.964915,4801.224524
Alabama,Natural sands,thousand tons,2012,9889.0644,4427.2841,4750.115664
Alabama,Waste/scrap,thousand tons,2012,8073.118752,3991.991503,4525.188888
Alabama,Wood prods.,thousand tons,2012,7260.892,3820.5901,4223.258639
Alabama,Gasoline,thousand tons,2012,7178.8693,3627.3239,3619.4511
Alabama,Fuel oils,thousand tons,2012,6808.6246,3368.6825,3480.8868
Alaska,Crude petroleum,thousand tons,2012,18944.2347,696.9925,25182.0945
Alaska,Coal-n.e.c.,thousand tons,2012,7918.609233,242.6284,258.389
Alaska,Gasoline,thousand tons,2012,5461.5112,160.4364,109.330301
Alaska,Gravel,thousand tons,2012,4527.5283,153.0707,59.0853
Alaska,Fuel oils,thousand tons,2012,3536.691,91.719902,57.4841
Alaska,Logs,thousand tons,2012,2928.549175,69.6684,46.9425
Alaska,Live animals/fish,thousand tons,2012,2687.5439,66.7304,42.1091
Alaska,Coal,thousand tons,2012,2594.2998,65.1896,40.2761
Alaska,Nonmetal min. prods.,thousand tons,2012,2351.9287,61.8719,31.9622
Alaska,Metallic ores,thousand tons,2012,1277.4205,60.8213,28.5222
Arizona,Gravel,thousand tons,2012,48816.9306,26788.92803,19023.17553
Arizona,Nonmetal min. prods.,thousand tons,2012,13908.60809,5425.2043,2466.733905
Arizona,Metallic ores,thousand tons,2012,8846.7077,4744.224399,2116.758709
Arizona,Waste/scrap,thousand tons,2012,8788.5724,2150.195095,1432.921799
Arizona,Coal,thousand tons,2012,7270.1005,2025.4741,1362.766095
Arizona,Natural sands,thousand tons,2012,6588.3766,1758.83,1209.918705
Arizona,Other foodstuffs,thousand tons,2012,6239.8599,1397.5701,1129.9515
Arizona,Other ag prods.,thousand tons,2012,5290.97847,1363.6078,1111.079602
Arizona,Mixed freight,thousand tons,2012,4463.030804,1319.649579,675.780911
Arizona,Fuel oils,thousand tons,2012,3168.5253,1156.758519,663.391
Arkansas,Gravel,thousand tons,2012,25073.4497,39603.81133,49734.5761
Arkansas,Coal-n.e.c.,thousand tons,2012,23527.8007,7130.2877,4749.1876
Arkansas,Logs,thousand tons,2012,18919.42965,6659.5565,4715.018802
Arkansas,Cereal grains,thousand tons,2012,13431.9648,4156.2187,3694.1699
Arkansas,Waste/scrap,thousand tons,2012,8380.1254,3743.339,2886.3539
Arkansas,Machinery,thousand tons,2012,7765.2286,3677.4814,2721.8726
Arkansas,Nonmetal min. prods.,thousand tons,2012,7401.3917,3618.7839,2644.3572
Arkansas,Other ag prods.,thousand tons,2012,6593.772437,3442.0292,2350.7747
Arkansas,Natural sands,thousand tons,2012,5599.039,2302.628814,2302.1459
Arkansas,Wood prods.,thousand tons,2012,4242.9658,1962.074699,2107.841002
California,Gasoline,thousand tons,2012,108731.3827,51320.60241,23029.9703
California,Gravel,thousand tons,2012,95680.72211,18704.251,8271.345266
California,Nonmetal min. prods.,thousand tons,2012,95039.09329,15518.66269,6976.395552
California,Waste/scrap,thousand tons,2012,88163.65641,14926.86631,6693.554946
California,Other foodstuffs,thousand tons,2012,75791.81303,9325.394317,5926.999001
California,Natural sands,thousand tons,2012,69753.83815,8073.256227,5346.145248
California,Crude petroleum,thousand tons,2012,64075.9352,7856.632727,5303.330576
California,Other ag prods.,thousand tons,2012,53737.54952,7614.241906,5249.113664
California,Coal-n.e.c.,thousand tons,2012,46209.48399,7074.265061,5110.391746
California,Mixed freight,thousand tons,2012,38254.06476,6137.188818,4680.604133
Colorado,Gravel,thousand tons,2012,47260.0254,35554.0407,56082.18476
Colorado,Coal-n.e.c.,thousand tons,2012,30397.8283,17770.0224,15508.025
Colorado,Coal,thousand tons,2012,16278.0594,3516.4747,6282.1857
Colorado,Nonmetal min. prods.,thousand tons,2012,13398.9566,3336.9027,3066.4893
Colorado,Cereal grains,thousand tons,2012,11995.3439,2310.4684,3040.7862
Colorado,Natural sands,thousand tons,2012,11035.5261,1954.0232,2714.8523
Colorado,Animal feed,thousand tons,2012,10692.2043,1871.680321,2691.254602
Colorado,Waste/scrap,thousand tons,2012,9473.0169,1699.2451,1685.64576
Colorado,Gasoline,thousand tons,2012,4945.7235,1529.9138,1621.1632
Colorado,Mixed freight,thousand tons,2012,4913.323932,1474.8015,1587.709601
Connecticut,Gravel,thousand tons,2012,16570.7952,13729.76556,13126.71691
Connecticut,Fuel oils,thousand tons,2012,15337.1271,6352.973032,8954.812178
Connecticut,Coal-n.e.c.,thousand tons,2012,7818.4598,3552.38867,4213.984994
Connecticut,Nonmetal min. prods.,thousand tons,2012,7247.1291,2641.549834,2888.565901
Connecticut,Waste/scrap,thousand tons,2012,5596.2338,2001.204227,1872.070308
Connecticut,Gasoline,thousand tons,2012,4440.6135,1442.464361,1566.839406
Connecticut,Natural sands,thousand tons,2012,3359.9329,1197.3701,1361.531602
Connecticut,Mixed freight,thousand tons,2012,1964.317294,1179.744791,1261.1344
Connecticut,Other foodstuffs,thousand tons,2012,1352.0332,1036.7631,1217.303316
Connecticut,Base metals,thousand tons,2012,1193.8458,976.526289,1185.1102
Delaware,Gasoline,thousand tons,2012,6367.02,4608.413653,1120.0062
Delaware,Crude petroleum,thousand tons,2012,5843.1847,2667.445041,1111.245161
Delaware,Fuel oils,thousand tons,2012,5634.9299,1701.0095,877.8384
Delaware,Gravel,thousand tons,2012,3218.9296,1446.0078,850.1744
Delaware,Waste/scrap,thousand tons,2012,2528.515201,1068.978975,700.332626
Delaware,Nonmetal min. prods.,thousand tons,2012,2205.1171,993.6486,609.8329
Delaware,Natural sands,thousand tons,2012,2062.9875,970.312065,602.4222
Delaware,Other ag prods.,thousand tons,2012,1700.049277,732.4377,451.95089
Delaware,Coal-n.e.c.,thousand tons,2012,1627.752422,599.089207,362.4754
Delaware,Cereal grains,thousand tons,2012,1615.4316,580.2145,346.863558
Florida,Gravel,thousand tons,2012,108678.4249,26625.46465,8109.651441
Florida,Natural sands,thousand tons,2012,85835.3866,13807.8709,8076.230273
Florida,Gasoline,thousand tons,2012,49441.9008,12533.8079,6348.34241
Florida,Nonmetal min. prods.,thousand tons,2012,42171.307,12067.0582,3354.41229
Florida,Other ag prods.,thousand tons,2012,38097.73529,6867.259908,3330.860809
Florida,Waste/scrap,thousand tons,2012,31725.81935,4083.420561,2180.259519
Florida,Other foodstuffs,thousand tons,2012,19276.71489,4058.720864,2119.349115
Florida,Fuel oils,thousand tons,2012,18540.93645,3836.034944,2023.472609
Florida,Mixed freight,thousand tons,2012,15193.91662,3326.798203,1649.478226
Florida,Nonmetallic minerals,thousand tons,2012,13576.08134,3222.093017,1519.142644
Georgia,Gravel,thousand tons,2012,54933.9646,33922.65547,25772.36202
Georgia,Logs,thousand tons,2012,34800.08824,19208.7743,10915.0601
Georgia,Gasoline,thousand tons,2012,20280.0076,10723.4401,6818.759603
Georgia,Nonmetal min. prods.,thousand tons,2012,20083.28399,7329.278592,5912.955301
Georgia,Waste/scrap,thousand tons,2012,14905.2692,7149.675071,5902.386736
Georgia,Wood prods.,thousand tons,2012,14332.66676,6313.8917,5359.166651
Georgia,Nonmetallic minerals,thousand tons,2012,11707.3412,6297.621162,4954.542805
Georgia,Other ag prods.,thousand tons,2012,9760.390911,5176.12247,4779.45303
Georgia,Other foodstuffs,thousand tons,2012,9068.5488,4866.944837,4559.3186
