State,Commodity,Unit,Year,Units_Within,Units_In,Units_Out
Alabama,Motorized vehicles,million U.S. dollars (2017 constant $),2012,25200.7829,18545.858,19027.94428
Alabama,Mixed freight,million U.S. dollars (2017 constant $),2012,13331.70574,17594.94953,15299.21282
Alabama,Base metals,million U.S. dollars (2017 constant $),2012,5010.4206,13558.96913,15217.34166
Alabama,Pharmaceuticals,million U.S. dollars (2017 constant $),2012,4859.28818,10834.57661,11746.45355
Alabama,Electronics,million U.S. dollars (2017 constant $),2012,4638.993262,10594.36896,11119.79888
Alabama,Machinery,million U.S. dollars (2017 constant $),2012,4577.347964,10130.20532,8344.903708
Alabama,Furniture,million U.S. dollars (2017 constant $),2012,4215.609204,8515.177237,7358.465878
Alabama,Live animals/fish,million U.S. dollars (2017 constant $),2012,3876.377303,7596.923819,7175.634782
Alabama,Gasoline,million U.S. dollars (2017 constant $),2012,3765.221242,7304.001374,6439.770636
Alabama,Coal-n.e.c.,million U.S. dollars (2017 constant $),2012,3080.017057,6578.163289,5344.039323
Alaska,Crude petroleum,million U.S. dollars (2017 constant $),2012,6459.073509,6311.661061,8581.740445
Alaska,Gasoline,million U.S. dollars (2017 constant $),2012,2716.245593,3330.772448,8466.134423
Alaska,Meat/seafood,million U.S. dollars (2017 constant $),2012,2057.475022,3236.664844,3100.666419
Alaska,Coal-n.e.c.,million U.S. dollars (2017 constant $),2012,2030.305348,2120.862288,1382.003675
Alaska,Fuel oils,million U.S. dollars (2017 constant $),2012,1826.416295,1539.658229,1361.300723
Alaska,Live animals/fish,million U.S. dollars (2017 constant $),2012,1676.722891,1483.908737,424.482834
Alaska,Mixed freight,million U.S. dollars (2017 constant $),2012,1625.918001,1339.384157,342.657969
Alaska,Metallic ores,million U.S. dollars (2017 constant $),2012,1256.746005,793.751544,322.025547
Alaska,Electronics,million U.S. dollars (2017 constant $),2012,1011.953226,454.772158,221.919472
Alaska,Machinery,million U.S. dollars (2017 constant $),2012,840.509423,402.147799,193.631708
Arizona,Pharmaceuticals,million U.S. dollars (2017 constant $),2012,16646.92775,23116.1433,14629.01481
Arizona,Mixed freight,million U.S. dollars (2017 constant $),2012,15114.12029,11075.22229,14283.65148
Arizona,Electronics,million U.S. dollars (2017 constant $),2012,10355.68326,10846.56843,11319.68409
Arizona,Machinery,million U.S. dollars (2017 constant $),2012,5739.380013,10734.75353,7219.371791
Arizona,Furniture,million U.S. dollars (2017 constant $),2012,4909.873492,7846.514522,6930.221349
Arizona,Other foodstuffs,million U.S. dollars (2017 constant $),2012,4347.624909,6892.802317,6445.882772
Arizona,Other ag prods.,million U.S. dollars (2017 constant $),2012,4169.642492,6776.559917,4695.337539
Arizona,Metallic ores,million U.S. dollars (2017 constant $),2012,3732.37376,6390.898859,4052.937511
