State,Commodity,Field,Value,Unit,Year
Alabama,Coal,tmiles_within,4363.8495,million ton-miles,2012
Alabama,Coal,tmiles_out,21117.67235,million ton-miles,2012
Alabama,Coal,tmiles_in,24785.08173,million ton-miles,2012
Alabama,Coal-n.e.c.,tmiles_within,1366.432291,million ton-miles,2012
Alabama,Coal-n.e.c.,tmiles_out,8382.031575,million ton-miles,2012
Alabama,Coal-n.e.c.,tmiles_in,17578.3462,million ton-miles,2012
Alabama,Gravel,tmiles_within,1005.266452,million ton-miles,2012
Alabama,Gravel,tmiles_out,6524.54871,million ton-miles,2012
Alabama,Gravel,tmiles_in,3865.068236,million ton-miles,2012
Alabama,Animal feed,tmiles_within,985.269914,million ton-miles,2012
Alabama,Animal feed,tmiles_out,3104.579657,million ton-miles,2012
Alabama,Animal feed,tmiles_in,3475.242468,million ton-miles,2012
Alabama,Nonmetal min. prods.,tmiles_within,984.693223,million ton-miles,2012
Alabama,Nonmetal min. prods.,tmiles_out,2799.472547,million ton-miles,2012
Alabama,Nonmetal min. prods.,tmiles_in,3264.792736,million ton-miles,2012
Alabama,Wood prods.,tmiles_within,762.949576,million ton-miles,2012
Alabama,Wood prods.,tmiles_out,2263.380577,million ton-miles,2012
Alabama,Wood prods.,tmiles_in,2757.4724,million ton-miles,2012
Alabama,Logs,tmiles_within,626.312531,million ton-miles,2012
Alabama,Logs,tmiles_out,2224.3019,million ton-miles,2012
Alabama,Logs,tmiles_in,2668.062541,million ton-miles,2012
Alabama,Other ag prods.,tmiles_within,609.138149,million ton-miles,2012
Alabama,Other ag prods.,tmiles_out,2126.9491,million ton-miles,2012
Alabama,Other ag prods.,tmiles_in,2382.559872,million ton-miles,2012
Alabama,Base metals,tmiles_within,569.913375,million ton-miles,2012
Alabama,Base metals,tmiles_out,2027.020441,million ton-miles,2012
Alabama,Base metals,tmiles_in,2153.7064,million ton-miles,2012
Alabama,Fuel oils,tmiles_within,385.013534,million ton-miles,2012
Alabama,Fuel oils,tmiles_out,2019.754417,million ton-miles,2012
Alabama,Fuel oils,tmiles_in,2125.645267,million ton-miles,2012
Alaska,Crude petroleum,tmiles_within,9780.459,million ton-miles,2012
Alaska,Crude petroleum,tmiles_out,100291.3926,million ton-miles,2012
Alaska,Crude petroleum,tmiles_in,1466.120559,million ton-miles,2012
Alaska,Fuel oils,tmiles_within,988.4518,million ton-miles,2012
Alaska,Fuel oils,tmiles_out,469.5339,million ton-miles,2012
Alaska,Fuel oils,tmiles_in,443.5748,million ton-miles,2012
Alaska,Live animals/fish,tmiles_within,530.2524,million ton-miles,2012
Alaska,Live animals/fish,tmiles_out,426.044102,million ton-miles,2012
Alaska,Live animals/fish,tmiles_in,359.811397,million ton-miles,2012
Alaska,Gasoline,tmiles_within,440.5856,million ton-miles,2012
Alaska,Gasoline,tmiles_out,223.945292,million ton-miles,2012
Alaska,Gasoline,tmiles_in,349.2036,million ton-miles,2012
Alaska,Meat/seafood,tmiles_within,331.586216,million ton-miles,2012
Alaska,Meat/seafood,tmiles_out,180.4315,million ton-miles,2012
Alaska,Meat/seafood,tmiles_in,300.349008,million ton-miles,2012
Alaska,Coal-n.e.c.,tmiles_within,223.743126,million ton-miles,2012
Alaska,Coal-n.e.c.,tmiles_out,135.2972,million ton-miles,2012
Alaska,Coal-n.e.c.,tmiles_in,225.4469,million ton-miles,2012
Alaska,Nonmetal min. prods.,tmiles_within,191.704432,million ton-miles,2012
Alaska,Nonmetal min. prods.,tmiles_out,120.191401,million ton-miles,2012
Alaska,Nonmetal min. prods.,tmiles_in,186.250604,million ton-miles,2012
Alaska,Logs,tmiles_within,140.93245,million ton-miles,2012
Alaska,Logs,tmiles_out,119.4764,million ton-miles,2012
Alaska,Logs,tmiles_in,176.6897,million ton-miles,2012
Alaska,Gravel,tmiles_within,117.9113,million ton-miles,2012
