State,Commodity,Field,Value,Unit,Year
Alabama,Motorized vehicles,value_within,25200.7829,million U.S. dollars (2017 constant $),2012
Alabama,Motorized vehicles,value_out,19027.94428,million U.S. dollars (2017 constant $),2012
Alabama,Motorized vehicles,value_in,18545.858,million U.S. dollars (2017 constant $),2012
Alabama,Mixed freight,value_within,13331.70574,million U.S. dollars (2017 constant $),2012
Alabama,Mixed freight,value_out,15299.21282,million U.S. dollars (2017 constant $),2012
Alabama,Mixed freight,value_in,17594.94953,million U.S. dollars (2017 constant $),2012
Alabama,Base metals,value_within,5010.4206,million U.S. dollars (2017 constant $),2012
Alabama,Base metals,value_out,15217.34166,million U.S. dollars (2017 constant $),2012
Alabama,Base metals,value_in,13558.96913,million U.S. dollars (2017 constant $),2012
Alabama,Pharmaceuticals,value_within,4859.28818,million U.S. dollars (2017 constant $),2012
Alabama,Pharmaceuticals,value_out,11746.45355,million U.S. dollars (2017 constant $),2012
Alabama,Pharmaceuticals,value_in,10834.57661,million U.S. dollars (2017 constant $),2012
Alabama,Electronics,value_within,4638.993262,million U.S. dollars (2017 constant $),2012
Alabama,Electronics,value_out,11119.79888,million U.S. dollars (2017 constant $),2012
Alabama,Electronics,value_in,10594.36896,million U.S. dollars (2017 constant $),2012
Alabama,Machinery,value_within,4577.347964,million U.S. dollars (2017 constant $),2012
Alabama,Machinery,value_out,8344.903708,million U.S. dollars (2017 constant $),2012
Alabama,Machinery,value_in,10130.20532,million U.S. dollars (2017 constant $),2012
Alabama,Furniture,value_within,4215.609204,million U.S. dollars (2017 constant $),2012
Alabama,Furniture,value_out,7358.465878,million U.S. dollars (2017 constant $),2012
Alabama,Furniture,value_in,8515.177237,million U.S. dollars (2017 constant $),2012
Alabama,Live animals/fish,value_within,3876.377303,million U.S. dollars (2017 constant $),2012
Alabama,Live animals/fish,value_out,7175.634782,million U.S. dollars (2017 constant $),2012
Alabama,Live animals/fish,value_in,7596.923819,million U.S. dollars (2017 constant $),2012
Alabama,Gasoline,value_within,3765.221242,million U.S. dollars (2017 constant $),2012
Alabama,Gasoline,value_out,6439.770636,million U.S. dollars (2017 constant $),2012
Alabama,Gasoline,value_in,7304.001374,million U.S. dollars (2017 constant $),2012
Alabama,Coal-n.e.c.,value_within,3080.017057,million U.S. dollars (2017 constant $),2012
Alabama,Coal-n.e.c.,value_out,5344.039323,million U.S. dollars (2017 constant $),2012
Alabama,Coal-n.e.c.,value_in,6578.163289,million U.S. dollars (2017 constant $),2012
Alaska,Crude petroleum,value_within,6459.073509,million U.S. dollars (2017 constant $),2012
Alaska,Crude petroleum,value_out,8581.740445,million U.S. dollars (2017 constant $),2012
