State,Trade_Type,Domestic_Mode,Unit,Year,Units_Within,Units_In,Units_Out
Alabama,Domestic Only,Air (include truck-air),million ton-miles,2012,0.022769,19.709297,13.416012
Alabama,Domestic Only,Multiple modes & mail,million ton-miles,2012,172.19774,2464.16762,4489.835493
Alabama,Domestic Only,Pipeline,million ton-miles,2012,1068.4216,20797.6992,19946.018
Alabama,Domestic Only,Rail,million ton-miles,2012,511.9414,29925.8812,10418.2748
Alabama,Domestic Only,Truck,million ton-miles,2012,8127.00702,23375.28056,25947.6156
Alabama,Domestic Only,Water,million ton-miles,2012,0.9383,3287.8692,432.4471
Alabama,Export,Air (include truck-air),million ton-miles,2012,0.007353,12.990514,7.877206
Alabama,Export,Multiple modes & mail,million ton-miles,2012,9.445792,145.56975,412.605346
Alabama,Export,Other and unknown,million ton-miles,2012,0,0,1.6481
Alabama,Export,Pipeline,million ton-miles,2012,3.8084,0,0
Alabama,Export,Rail,million ton-miles,2012,171.603278,1375.303329,1139.182421
Alabama,Export,Truck,million ton-miles,2012,3464.949135,369.914238,1432.751106
Alabama,Export,Water,million ton-miles,2012,0.383637,250.306376,13.797983
Alabama,Import,Air (include truck-air),million ton-miles,2012,0.312347,8.839815,7.766523
Alabama,Import,Multiple modes & mail,million ton-miles,2012,32.461452,1065.424987,638.839355
Alabama,Import,No domestic mode,million ton-miles,2012,0,0,0
Alabama,Import,Other and unknown,million ton-miles,2012,0.287847,1.836813,117.431504
Alabama,Import,Pipeline,million ton-miles,2012,0.136502,0,0
Alabama,Import,Rail,million ton-miles,2012,654.037053,2119.297991,981.178121
Alabama,Import,Truck,million ton-miles,2012,1027.930076,697.235398,1544.095787
Alabama,Import,Water,million ton-miles,2012,0.482065,125.759229,893.293911
Alaska,Domestic Only,Air (include truck-air),million ton-miles,2012,53.8929,191.361941,33.936092
Alaska,Domestic Only,Multiple modes & mail,million ton-miles,2012,26.237229,2725.120255,1262.7097
Alaska,Domestic Only,Pipeline,million ton-miles,2012,8953.6361,0,0
Alaska,Domestic Only,Rail,million ton-miles,2012,217.9511,0,0
Alaska,Domestic Only,Truck,million ton-miles,2012,2130.512019,0,0
Alaska,Domestic Only,Water,million ton-miles,2012,1276.015785,1450.0263,100434.5049
Alaska,Export,Air (include truck-air),million ton-miles,2012,2.610956,261.857891,1.004718
Alaska,Export,Multiple modes & mail,million ton-miles,2012,3.834343,342.866933,362.441581
Alaska,Export,Other and unknown,million ton-miles,2012,0.001306,0,0.0097
Alaska,Export,Pipeline,million ton-miles,2012,46.8251,0,0
Alaska,Export,Rail,million ton-miles,2012,20.2423,0,0.17875
Alaska,Export,Truck,million ton-miles,2012,352.063926,0,0
Alaska,Export,Water,million ton-miles,2012,102.79147,197.14181,0.000011
Alaska,Import,Air (include truck-air),million ton-miles,2012,0.4513,2.475612,167.592851
Alaska,Import,Multiple modes & mail,million ton-miles,2012,1.980043,258.481344,25.81585
Alaska,Import,Other and unknown,million ton-miles,2012,0.2556,1.3331,39.4218
Alaska,Import,Pipeline,million ton-miles,2012,73.244,0,0
Alaska,Import,Rail,million ton-miles,2012,15.929133,0,0
Alaska,Import,Truck,million ton-miles,2012,48.053251,0,0
Alaska,Import,Water,million ton-miles,2012,15.973783,0.001109,19.0173
Arizona,Domestic Only,Air (include truck-air),million ton-miles,2012,0,50.320654,44.427412
Arizona,Domestic Only,Multiple modes & mail,million ton-miles,2012,35.516594,3627.961524,682.702707
Arizona,Domestic Only,Pipeline,million ton-miles,2012,0.201,9670.2352,12546.092
Arizona,Domestic Only,Rail,million ton-miles,2012,642.9328,17487.6628,817.811
Arizona,Domestic Only,Truck,million ton-miles,2012,8394.937985,18441.93599,11042.06025
