State,Trade_Type,Domestic_Mode,Unit,Year,Units_Within,Units_In,Units_Out
Alabama,Domestic Only,Air (include truck-air),thousand tons,2012,0.1573,21.221105,12.296999
Alabama,Domestic Only,Multiple modes & mail,thousand tons,2012,925.07847,3326.600244,5643.30647
Alabama,Domestic Only,Pipeline,thousand tons,2012,7134.2903,71176.179,60657.1928
Alabama,Domestic Only,Rail,thousand tons,2012,5650.9338,26970.9246,14655.2079
Alabama,Domestic Only,Truck,thousand tons,2012,166010.7109,46016.43373,49363.36327
Alabama,Domestic Only,Water,thousand tons,2012,5.2137,7526.4937,682.5207
Alabama,Export,Air (include truck-air),thousand tons,2012,0.044418,22.206513,14.916028
Alabama,Export,Multiple modes & mail,thousand tons,2012,54.791221,199.33718,243.391096
Alabama,Export,Other and unknown,thousand tons,2012,0,0,1.5411
Alabama,Export,Pipeline,thousand tons,2012,154.2284,0,0
Alabama,Export,Rail,thousand tons,2012,610.2565,1406.0598,1190.071615
Alabama,Export,Truck,thousand tons,2012,15908.60748,1213.908146,2201.277412
Alabama,Export,Water,thousand tons,2012,17.37144,330.938411,19.194729
Alabama,Import,Air (include truck-air),thousand tons,2012,1.890919,22.596463,14.992679
Alabama,Import,Multiple modes & mail,thousand tons,2012,172.971813,639.131287,713.062729
Alabama,Import,No domestic mode,thousand tons,2012,317.3841,0,0
Alabama,Import,Other and unknown,thousand tons,2012,2.06473,2.5038,61.5037
Alabama,Import,Pipeline,thousand tons,2012,5.5322,0,0
Alabama,Import,Rail,thousand tons,2012,2294.496135,1967.312194,1098.306954
Alabama,Import,Truck,thousand tons,2012,5393.668914,956.673133,1888.834695
Alabama,Import,Water,thousand tons,2012,19.003952,82.117745,750.285428
Alaska,Domestic Only,Air (include truck-air),thousand tons,2012,96.6175,68.049501,14.7422
Alaska,Domestic Only,Multiple modes & mail,thousand tons,2012,112.2182,1054.607329,386.4098
Alaska,Domestic Only,Pipeline,thousand tons,2012,26374.6929,0,0
Alaska,Domestic Only,Rail,thousand tons,2012,3098.591,0,0
Alaska,Domestic Only,Truck,thousand tons,2012,19616.46241,0,0
Alaska,Domestic Only,Water,thousand tons,2012,835.644255,745.0246,25260.7894
Alaska,Export,Air (include truck-air),thousand tons,2012,3.2515,83.024552,0.371806
Alaska,Export,Multiple modes & mail,thousand tons,2012,5.1548,108.819847,180.100693
Alaska,Export,Other and unknown,thousand tons,2012,0.024,0,0.0025
Alaska,Export,Pipeline,thousand tons,2012,211.4534,0,0
Alaska,Export,Rail,thousand tons,2012,887.82,0,0.048394
Alaska,Export,Truck,thousand tons,2012,1606.5969,0,0
Alaska,Export,Water,thousand tons,2012,1542.0032,107.068902,0.000003
Alaska,Import,Air (include truck-air),thousand tons,2012,0.664453,0.760501,58.707303
Alaska,Import,Multiple modes & mail,thousand tons,2012,12.3034,120.007361,6.972558
Alaska,Import,Other and unknown,thousand tons,2012,1.3411,0.4722,9.5966
Alaska,Import,Pipeline,thousand tons,2012,527.0336,0,0
Alaska,Import,Rail,thousand tons,2012,148.073,0,0
Alaska,Import,Truck,thousand tons,2012,541.79478,0,0
Alaska,Import,Water,thousand tons,2012,414.1928,0.00056,4.9546
Arizona,Domestic Only,Air (include truck-air),thousand tons,2012,0,34.630302,29.407102
Arizona,Domestic Only,Multiple modes & mail,thousand tons,2012,220.9931,2534.802074,485.467183
Arizona,Domestic Only,Pipeline,thousand tons,2012,1.3413,24978.4952,17731.5154
Arizona,Domestic Only,Rail,thousand tons,2012,7967.2663,12506.699,895.8251
Arizona,Domestic Only,Truck,thousand tons,2012,116069.1077,20254.61218,14141.46182
Arizona,Export,Air (include truck-air),thousand tons,2012,1.058989,0.943448,34.79238
Arizona,Export,Multiple modes & mail,thousand tons,2012,0,5.4369,384.975136
