State,Trade_Type,Domestic_Mode,Unit,Year,Units_Within,Units_In,Units_Out
Alabama,Domestic Only,Air (include truck-air),million U.S. dollars (2017 constant $),2012,9.793145,1756.005224,387.663602
Alabama,Domestic Only,Multiple modes & mail,million U.S. dollars (2017 constant $),2012,4722.773744,18880.78606,21248.1921
Alabama,Domestic Only,Pipeline,million U.S. dollars (2017 constant $),2012,1782.805743,14015.28029,10402.69079
Alabama,Domestic Only,Rail,million U.S. dollars (2017 constant $),2012,916.142098,6258.245009,7256.445191
Alabama,Domestic Only,Truck,million U.S. dollars (2017 constant $),2012,88507.08129,100117.017,88137.12492
Alabama,Domestic Only,Water,million U.S. dollars (2017 constant $),2012,1.685238,2596.093679,540.821656
Alabama,Export,Air (include truck-air),million U.S. dollars (2017 constant $),2012,10.549958,3468.585044,1416.882926
Alabama,Export,Multiple modes & mail,million U.S. dollars (2017 constant $),2012,163.410593,146.393665,1408.520363
Alabama,Export,Other and unknown,million U.S. dollars (2017 constant $),2012,0,0,3.729529
Alabama,Export,Pipeline,million U.S. dollars (2017 constant $),2012,32.406911,0,0
Alabama,Export,Rail,million U.S. dollars (2017 constant $),2012,386.660842,529.889182,2851.454524
Alabama,Export,Truck,million U.S. dollars (2017 constant $),2012,3419.269395,960.532244,10125.66241
Alabama,Export,Water,million U.S. dollars (2017 constant $),2012,9.780195,239.391787,61.293827
Alabama,Import,Air (include truck-air),million U.S. dollars (2017 constant $),2012,173.173883,1037.697197,1576.661326
Alabama,Import,Multiple modes & mail,million U.S. dollars (2017 constant $),2012,213.941159,4161.624378,365.450288
Alabama,Import,No domestic mode,million U.S. dollars (2017 constant $),2012,114.919767,0,0
Alabama,Import,Other and unknown,million U.S. dollars (2017 constant $),2012,4.785018,23.840065,11.457973
Alabama,Import,Pipeline,million U.S. dollars (2017 constant $),2012,12.269599,0,0
Alabama,Import,Rail,million U.S. dollars (2017 constant $),2012,588.170597,3249.406595,614.000483
Alabama,Import,Truck,million U.S. dollars (2017 constant $),2012,3842.552822,4908.341852,1201.306202
Alabama,Import,Water,million U.S. dollars (2017 constant $),2012,16.482754,325.143554,369.481171
Alaska,Domestic Only,Air (include truck-air),million U.S. dollars (2017 constant $),2012,458.59434,1649.257099,2167.615231
Alaska,Domestic Only,Multiple modes & mail,million U.S. dollars (2017 constant $),2012,499.325438,7081.220559,1385.641151
Alaska,Domestic Only,Pipeline,million U.S. dollars (2017 constant $),2012,8713.463066,0,0
Alaska,Domestic Only,Rail,million U.S. dollars (2017 constant $),2012,785.126242,0,0
Alaska,Domestic Only,Truck,million U.S. dollars (2017 constant $),2012,10603.59715,0,0
Alaska,Domestic Only,Water,million U.S. dollars (2017 constant $),2012,415.459754,1935.100241,8980.051279
Alaska,Export,Air (include truck-air),million U.S. dollars (2017 constant $),2012,55.439328,9993.604735,129.859105
Alaska,Export,Multiple modes & mail,million U.S. dollars (2017 constant $),2012,37.697684,2561.305569,594.94042
Alaska,Export,Other and unknown,million U.S. dollars (2017 constant $),2012,0.387681,0,0.027666
Alaska,Export,Pipeline,million U.S. dollars (2017 constant $),2012,111.776695,0,0
Alaska,Export,Rail,million U.S. dollars (2017 constant $),2012,28.360093,0,0.02651
Alaska,Export,Truck,million U.S. dollars (2017 constant $),2012,1769.629725,0,0
Alaska,Export,Water,million U.S. dollars (2017 constant $),2012,1577.343447,151.891609,0.000041
Alaska,Import,Air (include truck-air),million U.S. dollars (2017 constant $),2012,121.609095,119.65726,11551.49942
Alaska,Import,Multiple modes & mail,million U.S. dollars (2017 constant $),2012,70.732913,183.292675,125.365298
Alaska,Import,Other and unknown,million U.S. dollars (2017 constant $),2012,22.455392,14.805818,184.839561
Alaska,Import,Pipeline,million U.S. dollars (2017 constant $),2012,228.578085,0,0
Alaska,Import,Rail,million U.S. dollars (2017 constant $),2012,76.098661,0,0
Alaska,Import,Truck,million U.S. dollars (2017 constant $),2012,520.025086,0,0
Alaska,Import,Water,million U.S. dollars (2017 constant $),2012,163.459422,0.003309,21.031391
Arizona,Domestic Only,Air (include truck-air),million U.S. dollars (2017 constant $),2012,0,5116.174924,2585.582079
Arizona,Domestic Only,Multiple modes & mail,million U.S. dollars (2017 constant $),2012,6406.497493,29681.72116,19514.94442
Arizona,Domestic Only,Pipeline,million U.S. dollars (2017 constant $),2012,0.256664,4830.536862,3429.059177
Arizona,Domestic Only,Rail,million U.S. dollars (2017 constant $),2012,1081.646329,3565.192058,278.963272
Arizona,Domestic Only,Truck,million U.S. dollars (2017 constant $),2012,78239.3211,73643.54987,48150.48428
Arizona,Export,Air (include truck-air),million U.S. dollars (2017 constant $),2012,23.296401,264.8809,7654.330403
Arizona,Export,Multiple modes & mail,million U.S. dollars (2017 constant $),2012,0,3.687486,1101.130748
Arizona,Export,Other and unknown,million U.S. dollars (2017 constant $),2012,21.221048,65.161642,52.524426
