State,Trade_Type,Domestic_Mode,Field,Value,Unit,Year
Alabama,Domestic Only,Air (include truck-air),tmiles_within,0.022769,million ton-miles,2012
Alabama,Domestic Only,Air (include truck-air),tmiles_out,13.416012,million ton-miles,2012
Alabama,Domestic Only,Air (include truck-air),tmiles_in,19.709297,million ton-miles,2012
Alabama,Domestic Only,Multiple modes & mail,tmiles_within,172.19774,million ton-miles,2012
Alabama,Domestic Only,Multiple modes & mail,tmiles_out,4489.835493,million ton-miles,2012
Alabama,Domestic Only,Multiple modes & mail,tmiles_in,2464.16762,million ton-miles,2012
Alabama,Domestic Only,Pipeline,tmiles_within,1068.4216,million ton-miles,2012
Alabama,Domestic Only,Pipeline,tmiles_out,19946.018,million ton-miles,2012
Alabama,Domestic Only,Pipeline,tmiles_in,20797.6992,million ton-miles,2012
Alabama,Domestic Only,Rail,tmiles_within,511.9414,million ton-miles,2012
Alabama,Domestic Only,Rail,tmiles_out,10418.2748,million ton-miles,2012
Alabama,Domestic Only,Rail,tmiles_in,29925.8812,million ton-miles,2012
Alabama,Domestic Only,Truck,tmiles_within,8127.00702,million ton-miles,2012
Alabama,Domestic Only,Truck,tmiles_out,25947.6156,million ton-miles,2012
Alabama,Domestic Only,Truck,tmiles_in,23375.28056,million ton-miles,2012
Alabama,Domestic Only,Water,tmiles_within,0.9383,million ton-miles,2012
Alabama,Domestic Only,Water,tmiles_out,432.4471,million ton-miles,2012
Alabama,Domestic Only,Water,tmiles_in,3287.8692,million ton-miles,2012
Alabama,Export,Air (include truck-air),tmiles_within,0.007353,million ton-miles,2012
Alabama,Export,Air (include truck-air),tmiles_out,7.877206,million ton-miles,2012
Alabama,Export,Air (include truck-air),tmiles_in,12.990514,million ton-miles,2012
Alabama,Export,Multiple modes & mail,tmiles_within,9.445792,million ton-miles,2012
Alabama,Export,Multiple modes & mail,tmiles_out,412.605346,million ton-miles,2012
Alabama,Export,Multiple modes & mail,tmiles_in,145.56975,million ton-miles,2012
Alabama,Export,Other and unknown,tmiles_within,0,million ton-miles,2012
Alabama,Export,Other and unknown,tmiles_out,1.6481,million ton-miles,2012
Alabama,Export,Other and unknown,tmiles_in,0,million ton-miles,2012
Alabama,Export,Pipeline,tmiles_within,3.8084,million ton-miles,2012
Alabama,Export,Pipeline,tmiles_out,0,million ton-miles,2012
Alabama,Export,Pipeline,tmiles_in,0,million ton-miles,2012
Alabama,Export,Rail,tmiles_within,171.603278,million ton-miles,2012
Alabama,Export,Rail,tmiles_out,1139.182421,million ton-miles,2012
Alabama,Export,Rail,tmiles_in,1375.303329,million ton-miles,2012
Alabama,Export,Truck,tmiles_within,3464.949135,million ton-miles,2012
Alabama,Export,Truck,tmiles_out,1432.751106,million ton-miles,2012
Alabama,Export,Truck,tmiles_in,369.914238,million ton-miles,2012
Alabama,Export,Water,tmiles_within,0.383637,million ton-miles,2012
Alabama,Export,Water,tmiles_out,13.797983,million ton-miles,2012
Alabama,Export,Water,tmiles_in,250.306376,million ton-miles,2012
Alabama,Import,Air (include truck-air),tmiles_within,0.312347,million ton-miles,2012
Alabama,Import,Air (include truck-air),tmiles_out,7.766523,million ton-miles,2012
Alabama,Import,Air (include truck-air),tmiles_in,8.839815,million ton-miles,2012
Alabama,Import,Multiple modes & mail,tmiles_within,32.461452,million ton-miles,2012
Alabama,Import,Multiple modes & mail,tmiles_out,638.839355,million ton-miles,2012
Alabama,Import,Multiple modes & mail,tmiles_in,1065.424987,million ton-miles,2012
Alabama,Import,No domestic mode,tmiles_within,0,million ton-miles,2012
Alabama,Import,No domestic mode,tmiles_out,0,million ton-miles,2012
Alabama,Import,No domestic mode,tmiles_in,0,million ton-miles,2012
Alabama,Import,Other and unknown,tmiles_within,0.287847,million ton-miles,2012
Alabama,Import,Other and unknown,tmiles_out,117.431504,million ton-miles,2012
Alabama,Import,Other and unknown,tmiles_in,1.836813,million ton-miles,2012
Alabama,Import,Pipeline,tmiles_within,0.136502,million ton-miles,2012
Alabama,Import,Pipeline,tmiles_out,0,million ton-miles,2012
Alabama,Import,Pipeline,tmiles_in,0,million ton-miles,2012
Alabama,Import,Rail,tmiles_within,654.037053,million ton-miles,2012
Alabama,Import,Rail,tmiles_out,981.178121,million ton-miles,2012
Alabama,Import,Rail,tmiles_in,2119.297991,million ton-miles,2012
Alabama,Import,Truck,tmiles_within,1027.930076,million ton-miles,2012
Alabama,Import,Truck,tmiles_out,1544.095787,million ton-miles,2012
Alabama,Import,Truck,tmiles_in,697.235398,million ton-miles,2012
Alabama,Import,Water,tmiles_within,0.482065,million ton-miles,2012
Alabama,Import,Water,tmiles_out,893.293911,million ton-miles,2012
Alabama,Import,Water,tmiles_in,125.759229,million ton-miles,2012
Alaska,Domestic Only,Air (include truck-air),tmiles_within,53.8929,million ton-miles,2012
Alaska,Domestic Only,Air (include truck-air),tmiles_out,33.936092,million ton-miles,2012
Alaska,Domestic Only,Air (include truck-air),tmiles_in,191.361941,million ton-miles,2012
Alaska,Domestic Only,Multiple modes & mail,tmiles_within,26.237229,million ton-miles,2012
Alaska,Domestic Only,Multiple modes & mail,tmiles_out,1262.7097,million ton-miles,2012
Alaska,Domestic Only,Multiple modes & mail,tmiles_in,2725.120255,million ton-miles,2012
Alaska,Domestic Only,Pipeline,tmiles_within,8953.6361,million ton-miles,2012
Alaska,Domestic Only,Pipeline,tmiles_out,0,million ton-miles,2012
Alaska,Domestic Only,Pipeline,tmiles_in,0,million ton-miles,2012
Alaska,Domestic Only,Rail,tmiles_within,217.9511,million ton-miles,2012
Alaska,Domestic Only,Rail,tmiles_out,0,million ton-miles,2012
Alaska,Domestic Only,Rail,tmiles_in,0,million ton-miles,2012
Alaska,Domestic Only,Truck,tmiles_within,2130.512019,million ton-miles,2012
Alaska,Domestic Only,Truck,tmiles_out,0,million ton-miles,2012
Alaska,Domestic Only,Truck,tmiles_in,0,million ton-miles,2012
Alaska,Domestic Only,Water,tmiles_within,1276.015785,million ton-miles,2012
Alaska,Domestic Only,Water,tmiles_out,100434.5049,million ton-miles,2012
Alaska,Domestic Only,Water,tmiles_in,1450.0263,million ton-miles,2012
Alaska,Export,Air (include truck-air),tmiles_within,2.610956,million ton-miles,2012
Alaska,Export,Air (include truck-air),tmiles_out,1.004718,million ton-miles,2012
Alaska,Export,Air (include truck-air),tmiles_in,261.857891,million ton-miles,2012
Alaska,Export,Multiple modes & mail,tmiles_within,3.834343,million ton-miles,2012
Alaska,Export,Multiple modes & mail,tmiles_out,362.441581,million ton-miles,2012
Alaska,Export,Multiple modes & mail,tmiles_in,342.866933,million ton-miles,2012
Alaska,Export,Other and unknown,tmiles_within,0.001306,million ton-miles,2012
Alaska,Export,Other and unknown,tmiles_out,0.0097,million ton-miles,2012
Alaska,Export,Other and unknown,tmiles_in,0,million ton-miles,2012
Alaska,Export,Pipeline,tmiles_within,46.8251,million ton-miles,2012
Alaska,Export,Pipeline,tmiles_out,0,million ton-miles,2012
Alaska,Export,Pipeline,tmiles_in,0,million ton-miles,2012
Alaska,Export,Rail,tmiles_within,20.2423,million ton-miles,2012
Alaska,Export,Rail,tmiles_out,0.17875,million ton-miles,2012
Alaska,Export,Rail,tmiles_in,0,million ton-miles,2012
Alaska,Export,Truck,tmiles_within,352.063926,million ton-miles,2012
Alaska,Export,Truck,tmiles_out,0,million ton-miles,2012
Alaska,Export,Truck,tmiles_in,0,million ton-miles,2012
Alaska,Export,Water,tmiles_within,102.79147,million ton-miles,2012
Alaska,Export,Water,tmiles_out,0.000011,million ton-miles,2012
Alaska,Export,Water,tmiles_in,197.14181,million ton-miles,2012
Alaska,Import,Air (include truck-air),tmiles_within,0.4513,million ton-miles,2012
Alaska,Import,Air (include truck-air),tmiles_out,167.592851,million ton-miles,2012
Alaska,Import,Air (include truck-air),tmiles_in,2.475612,million ton-miles,2012
Alaska,Import,Multiple modes & mail,tmiles_within,1.980043,million ton-miles,2012
Alaska,Import,Multiple modes & mail,tmiles_out,25.81585,million ton-miles,2012
