State,Trade_Type,Domestic_Mode,Field,Value,Unit,Year
Alabama,Domestic Only,Air (include truck-air),tons_within,0.1573,thousand tons,2012
Alabama,Domestic Only,Air (include truck-air),tons_out,12.296999,thousand tons,2012
Alabama,Domestic Only,Air (include truck-air),tons_in,21.221105,thousand tons,2012
Alabama,Domestic Only,Multiple modes & mail,tons_within,925.07847,thousand tons,2012
Alabama,Domestic Only,Multiple modes & mail,tons_out,5643.30647,thousand tons,2012
Alabama,Domestic Only,Multiple modes & mail,tons_in,3326.600244,thousand tons,2012
Alabama,Domestic Only,Pipeline,tons_within,7134.2903,thousand tons,2012
Alabama,Domestic Only,Pipeline,tons_out,60657.1928,thousand tons,2012
Alabama,Domestic Only,Pipeline,tons_in,71176.179,thousand tons,2012
Alabama,Domestic Only,Rail,tons_within,5650.9338,thousand tons,2012
Alabama,Domestic Only,Rail,tons_out,14655.2079,thousand tons,2012
Alabama,Domestic Only,Rail,tons_in,26970.9246,thousand tons,2012
Alabama,Domestic Only,Truck,tons_within,166010.7109,thousand tons,2012
Alabama,Domestic Only,Truck,tons_out,49363.36327,thousand tons,2012
Alabama,Domestic Only,Truck,tons_in,46016.43373,thousand tons,2012
Alabama,Domestic Only,Water,tons_within,5.2137,thousand tons,2012
Alabama,Domestic Only,Water,tons_out,682.5207,thousand tons,2012
Alabama,Domestic Only,Water,tons_in,7526.4937,thousand tons,2012
Alabama,Export,Air (include truck-air),tons_within,0.044418,thousand tons,2012
Alabama,Export,Air (include truck-air),tons_out,14.916028,thousand tons,2012
Alabama,Export,Air (include truck-air),tons_in,22.206513,thousand tons,2012
Alabama,Export,Multiple modes & mail,tons_within,54.791221,thousand tons,2012
Alabama,Export,Multiple modes & mail,tons_out,243.391096,thousand tons,2012
Alabama,Export,Multiple modes & mail,tons_in,199.33718,thousand tons,2012
Alabama,Export,Other and unknown,tons_within,0,thousand tons,2012
Alabama,Export,Other and unknown,tons_out,1.5411,thousand tons,2012
Alabama,Export,Other and unknown,tons_in,0,thousand tons,2012
Alabama,Export,Pipeline,tons_within,154.2284,thousand tons,2012
Alabama,Export,Pipeline,tons_out,0,thousand tons,2012
Alabama,Export,Pipeline,tons_in,0,thousand tons,2012
Alabama,Export,Rail,tons_within,610.2565,thousand tons,2012
Alabama,Export,Rail,tons_out,1190.071615,thousand tons,2012
Alabama,Export,Rail,tons_in,1406.0598,thousand tons,2012
Alabama,Export,Truck,tons_within,15908.60748,thousand tons,2012
Alabama,Export,Truck,tons_out,2201.277412,thousand tons,2012
Alabama,Export,Truck,tons_in,1213.908146,thousand tons,2012
Alabama,Export,Water,tons_within,17.37144,thousand tons,2012
Alabama,Export,Water,tons_out,19.194729,thousand tons,2012
Alabama,Export,Water,tons_in,330.938411,thousand tons,2012
Alabama,Import,Air (include truck-air),tons_within,1.890919,thousand tons,2012
Alabama,Import,Air (include truck-air),tons_out,14.992679,thousand tons,2012
Alabama,Import,Air (include truck-air),tons_in,22.596463,thousand tons,2012
Alabama,Import,Multiple modes & mail,tons_within,172.971813,thousand tons,2012
Alabama,Import,Multiple modes & mail,tons_out,713.062729,thousand tons,2012
Alabama,Import,Multiple modes & mail,tons_in,639.131287,thousand tons,2012
Alabama,Import,No domestic mode,tons_within,317.3841,thousand tons,2012
Alabama,Import,No domestic mode,tons_out,0,thousand tons,2012
Alabama,Import,No domestic mode,tons_in,0,thousand tons,2012
Alabama,Import,Other and unknown,tons_within,2.06473,thousand tons,2012
Alabama,Import,Other and unknown,tons_out,61.5037,thousand tons,2012
Alabama,Import,Other and unknown,tons_in,2.5038,thousand tons,2012
Alabama,Import,Pipeline,tons_within,5.5322,thousand tons,2012
Alabama,Import,Pipeline,tons_out,0,thousand tons,2012
