State,Trade_Type,Domestic_Mode,Field,Value,Unit,Year
Alabama,Domestic Only,Air (include truck-air),value_within,9.793145,million U.S. dollars (2017 constant $),2012
Alabama,Domestic Only,Air (include truck-air),value_out,387.663602,million U.S. dollars (2017 constant $),2012
Alabama,Domestic Only,Air (include truck-air),value_in,1756.005224,million U.S. dollars (2017 constant $),2012
Alabama,Domestic Only,Multiple modes & mail,value_within,4722.773744,million U.S. dollars (2017 constant $),2012
Alabama,Domestic Only,Multiple modes & mail,value_out,21248.1921,million U.S. dollars (2017 constant $),2012
Alabama,Domestic Only,Multiple modes & mail,value_in,18880.78606,million U.S. dollars (2017 constant $),2012
Alabama,Domestic Only,Pipeline,value_within,1782.805743,million U.S. dollars (2017 constant $),2012
Alabama,Domestic Only,Pipeline,value_out,10402.69079,million U.S. dollars (2017 constant $),2012
Alabama,Domestic Only,Pipeline,value_in,14015.28029,million U.S. dollars (2017 constant $),2012
Alabama,Domestic Only,Rail,value_within,916.142098,million U.S. dollars (2017 constant $),2012
Alabama,Domestic Only,Rail,value_out,7256.445191,million U.S. dollars (2017 constant $),2012
Alabama,Domestic Only,Rail,value_in,6258.245009,million U.S. dollars (2017 constant $),2012
Alabama,Domestic Only,Truck,value_within,88507.08129,million U.S. dollars (2017 constant $),2012
Alabama,Domestic Only,Truck,value_out,88137.12492,million U.S. dollars (2017 constant $),2012
Alabama,Domestic Only,Truck,value_in,100117.017,million U.S. dollars (2017 constant $),2012
Alabama,Domestic Only,Water,value_within,1.685238,million U.S. dollars (2017 constant $),2012
Alabama,Domestic Only,Water,value_out,540.821656,million U.S. dollars (2017 constant $),2012
Alabama,Domestic Only,Water,value_in,2596.093679,million U.S. dollars (2017 constant $),2012
Alabama,Export,Air (include truck-air),value_within,10.549958,million U.S. dollars (2017 constant $),2012
Alabama,Export,Air (include truck-air),value_out,1416.882926,million U.S. dollars (2017 constant $),2012
Alabama,Export,Air (include truck-air),value_in,3468.585044,million U.S. dollars (2017 constant $),2012
Alabama,Export,Multiple modes & mail,value_within,163.410593,million U.S. dollars (2017 constant $),2012
Alabama,Export,Multiple modes & mail,value_out,1408.520363,million U.S. dollars (2017 constant $),2012
Alabama,Export,Multiple modes & mail,value_in,146.393665,million U.S. dollars (2017 constant $),2012
Alabama,Export,Other and unknown,value_within,0,million U.S. dollars (2017 constant $),2012
Alabama,Export,Other and unknown,value_out,3.729529,million U.S. dollars (2017 constant $),2012
Alabama,Export,Other and unknown,value_in,0,million U.S. dollars (2017 constant $),2012
Alabama,Export,Pipeline,value_within,32.406911,million U.S. dollars (2017 constant $),2012
Alabama,Export,Pipeline,value_out,0,million U.S. dollars (2017 constant $),2012
Alabama,Export,Pipeline,value_in,0,million U.S. dollars (2017 constant $),2012
Alabama,Export,Rail,value_within,386.660842,million U.S. dollars (2017 constant $),2012
Alabama,Export,Rail,value_out,2851.454524,million U.S. dollars (2017 constant $),2012
Alabama,Export,Rail,value_in,529.889182,million U.S. dollars (2017 constant $),2012
Alabama,Export,Truck,value_within,3419.269395,million U.S. dollars (2017 constant $),2012
Alabama,Export,Truck,value_out,10125.66241,million U.S. dollars (2017 constant $),2012
Alabama,Export,Truck,value_in,960.532244,million U.S. dollars (2017 constant $),2012
Alabama,Export,Water,value_within,9.780195,million U.S. dollars (2017 constant $),2012
Alabama,Export,Water,value_out,61.293827,million U.S. dollars (2017 constant $),2012
Alabama,Export,Water,value_in,239.391787,million U.S. dollars (2017 constant $),2012
Alabama,Import,Air (include truck-air),value_within,173.173883,million U.S. dollars (2017 constant $),2012
Alabama,Import,Air (include truck-air),value_out,1576.661326,million U.S. dollars (2017 constant $),2012
Alabama,Import,Air (include truck-air),value_in,1037.697197,million U.S. dollars (2017 constant $),2012
Alabama,Import,Multiple modes & mail,value_within,213.941159,million U.S. dollars (2017 constant $),2012
Alabama,Import,Multiple modes & mail,value_out,365.450288,million U.S. dollars (2017 constant $),2012
Alabama,Import,Multiple modes & mail,value_in,4161.624378,million U.S. dollars (2017 constant $),2012
Alabama,Import,No domestic mode,value_within,114.919767,million U.S. dollars (2017 constant $),2012
Alabama,Import,No domestic mode,value_out,0,million U.S. dollars (2017 constant $),2012
Alabama,Import,No domestic mode,value_in,0,million U.S. dollars (2017 constant $),2012
Alabama,Import,Other and unknown,value_within,4.785018,million U.S. dollars (2017 constant $),2012
Alabama,Import,Other and unknown,value_out,11.457973,million U.S. dollars (2017 constant $),2012
Alabama,Import,Other and unknown,value_in,23.840065,million U.S. dollars (2017 constant $),2012
Alabama,Import,Pipeline,value_within,12.269599,million U.S. dollars (2017 constant $),2012
Alabama,Import,Pipeline,value_out,0,million U.S. dollars (2017 constant $),2012
Alabama,Import,Pipeline,value_in,0,million U.S. dollars (2017 constant $),2012
Alabama,Import,Rail,value_within,588.170597,million U.S. dollars (2017 constant $),2012
Alabama,Import,Rail,value_out,614.000483,million U.S. dollars (2017 constant $),2012
Alabama,Import,Rail,value_in,3249.406595,million U.S. dollars (2017 constant $),2012
Alabama,Import,Truck,value_within,3842.552822,million U.S. dollars (2017 constant $),2012
Alabama,Import,Truck,value_out,1201.306202,million U.S. dollars (2017 constant $),2012
Alabama,Import,Truck,value_in,4908.341852,million U.S. dollars (2017 constant $),2012
Alabama,Import,Water,value_within,16.482754,million U.S. dollars (2017 constant $),2012
Alabama,Import,Water,value_out,369.481171,million U.S. dollars (2017 constant $),2012
Alabama,Import,Water,value_in,325.143554,million U.S. dollars (2017 constant $),2012
Alaska,Domestic Only,Air (include truck-air),value_within,458.59434,million U.S. dollars (2017 constant $),2012
Alaska,Domestic Only,Air (include truck-air),value_out,2167.615231,million U.S. dollars (2017 constant $),2012
Alaska,Domestic Only,Air (include truck-air),value_in,1649.257099,million U.S. dollars (2017 constant $),2012
Alaska,Domestic Only,Multiple modes & mail,value_within,499.325438,million U.S. dollars (2017 constant $),2012
Alaska,Domestic Only,Multiple modes & mail,value_out,1385.641151,million U.S. dollars (2017 constant $),2012
Alaska,Domestic Only,Multiple modes & mail,value_in,7081.220559,million U.S. dollars (2017 constant $),2012
Alaska,Domestic Only,Pipeline,value_within,8713.463066,million U.S. dollars (2017 constant $),2012
Alaska,Domestic Only,Pipeline,value_out,0,million U.S. dollars (2017 constant $),2012
Alaska,Domestic Only,Pipeline,value_in,0,million U.S. dollars (2017 constant $),2012
Alaska,Domestic Only,Rail,value_within,785.126242,million U.S. dollars (2017 constant $),2012
Alaska,Domestic Only,Rail,value_out,0,million U.S. dollars (2017 constant $),2012
Alaska,Domestic Only,Rail,value_in,0,million U.S. dollars (2017 constant $),2012
Alaska,Domestic Only,Truck,value_within,10603.59715,million U.S. dollars (2017 constant $),2012
Alaska,Domestic Only,Truck,value_out,0,million U.S. dollars (2017 constant $),2012
Alaska,Domestic Only,Truck,value_in,0,million U.S. dollars (2017 constant $),2012
Alaska,Domestic Only,Water,value_within,415.459754,million U.S. dollars (2017 constant $),2012
Alaska,Domestic Only,Water,value_out,8980.051279,million U.S. dollars (2017 constant $),2012
Alaska,Domestic Only,Water,value_in,1935.100241,million U.S. dollars (2017 constant $),2012
Alaska,Export,Air (include truck-air),value_within,55.439328,million U.S. dollars (2017 constant $),2012
Alaska,Export,Air (include truck-air),value_out,129.859105,million U.S. dollars (2017 constant $),2012
Alaska,Export,Air (include truck-air),value_in,9993.604735,million U.S. dollars (2017 constant $),2012
Alaska,Export,Multiple modes & mail,value_within,37.697684,million U.S. dollars (2017 constant $),2012
