"State_FIPS","Type","County_FIPS","Unit_Identifier","Item_Code","Amount_in_thousands_of_dollars","Year","Imputation_Type","Item_Name"
"47","0","47000","227540","A44","          63","2020","R","Regular Highway Charges"
"47","0","47000","227540","A45","          42","2020","R","Toll Highway Charges"
"47","0","47000","227540","E01","       52334","2020","R","Air Trans Current Operation"
"47","0","47000","227540","E44","      562300","2020","R","Regular Highways-Current Oper"
"47","0","47000","227540","F01","          22","2020","R","Air Trans Construction"
"47","0","47000","227540","F44","     1219973","2020","R","Regular Highways-Construction"
"47","0","47000","227540","G01","         344","2020","R","Air Trans Other Capital Outlay"
"47","0","47000","227540","G44","       83093","2020","R","Regular Highways-Other Cap Out"
"47","0","47000","227540","M01","       20565","2020","R","Air Trans IG to Local NEC"
"47","0","47000","227540","M44","      172923","2020","R","Regular Highways-IG-Local Nec"
"47","1","47001","175659","E44","        4645","2020","I","Regular Highways-Current Oper"
"47","1","47003","191552","E44","        2259","2020","R","Regular Highways-Current Oper"
"47","1","47003","191552","F44","        1060","2020","R","Regular Highways-Construction"
"47","1","47003","191552","G44","         752","2020","R","Regular Highways-Other Cap Out"
"47","1","47005","113256","E01","         156","2020","I","Air Trans Current Operation"
"47","1","47005","113256","E44","        1081","2020","I","Regular Highways-Current Oper"
"47","1","47005","113256","F44","        4978","2020","I","Regular Highways-Construction"
"47","1","47007","134849","E44","        1900","2020","R","Regular Highways-Current Oper"
"47","1","47007","134849","F44","         952","2020","R","Regular Highways-Construction"
"47","1","47009","194929","E44","        6177","2020","I","Regular Highways-Current Oper"
"47","1","47009","194929","F44","         452","2020","I","Regular Highways-Construction"
"47","1","47009","194929","G44","        1590","2020","I","Regular Highways-Other Cap Out"
"47","1","47011","175660","E44","        4911","2020","I","Regular Highways-Current Oper"
"47","1","47011","175660","F44","        2896","2020","I","Regular Highways-Construction"
"47","1","47011","175660","G44","          15","2020","I","Regular Highways-Other Cap Out"
"47","1","47011","175660","M94","          42","2020","I","Transit Utilities-IG-Local Nec"
"47","1","47013","134850","A01","         125","2020","R","Air Transportation Charges"
"47","1","47013","134850","E01","          60","2020","R","Air Trans Current Operation"
"47","1","47013","134850","E44","        1200","2020","R","Regular Highways-Current Oper"
"47","1","47013","134850","F44","        2300","2020","R","Regular Highways-Construction"
"47","1","47013","134850","G44","         500","2020","R","Regular Highways-Other Cap Out"
"47","1","47015","175661","E44","        1039","2020","R","Regular Highways-Current Oper"
"47","1","47019","187542","E44","        3243","2020","R","Regular Highways-Current Oper"
"47","1","47019","187542","F44","        4095","2020","R","Regular Highways-Construction"
"47","1","47019","187542","G44","          12","2020","R","Regular Highways-Other Cap Out"
"47","1","47021","175663","E44","        3316","2020","I","Regular Highways-Current Oper"
"47","1","47025","134851","E44","        2375","2020","R","Regular Highways-Current Oper"
"47","1","47025","134851","F44","        1127","2020","R","Regular Highways-Construction"
"47","1","47025","134851","G44","         847","2020","R","Regular Highways-Other Cap Out"
"47","1","47027","184264","E44","        1645","2020","I","Regular Highways-Current Oper"
"47","1","47031","175666","E44","        3073","2020","R","Regular Highways-Current Oper"
"47","1","47031","175666","F44","         930","2020","R","Regular Highways-Construction"
"47","1","47031","175666","G44","         123","2020","R","Regular Highways-Other Cap Out"
"47","1","47035","134852","A44","           4","2020","I","Regular Highway Charges"
"47","1","47035","134852","E44","        2893","2020","I","Regular Highways-Current Oper"
"47","1","47035","134852","G44","         912","2020","I","Regular Highways-Other Cap Out"
"47","1","47043","175670","E01","          25","2020","R","Air Trans Current Operation"
"47","1","47043","175670","E44","        2777","2020","R","Regular Highways-Current Oper"
"47","1","47043","175670","G44","         240","2020","R","Regular Highways-Other Cap Out"
