"Year","Field","Value","Units"
"1977","commercial carbon dioxide emissions United States","262.858659","million metric tons of co2"
"1978","commercial carbon dioxide emissions United States","264.905101","million metric tons of co2"
"1970","commercial carbon dioxide emissions United States","262.476281","million metric tons of co2"
"1971","commercial carbon dioxide emissions United States","266.852247","million metric tons of co2"
"1972","commercial carbon dioxide emissions United States","271.517789","million metric tons of co2"
"1973","commercial carbon dioxide emissions United States","274.07622","million metric tons of co2"
"1974","commercial carbon dioxide emissions United States","262.236161","million metric tons of co2"
"1975","commercial carbon dioxide emissions United States","247.921182","million metric tons of co2"
"1976","commercial carbon dioxide emissions United States","267.643128","million metric tons of co2"
"1979","commercial carbon dioxide emissions United States","264.996936","million metric tons of co2"
"1980","commercial carbon dioxide emissions United States","249.381089","million metric tons of co2"
"1981","commercial carbon dioxide emissions United States","232.006556","million metric tons of co2"
"1982","commercial carbon dioxide emissions United States","232.539248","million metric tons of co2"
"1983","commercial carbon dioxide emissions United States","233.679793","million metric tons of co2"
"1984","commercial carbon dioxide emissions United States","243.586334","million metric tons of co2"
"1986","commercial carbon dioxide emissions Tennessee","3.440084","million metric tons of co2"
"1987","commercial carbon dioxide emissions Tennessee","3.446184","million metric tons of co2"
"1988","commercial carbon dioxide emissions Tennessee","3.785067","million metric tons of co2"
"2018","commercial carbon dioxide emissions Tennessee","4.282851","million metric tons of co2"
"2019","commercial carbon dioxide emissions Tennessee","4.211522","million metric tons of co2"
"2020","commercial carbon dioxide emissions Tennessee","3.89876","million metric tons of co2"
"1989","commercial carbon dioxide emissions Tennessee","3.733834","million metric tons of co2"
"1990","commercial carbon dioxide emissions Tennessee","3.436723","million metric tons of co2"
"1991","commercial carbon dioxide emissions Tennessee","3.401276","million metric tons of co2"
"1992","commercial carbon dioxide emissions Tennessee","3.592193","million metric tons of co2"
"1993","commercial carbon dioxide emissions Tennessee","3.649661","million metric tons of co2"
"2017","commercial carbon dioxide emissions Tennessee","3.71248","million metric tons of co2"
"1970","commercial carbon dioxide emissions Tennessee","3.484536","million metric tons of co2"
"2001","commercial carbon dioxide emissions Tennessee","3.819032","million metric tons of co2"
"1994","commercial carbon dioxide emissions Tennessee","3.539022","million metric tons of co2"
"1995","commercial carbon dioxide emissions Tennessee","3.604428","million metric tons of co2"
"1996","commercial carbon dioxide emissions Tennessee","4.054537","million metric tons of co2"
"1997","commercial carbon dioxide emissions Tennessee","3.873415","million metric tons of co2"
"1998","commercial carbon dioxide emissions Tennessee","3.530248","million metric tons of co2"
"1999","commercial carbon dioxide emissions Tennessee","3.700716","million metric tons of co2"
"2000","commercial carbon dioxide emissions Tennessee","3.90886","million metric tons of co2"
"1971","commercial carbon dioxide emissions Tennessee","3.676661","million metric tons of co2"
"1972","commercial carbon dioxide emissions Tennessee","3.669201","million metric tons of co2"
"1973","commercial carbon dioxide emissions Tennessee","3.743634","million metric tons of co2"
"1974","commercial carbon dioxide emissions Tennessee","3.577833","million metric tons of co2"
"1975","commercial carbon dioxide emissions Tennessee","3.51079","million metric tons of co2"
"1976","commercial carbon dioxide emissions Tennessee","3.360755","million metric tons of co2"
"1977","commercial carbon dioxide emissions Tennessee","3.14103","million metric tons of co2"
"2002","commercial carbon dioxide emissions Tennessee","3.741663","million metric tons of co2"
"2003","commercial carbon dioxide emissions Tennessee","4.063533","million metric tons of co2"
"2004","commercial carbon dioxide emissions Tennessee","3.77976","million metric tons of co2"
"2005","commercial carbon dioxide emissions Tennessee","3.542368","million metric tons of co2"
"2006","commercial carbon dioxide emissions Tennessee","3.401067","million metric tons of co2"
"2007","commercial carbon dioxide emissions Tennessee","3.511453","million metric tons of co2"
"2008","commercial carbon dioxide emissions Tennessee","3.665795","million metric tons of co2"
"1978","commercial carbon dioxide emissions Tennessee","2.884083","million metric tons of co2"
"1979","commercial carbon dioxide emissions Tennessee","3.391182","million metric tons of co2"
"1980","commercial carbon dioxide emissions Tennessee","3.559733","million metric tons of co2"
"1981","commercial carbon dioxide emissions Tennessee","3.346807","million metric tons of co2"
"1982","commercial carbon dioxide emissions Tennessee","3.265402","million metric tons of co2"
"1983","commercial carbon dioxide emissions Tennessee","4.543883","million metric tons of co2"
"2009","commercial carbon dioxide emissions Tennessee","3.685766","million metric tons of co2"
"2010","commercial carbon dioxide emissions Tennessee","3.902286","million metric tons of co2"
"2011","commercial carbon dioxide emissions Tennessee","3.604904","million metric tons of co2"
"2012","commercial carbon dioxide emissions Tennessee","3.124346","million metric tons of co2"
"1984","commercial carbon dioxide emissions Tennessee","4.549404","million metric tons of co2"
"1985","commercial carbon dioxide emissions Tennessee","4.377843","million metric tons of co2"
"2013","commercial carbon dioxide emissions Tennessee","3.48596","million metric tons of co2"
"2014","commercial carbon dioxide emissions Tennessee","3.770113","million metric tons of co2"
"2015","commercial carbon dioxide emissions Tennessee","3.848182","million metric tons of co2"
"2016","commercial carbon dioxide emissions Tennessee","3.68301","million metric tons of co2"
"1995","commercial carbon dioxide emissions United States","232.267302","million metric tons of co2"
"1996","commercial carbon dioxide emissions United States","241.068541","million metric tons of co2"
"1997","commercial carbon dioxide emissions United States","241.212182","million metric tons of co2"
"1998","commercial carbon dioxide emissions United States","224.301356","million metric tons of co2"
"1999","commercial carbon dioxide emissions United States","226.447434","million metric tons of co2"
"2016","commercial carbon dioxide emissions United States","233.960463","million metric tons of co2"
"2017","commercial carbon dioxide emissions United States","235.69158","million metric tons of co2"
"2018","commercial carbon dioxide emissions United States","256.398196","million metric tons of co2"
"2019","commercial carbon dioxide emissions United States","257.364341","million metric tons of co2"
"2020","commercial carbon dioxide emissions United States","235.808009","million metric tons of co2"
"1985","commercial carbon dioxide emissions United States","224.934505","million metric tons of co2"
"1986","commercial carbon dioxide emissions United States","224.298143","million metric tons of co2"
"1987","commercial carbon dioxide emissions United States","227.187505","million metric tons of co2"
"1988","commercial carbon dioxide emissions United States","238.260974","million metric tons of co2"
"1989","commercial carbon dioxide emissions United States","235.240373","million metric tons of co2"
"1990","commercial carbon dioxide emissions United States","227.041891","million metric tons of co2"
"1991","commercial carbon dioxide emissions United States","227.764157","million metric tons of co2"
"1992","commercial carbon dioxide emissions United States","228.945469","million metric tons of co2"
"1993","commercial carbon dioxide emissions United States","226.732845","million metric tons of co2"
"1994","commercial carbon dioxide emissions United States","229.008727","million metric tons of co2"
"2015","commercial carbon dioxide emissions United States","241.913353","million metric tons of co2"
"2000","commercial carbon dioxide emissions United States","239.596726","million metric tons of co2"
"2001","commercial carbon dioxide emissions United States","230.341172","million metric tons of co2"
"2002","commercial carbon dioxide emissions United States","231.7078","million metric tons of co2"
"2003","commercial carbon dioxide emissions United States","242.287828","million metric tons of co2"
"2004","commercial carbon dioxide emissions United States","238.718147","million metric tons of co2"
"2005","commercial carbon dioxide emissions United States","227.794477","million metric tons of co2"
"2006","commercial carbon dioxide emissions United States","208.194129","million metric tons of co2"
"2008","commercial carbon dioxide emissions United States","226.41462","million metric tons of co2"
"2009","commercial carbon dioxide emissions United States","224.027557","million metric tons of co2"
"2010","commercial carbon dioxide emissions United States","221.539444","million metric tons of co2"
"2011","commercial carbon dioxide emissions United States","222.503396","million metric tons of co2"
"2012","commercial carbon dioxide emissions United States","201.679157","million metric tons of co2"
"2007","commercial carbon dioxide emissions United States","217.44396","million metric tons of co2"
"2013","commercial carbon dioxide emissions United States","223.45196","million metric tons of co2"
"2014","commercial carbon dioxide emissions United States","234.806616","million metric tons of co2"
"1977","electric power carbon dioxide emissions United States","1439.749015","million metric tons of co2"
"1978","electric power carbon dioxide emissions United States","1447.353427","million metric tons of co2"
"1970","electric power carbon dioxide emissions United States","1061.440101","million metric tons of co2"
"1971","electric power carbon dioxide emissions United States","1098.82848","million metric tons of co2"
"1972","electric power carbon dioxide emissions United States","1191.537905","million metric tons of co2"
"1973","electric power carbon dioxide emissions United States","1283.223765","million metric tons of co2"
"1974","electric power carbon dioxide emissions United States","1249.002974","million metric tons of co2"
"1975","electric power carbon dioxide emissions United States","1243.506533","million metric tons of co2"
"1976","electric power carbon dioxide emissions United States","1351.80593","million metric tons of co2"
"1979","electric power carbon dioxide emissions United States","1508.302005","million metric tons of co2"
"1980","electric power carbon dioxide emissions United States","1554.946237","million metric tons of co2"
"1981","electric power carbon dioxide emissions United States","1564.896605","million metric tons of co2"
"1982","electric power carbon dioxide emissions United States","1486.889214","million metric tons of co2"
"1983","electric power carbon dioxide emissions United States","1528.731557","million metric tons of co2"
"1984","electric power carbon dioxide emissions United States","1595.078989","million metric tons of co2"
"1986","electric power carbon dioxide emissions Tennessee","47.785598","million metric tons of co2"
"1987","electric power carbon dioxide emissions Tennessee","47.256029","million metric tons of co2"
"2018","electric power carbon dioxide emissions Tennessee","26.121775","million metric tons of co2"
"2019","electric power carbon dioxide emissions Tennessee","24.044546","million metric tons of co2"
"2020","electric power carbon dioxide emissions Tennessee","19.720624","million metric tons of co2"
"1988","electric power carbon dioxide emissions Tennessee","48.307416","million metric tons of co2"
"1989","electric power carbon dioxide emissions Tennessee","44.027131","million metric tons of co2"
"1990","electric power carbon dioxide emissions Tennessee","47.531897","million metric tons of co2"
"1991","electric power carbon dioxide emissions Tennessee","44.654906","million metric tons of co2"
"1992","electric power carbon dioxide emissions Tennessee","47.115237","million metric tons of co2"
"1993","electric power carbon dioxide emissions Tennessee","55.651631","million metric tons of co2"
"2017","electric power carbon dioxide emissions Tennessee","32.346707","million metric tons of co2"
"2000","electric power carbon dioxide emissions Tennessee","59.311769","million metric tons of co2"
