"Year","Field","Value","Units"
"2013","total energy consumption per capita in the transportation sector Tennessee","92.1","million btu"
"2013","total energy consumption per capita in the transportation sector United States","84.2","million btu"
"2014","total energy consumption per capita in the transportation sector United States","84.4","million btu"
"2014","total energy consumption per capita in the transportation sector Tennessee","93.6","million btu"
"1960","total energy consumption per capita in the transportation sector Tennessee","48.7","million btu"
"1961","total energy consumption per capita in the transportation sector Tennessee","52.4","million btu"
"1962","total energy consumption per capita in the transportation sector Tennessee","55","million btu"
"1963","total energy consumption per capita in the transportation sector Tennessee","58.1","million btu"
"1964","total energy consumption per capita in the transportation sector Tennessee","58.8","million btu"
"1965","total energy consumption per capita in the transportation sector Tennessee","60.8","million btu"
"1966","total energy consumption per capita in the transportation sector Tennessee","65.1","million btu"
"1967","total energy consumption per capita in the transportation sector Tennessee","66.8","million btu"
"1968","total energy consumption per capita in the transportation sector Tennessee","71.6","million btu"
"1969","total energy consumption per capita in the transportation sector Tennessee","76","million btu"
"1970","total energy consumption per capita in the transportation sector Tennessee","78.3","million btu"
"1971","total energy consumption per capita in the transportation sector Tennessee","81.1","million btu"
"1972","total energy consumption per capita in the transportation sector Tennessee","86.9","million btu"
"1973","total energy consumption per capita in the transportation sector Tennessee","93.6","million btu"
"1974","total energy consumption per capita in the transportation sector Tennessee","90.4","million btu"
"1975","total energy consumption per capita in the transportation sector Tennessee","91.3","million btu"
"1976","total energy consumption per capita in the transportation sector Tennessee","93.4","million btu"
"1977","total energy consumption per capita in the transportation sector Tennessee","94.6","million btu"
"1978","total energy consumption per capita in the transportation sector Tennessee","98.8","million btu"
"1979","total energy consumption per capita in the transportation sector Tennessee","98.7","million btu"
"1980","total energy consumption per capita in the transportation sector Tennessee","88.9","million btu"
"1981","total energy consumption per capita in the transportation sector Tennessee","88.3","million btu"
"1982","total energy consumption per capita in the transportation sector Tennessee","85.7","million btu"
"1983","total energy consumption per capita in the transportation sector Tennessee","85","million btu"
"1993","total energy consumption per capita in the transportation sector Tennessee","94.4","million btu"
"1994","total energy consumption per capita in the transportation sector Tennessee","95.5","million btu"
"1995","total energy consumption per capita in the transportation sector Tennessee","98.3","million btu"
"1996","total energy consumption per capita in the transportation sector Tennessee","100","million btu"
"1997","total energy consumption per capita in the transportation sector Tennessee","99.3","million btu"
"1998","total energy consumption per capita in the transportation sector Tennessee","99.9","million btu"
"1999","total energy consumption per capita in the transportation sector Tennessee","101.8","million btu"
"2000","total energy consumption per capita in the transportation sector Tennessee","102.2","million btu"
"2001","total energy consumption per capita in the transportation sector Tennessee","100.8","million btu"
"2002","total energy consumption per capita in the transportation sector Tennessee","105.8","million btu"
"2003","total energy consumption per capita in the transportation sector Tennessee","107.7","million btu"
"2004","total energy consumption per capita in the transportation sector Tennessee","106.6","million btu"
"2005","total energy consumption per capita in the transportation sector Tennessee","107.7","million btu"
"2006","total energy consumption per capita in the transportation sector Tennessee","106.6","million btu"
"2007","total energy consumption per capita in the transportation sector Tennessee","105.5","million btu"
"2008","total energy consumption per capita in the transportation sector Tennessee","97.9","million btu"
"2009","total energy consumption per capita in the transportation sector Tennessee","94.5","million btu"
"2010","total energy consumption per capita in the transportation sector Tennessee","97","million btu"
"2011","total energy consumption per capita in the transportation sector Tennessee","95.9","million btu"
"1984","total energy consumption per capita in the transportation sector Tennessee","91","million btu"
"1985","total energy consumption per capita in the transportation sector Tennessee","92.1","million btu"
"1986","total energy consumption per capita in the transportation sector Tennessee","98.3","million btu"
"1987","total energy consumption per capita in the transportation sector Tennessee","95.8","million btu"
"1988","total energy consumption per capita in the transportation sector Tennessee","96.7","million btu"
"1989","total energy consumption per capita in the transportation sector Tennessee","98.4","million btu"
"1990","total energy consumption per capita in the transportation sector Tennessee","95.3","million btu"
"1991","total energy consumption per capita in the transportation sector Tennessee","88.7","million btu"
"1992","total energy consumption per capita in the transportation sector Tennessee","91.2","million btu"
"1960","total energy consumption per capita in the transportation sector United States","58.7","million btu"
"1961","total energy consumption per capita in the transportation sector United States","58.6","million btu"
"1962","total energy consumption per capita in the transportation sector United States","60.1","million btu"
"1963","total energy consumption per capita in the transportation sector United States","61.6","million btu"
"1964","total energy consumption per capita in the transportation sector United States","62.5","million btu"
"1965","total energy consumption per capita in the transportation sector United States","64","million btu"
"1966","total energy consumption per capita in the transportation sector United States","66.6","million btu"
"1967","total energy consumption per capita in the transportation sector United States","69.2","million btu"
"1968","total energy consumption per capita in the transportation sector United States","74.1","million btu"
"1969","total energy consumption per capita in the transportation sector United States","76.5","million btu"
"1970","total energy consumption per capita in the transportation sector United States","78.5","million btu"
"1971","total energy consumption per capita in the transportation sector United States","80.5","million btu"
"1972","total energy consumption per capita in the transportation sector United States","84.4","million btu"
"1973","total energy consumption per capita in the transportation sector United States","87.8","million btu"
"1974","total energy consumption per capita in the transportation sector United States","84.7","million btu"
"1975","total energy consumption per capita in the transportation sector United States","84.5","million btu"
"1976","total energy consumption per capita in the transportation sector United States","87.6","million btu"
"1977","total energy consumption per capita in the transportation sector United States","90","million btu"
"1978","total energy consumption per capita in the transportation sector United States","92.6","million btu"
"1979","total energy consumption per capita in the transportation sector United States","91","million btu"
"1980","total energy consumption per capita in the transportation sector United States","86.7","million btu"
"1981","total energy consumption per capita in the transportation sector United States","85","million btu"
"1982","total energy consumption per capita in the transportation sector United States","82.4","million btu"
"1983","total energy consumption per capita in the transportation sector United States","82","million btu"
"1984","total energy consumption per capita in the transportation sector United States","83.3","million btu"
"1985","total energy consumption per capita in the transportation sector United States","84.4","million btu"
"1986","total energy consumption per capita in the transportation sector United States","86.6","million btu"
"1987","total energy consumption per capita in the transportation sector United States","88.6","million btu"
"1988","total energy consumption per capita in the transportation sector United States","91.3","million btu"
"1989","total energy consumption per capita in the transportation sector United States","91.1","million btu"
"1990","total energy consumption per capita in the transportation sector United States","89.8","million btu"
"1991","total energy consumption per capita in the transportation sector United States","87.4","million btu"
"1992","total energy consumption per capita in the transportation sector United States","87.4","million btu"
"1993","total energy consumption per capita in the transportation sector United States","87.2","million btu"
"1994","total energy consumption per capita in the transportation sector United States","88.6","million btu"
"1995","total energy consumption per capita in the transportation sector United States","89.5","million btu"
"1996","total energy consumption per capita in the transportation sector United States","90.7","million btu"
"1997","total energy consumption per capita in the transportation sector United States","90.7","million btu"
"1998","total energy consumption per capita in the transportation sector United States","91.5","million btu"
"1999","total energy consumption per capita in the transportation sector United States","92.9","million btu"
"2000","total energy consumption per capita in the transportation sector United States","94","million btu"
"2001","total energy consumption per capita in the transportation sector United States","92.1","million btu"
"2002","total energy consumption per capita in the transportation sector United States","93.2","million btu"
"2003","total energy consumption per capita in the transportation sector United States","92.7","million btu"
"2004","total energy consumption per capita in the transportation sector United States","95.1","million btu"
"2005","total energy consumption per capita in the transportation sector United States","95.7","million btu"
"2006","total energy consumption per capita in the transportation sector United States","96.2","million btu"
"2007","total energy consumption per capita in the transportation sector United States","95.7","million btu"
"2008","total energy consumption per capita in the transportation sector United States","90.2","million btu"
"2009","total energy consumption per capita in the transportation sector United States","86.8","million btu"
"2010","total energy consumption per capita in the transportation sector United States","87.3","million btu"
"2011","total energy consumption per capita in the transportation sector United States","85.4","million btu"
"2017","total energy consumption per capita in the transportation sector Tennessee","95.2","million btu"
"2017","total energy consumption per capita in the transportation sector United States","86.2","million btu"
"2012","total energy consumption per capita in the transportation sector Tennessee","92","million btu"
"2012","total energy consumption per capita in the transportation sector United States","83.2","million btu"
"2015","total energy consumption per capita in the transportation sector Tennessee","94.1","million btu"
"2015","total energy consumption per capita in the transportation sector United States","84.9","million btu"
"2019","total energy consumption per capita in the transportation sector Tennessee","97.6","million btu"
"2019","total energy consumption per capita in the transportation sector United States","87.1","million btu"
"2018","total energy consumption per capita in the transportation sector Tennessee","95.5","million btu"
"2018","total energy consumption per capita in the transportation sector United States","87.1","million btu"
"2020","total energy consumption per capita in the transportation sector United States","73.5","million btu"
"2016","total energy consumption per capita in the transportation sector Tennessee","95.2","million btu"
"2020","total energy consumption per capita in the transportation sector Tennessee","88.8","million btu"
"2016","total energy consumption per capita in the transportation sector United States","86","million btu"
"2013","total energy consumption per capita in the commercial sector Tennessee","65.9","million btu"
"2013","total energy consumption per capita in the commercial sector United States","56.6","million btu"
"2014","total energy consumption per capita in the commercial sector Tennessee","66.5","million btu"
"2014","total energy consumption per capita in the commercial sector United States","57.2","million btu"
"1982","total energy consumption per capita in the commercial sector United States","46.8","million btu"
"1983","total energy consumption per capita in the commercial sector United States","46.7","million btu"
