"Year","Field","Value","Unit"
"2018","aviation gasoline consumed by the transportation sector United States","22393","billion btu"
"2017","aviation gasoline consumed by the transportation sector United States","20949","billion btu"
"2017","aviation gasoline consumed by the transportation sector Tennessee","384","billion btu"
"1960","aviation gasoline consumed by the transportation sector United States","297903","billion btu"
"1961","aviation gasoline consumed by the transportation sector United States","290396","billion btu"
"1962","aviation gasoline consumed by the transportation sector United States","262915","billion btu"
"1963","aviation gasoline consumed by the transportation sector United States","253193","billion btu"
"1964","aviation gasoline consumed by the transportation sector United States","235025","billion btu"
"1965","aviation gasoline consumed by the transportation sector United States","221592","billion btu"
"1966","aviation gasoline consumed by the transportation sector United States","194091","billion btu"
"1967","aviation gasoline consumed by the transportation sector United States","166099","billion btu"
"1968","aviation gasoline consumed by the transportation sector United States","154590","billion btu"
"1969","aviation gasoline consumed by the transportation sector United States","128981","billion btu"
"1970","aviation gasoline consumed by the transportation sector United States","100470","billion btu"
"1971","aviation gasoline consumed by the transportation sector United States","90319","billion btu"
"1972","aviation gasoline consumed by the transportation sector United States","85437","billion btu"
"1973","aviation gasoline consumed by the transportation sector United States","83448","billion btu"
"1974","aviation gasoline consumed by the transportation sector United States","81853","billion btu"
"1975","aviation gasoline consumed by the transportation sector United States","71010","billion btu"
"1976","aviation gasoline consumed by the transportation sector United States","67451","billion btu"
"1977","aviation gasoline consumed by the transportation sector United States","70329","billion btu"
"1978","aviation gasoline consumed by the transportation sector United States","71454","billion btu"
"1979","aviation gasoline consumed by the transportation sector United States","70314","billion btu"
"1980","aviation gasoline consumed by the transportation sector United States","64347","billion btu"
"1981","aviation gasoline consumed by the transportation sector United States","56270","billion btu"
"1982","aviation gasoline consumed by the transportation sector United States","46977","billion btu"
"1983","aviation gasoline consumed by the transportation sector United States","47673","billion btu"
"1984","aviation gasoline consumed by the transportation sector United States","43877","billion btu"
"1985","aviation gasoline consumed by the transportation sector United States","50324","billion btu"
"1986","aviation gasoline consumed by the transportation sector United States","58925","billion btu"
"1987","aviation gasoline consumed by the transportation sector United States","45639","billion btu"
"1988","aviation gasoline consumed by the transportation sector United States","48991","billion btu"
"1989","aviation gasoline consumed by the transportation sector United States","47587","billion btu"
"1990","aviation gasoline consumed by the transportation sector United States","44978","billion btu"
"1991","aviation gasoline consumed by the transportation sector United States","41722","billion btu"
"1992","aviation gasoline consumed by the transportation sector United States","41055","billion btu"
"1993","aviation gasoline consumed by the transportation sector United States","38395","billion btu"
"1994","aviation gasoline consumed by the transportation sector United States","38138","billion btu"
"1995","aviation gasoline consumed by the transportation sector United States","39581","billion btu"
"1996","aviation gasoline consumed by the transportation sector United States","37355","billion btu"
"1997","aviation gasoline consumed by the transportation sector United States","39697","billion btu"
"1998","aviation gasoline consumed by the transportation sector United States","35498","billion btu"
"1999","aviation gasoline consumed by the transportation sector United States","39172","billion btu"
"2000","aviation gasoline consumed by the transportation sector United States","36285","billion btu"
"2001","aviation gasoline consumed by the transportation sector United States","34937","billion btu"
"2002","aviation gasoline consumed by the transportation sector United States","33731","billion btu"
"2003","aviation gasoline consumed by the transportation sector United States","30222","billion btu"
"2004","aviation gasoline consumed by the transportation sector United States","31242","billion btu"
"2005","aviation gasoline consumed by the transportation sector United States","35366","billion btu"
"2006","aviation gasoline consumed by the transportation sector United States","33448","billion btu"
"2007","aviation gasoline consumed by the transportation sector United States","31590","billion btu"
"2000","aviation gasoline consumed by the transportation sector Tennessee","625","billion btu"
"2001","aviation gasoline consumed by the transportation sector Tennessee","301","billion btu"
"2002","aviation gasoline consumed by the transportation sector Tennessee","757","billion btu"
"2003","aviation gasoline consumed by the transportation sector Tennessee","661","billion btu"
"2004","aviation gasoline consumed by the transportation sector Tennessee","467","billion btu"
"2005","aviation gasoline consumed by the transportation sector Tennessee","515","billion btu"
"2006","aviation gasoline consumed by the transportation sector Tennessee","448","billion btu"
"2007","aviation gasoline consumed by the transportation sector Tennessee","524","billion btu"
"2008","aviation gasoline consumed by the transportation sector Tennessee","601","billion btu"
"2009","aviation gasoline consumed by the transportation sector Tennessee","639","billion btu"
"1960","aviation gasoline consumed by the transportation sector Tennessee","5248","billion btu"
"1961","aviation gasoline consumed by the transportation sector Tennessee","4566","billion btu"
"1962","aviation gasoline consumed by the transportation sector Tennessee","4642","billion btu"
"1963","aviation gasoline consumed by the transportation sector Tennessee","6278","billion btu"
"1964","aviation gasoline consumed by the transportation sector Tennessee","5503","billion btu"
"1965","aviation gasoline consumed by the transportation sector Tennessee","5167","billion btu"
"1966","aviation gasoline consumed by the transportation sector Tennessee","3769","billion btu"
"1967","aviation gasoline consumed by the transportation sector Tennessee","2256","billion btu"
"1968","aviation gasoline consumed by the transportation sector Tennessee","1346","billion btu"
"1969","aviation gasoline consumed by the transportation sector Tennessee","927","billion btu"
"1970","aviation gasoline consumed by the transportation sector Tennessee","586","billion btu"
"1971","aviation gasoline consumed by the transportation sector Tennessee","582","billion btu"
"1972","aviation gasoline consumed by the transportation sector Tennessee","600","billion btu"
"1973","aviation gasoline consumed by the transportation sector Tennessee","548","billion btu"
"1974","aviation gasoline consumed by the transportation sector Tennessee","468","billion btu"
"1975","aviation gasoline consumed by the transportation sector Tennessee","354","billion btu"
"1976","aviation gasoline consumed by the transportation sector Tennessee","284","billion btu"
"1977","aviation gasoline consumed by the transportation sector Tennessee","318","billion btu"
"1978","aviation gasoline consumed by the transportation sector Tennessee","284","billion btu"
"1979","aviation gasoline consumed by the transportation sector Tennessee","3558","billion btu"
"1980","aviation gasoline consumed by the transportation sector Tennessee","1464","billion btu"
"1981","aviation gasoline consumed by the transportation sector Tennessee","1171","billion btu"
"1982","aviation gasoline consumed by the transportation sector Tennessee","865","billion btu"
"1983","aviation gasoline consumed by the transportation sector Tennessee","905","billion btu"
"1984","aviation gasoline consumed by the transportation sector Tennessee","827","billion btu"
"1985","aviation gasoline consumed by the transportation sector Tennessee","776","billion btu"
"1986","aviation gasoline consumed by the transportation sector Tennessee","1014","billion btu"
"1987","aviation gasoline consumed by the transportation sector Tennessee","937","billion btu"
"1988","aviation gasoline consumed by the transportation sector Tennessee","922","billion btu"
"1989","aviation gasoline consumed by the transportation sector Tennessee","919","billion btu"
"1990","aviation gasoline consumed by the transportation sector Tennessee","877","billion btu"
"1991","aviation gasoline consumed by the transportation sector Tennessee","733","billion btu"
"1992","aviation gasoline consumed by the transportation sector Tennessee","1732","billion btu"
"1993","aviation gasoline consumed by the transportation sector Tennessee","1993","billion btu"
