"State","State_FIPS","Not_Ascertained","Do_Not_Know","Appropriate_Skip","Biodiesel","Plug_in_Hybrid","Electric","Hybrid","Some_Other_Fuel"
"AK","02","0","0","476","0","0","0","3","0"
"AL","01","2","0","664","0","2","1","4","0"
"AR","05","0","0","402","0","0","0","5","1"
"AZ","04","5","0","6013","1","12","22","94","6"
"CA","06","33","0","49691","10","258","326","1864","33"
"CO","08","0","0","933","0","0","1","18","1"
"CT","09","2","0","450","0","2","0","19","0"
"DC","11","0","0","268","0","0","0","17","0"
"DE","10","0","0","495","0","2","1","13","0"
"FL","12","0","0","2575","0","4","11","44","2"
"GA","13","2","0","16656","1","12","61","229","4"
"HI","15","0","0","462","0","1","9","19","0"
"IA","19","26","1","5397","3","8","0","87","19"
"ID","16","0","0","770","0","0","1","12","0"
"IL","17","0","0","1782","0","1","3","28","2"
"IN","18","0","0","1033","0","0","0","12","1"
"KS","20","0","0","590","0","0","0","8","2"
"KY","21","0","0","596","0","0","2","7","0"
"LA","22","0","0","416","0","0","0","3","0"
"MA","25","0","0","790","0","1","1","23","0"
"MD","24","2","0","2869","0","7","6","68","0"
"ME","23","0","0","600","0","0","2","7","0"
"MI","26","1","0","1529","1","4","1","20","1"
"MN","27","1","0","1301","0","0","1","22","3"
"MO","29","0","0","994","0","1","1","13","0"
"MS","28","0","0","413","0","0","0","1","0"
"MT","30","0","0","835","0","0","0","5","0"
"NC","37","6","0","17740","2","4","12","296","11"
"ND","38","0","0","712","0","2","0","1","1"
"NE","31","3","0","597","0","0","0","6","2"
"NH","33","0","0","559","0","1","0","13","0"
"NJ","34","1","0","977","0","3","0","18","0"
"NM","35","0","0","472","0","1","1","13","0"
"NV","32","0","0","363","0","1","1","6","0"
"NY","36","9","0","30248","3","42","28","496","5"
"OH","39","1","0","1966","0","0","1","32","2"
"OK","40","3","0","2557","0","2","1","25","3"
"OR","41","1","0","753","1","2","1","27","0"
"PA","42","0","0","1971","0","1","2","24","1"
"RI","44","0","0","411","0","2","0","6","0"
"SC","45","8","0","13898","1","13","23","153","8"
"SD","46","2","0","740","0","0","0","8","1"
"TN","47","0","0","928","0","1","0","11","0"
"TX","48","14","1","47015","3","54","68","753","38"
"UT","49","0","0","728","1","2","0","10","0"
"VA","51","0","0","1435","0","1","1","39","0"
"VT","50","0","0","739","0","1","2","17","0"
"WA","53","0","0","1262","0","5","6","33","0"
"WI","55","9","2","23536","7","29","9","353","14"
"WV","54","0","0","418","0","0","1","4","1"
"WY","56","0","0","674","0","0","0","7","0"
