Region,State,Num_of_Stations,Data_Date,Road_Type,Milage,Units
Northeast,Connecticut,2,8/1/2022,rural,177,vehicle-miles (millions)
Northeast,Connecticut,2,8/1/2021,rural,178,vehicle-miles (millions)
Northeast,Connecticut,2,7/1/2022,rural,176,vehicle-miles (millions)
Northeast,Connecticut,2,7/1/2021,rural,177,vehicle-miles (millions)
Northeast,Maine,68,8/1/2022,rural,621,vehicle-miles (millions)
Northeast,Maine,68,8/1/2021,rural,622,vehicle-miles (millions)
Northeast,Maine,68,7/1/2022,rural,593,vehicle-miles (millions)
Northeast,Maine,68,7/1/2021,rural,596,vehicle-miles (millions)
Northeast,Massachusetts,15,8/1/2022,rural,175,vehicle-miles (millions)
Northeast,Massachusetts,15,8/1/2021,rural,175,vehicle-miles (millions)
Northeast,Massachusetts,15,7/1/2022,rural,172,vehicle-miles (millions)
Northeast,Massachusetts,15,7/1/2021,rural,171,vehicle-miles (millions)
Northeast,New Hampshire,75,8/1/2022,rural,358,vehicle-miles (millions)
Northeast,New Hampshire,75,8/1/2021,rural,359,vehicle-miles (millions)
Northeast,New Hampshire,75,7/1/2022,rural,360,vehicle-miles (millions)
Northeast,New Hampshire,75,7/1/2021,rural,356,vehicle-miles (millions)
Northeast,New Jersey,4,8/1/2022,rural,286,vehicle-miles (millions)
Northeast,New Jersey,4,8/1/2021,rural,281,vehicle-miles (millions)
Northeast,New Jersey,4,7/1/2022,rural,277,vehicle-miles (millions)
Northeast,New Jersey,4,7/1/2021,rural,284,vehicle-miles (millions)
Northeast,New York,44,8/1/2022,rural,1381,vehicle-miles (millions)
Northeast,New York,44,8/1/2021,rural,1388,vehicle-miles (millions)
Northeast,New York,44,7/1/2022,rural,1389,vehicle-miles (millions)
Northeast,New York,44,7/1/2021,rural,1400,vehicle-miles (millions)
Northeast,Pennsylvania,44,8/1/2022,rural,2218,vehicle-miles (millions)
Northeast,Pennsylvania,44,8/1/2021,rural,2264,vehicle-miles (millions)
Northeast,Pennsylvania,44,7/1/2022,rural,2204,vehicle-miles (millions)
Northeast,Pennsylvania,44,7/1/2021,rural,2305,vehicle-miles (millions)
Northeast,Rhode Island,5,8/1/2022,rural,74,vehicle-miles (millions)
Northeast,Rhode Island,5,8/1/2021,rural,78,vehicle-miles (millions)
Northeast,Rhode Island,5,7/1/2022,rural,69,vehicle-miles (millions)
Northeast,Rhode Island,5,7/1/2021,rural,70,vehicle-miles (millions)
Northeast,Vermont,19,8/1/2022,rural,281,vehicle-miles (millions)
Northeast,Vermont,19,8/1/2021,rural,269,vehicle-miles (millions)
Northeast,Vermont,19,7/1/2022,rural,274,vehicle-miles (millions)
Northeast,Vermont,19,7/1/2021,rural,271,vehicle-miles (millions)
South Atlantic,Delaware,4,8/1/2022,rural,108,vehicle-miles (millions)
South Atlantic,Delaware,4,8/1/2021,rural,108,vehicle-miles (millions)
South Atlantic,Delaware,4,7/1/2022,rural,91,vehicle-miles (millions)
South Atlantic,Delaware,4,7/1/2021,rural,96,vehicle-miles (millions)
South Atlantic,District of Columbia,0,8/1/2022,rural,0,vehicle-miles (millions)
South Atlantic,District of Columbia,0,8/1/2021,rural,0,vehicle-miles (millions)
South Atlantic,District of Columbia,0,7/1/2022,rural,0,vehicle-miles (millions)
South Atlantic,District of Columbia,0,7/1/2021,rural,0,vehicle-miles (millions)
South Atlantic,Florida,93,8/1/2022,rural,2338,vehicle-miles (millions)
South Atlantic,Florida,93,8/1/2021,rural,2265,vehicle-miles (millions)
South Atlantic,Florida,93,7/1/2022,rural,2541,vehicle-miles (millions)
South Atlantic,Florida,93,7/1/2021,rural,2555,vehicle-miles (millions)
South Atlantic,Georgia,62,8/1/2022,rural,1797,vehicle-miles (millions)
South Atlantic,Georgia,62,8/1/2021,rural,1775,vehicle-miles (millions)
South Atlantic,Georgia,62,7/1/2022,rural,1846,vehicle-miles (millions)
South Atlantic,Georgia,62,7/1/2021,rural,1919,vehicle-miles (millions)
South Atlantic,Maryland,7,8/1/2022,rural,601,vehicle-miles (millions)
South Atlantic,Maryland,7,8/1/2021,rural,600,vehicle-miles (millions)
South Atlantic,Maryland,7,7/1/2022,rural,603,vehicle-miles (millions)
South Atlantic,Maryland,7,7/1/2021,rural,621,vehicle-miles (millions)
South Atlantic,North Carolina,44,8/1/2022,rural,1976,vehicle-miles (millions)
South Atlantic,North Carolina,44,8/1/2021,rural,1988,vehicle-miles (millions)
South Atlantic,North Carolina,44,7/1/2022,rural,1994,vehicle-miles (millions)
South Atlantic,North Carolina,44,7/1/2021,rural,2066,vehicle-miles (millions)
South Atlantic,South Carolina,56,8/1/2022,rural,1626,vehicle-miles (millions)
South Atlantic,South Carolina,56,8/1/2021,rural,1596,vehicle-miles (millions)
