Region,State,Num_of_Stations,Road_Type,Units,Date_1,Date_1_Milage,Date_2,Date_2_Milage,Date_3,Date_3_Milage,Date_4,Date_4_Milage
Northeast,Connecticut,2,rural,vehicle-miles (millions),8/1/2022,177,8/1/2021,178,7/1/2022,176,7/1/2021,177
Northeast,Maine,68,rural,vehicle-miles (millions),8/1/2022,621,8/1/2021,622,7/1/2022,593,7/1/2021,596
Northeast,Massachusetts,15,rural,vehicle-miles (millions),8/1/2022,175,8/1/2021,175,7/1/2022,172,7/1/2021,171
Northeast,New Hampshire,75,rural,vehicle-miles (millions),8/1/2022,358,8/1/2021,359,7/1/2022,360,7/1/2021,356
Northeast,New Jersey,4,rural,vehicle-miles (millions),8/1/2022,286,8/1/2021,281,7/1/2022,277,7/1/2021,284
Northeast,New York,44,rural,vehicle-miles (millions),8/1/2022,1381,8/1/2021,1388,7/1/2022,1389,7/1/2021,1400
Northeast,Pennsylvania,44,rural,vehicle-miles (millions),8/1/2022,2218,8/1/2021,2264,7/1/2022,2204,7/1/2021,2305
Northeast,Rhode Island,5,rural,vehicle-miles (millions),8/1/2022,74,8/1/2021,78,7/1/2022,69,7/1/2021,70
Northeast,Vermont,19,rural,vehicle-miles (millions),8/1/2022,281,8/1/2021,269,7/1/2022,274,7/1/2021,271
South Atlantic,Delaware,4,rural,vehicle-miles (millions),8/1/2022,108,8/1/2021,108,7/1/2022,91,7/1/2021,96
South Atlantic,District of Columbia,0,rural,vehicle-miles (millions),8/1/2022,0,8/1/2021,0,7/1/2022,0,7/1/2021,0
South Atlantic,Florida,93,rural,vehicle-miles (millions),8/1/2022,2338,8/1/2021,2265,7/1/2022,2541,7/1/2021,2555
South Atlantic,Georgia,62,rural,vehicle-miles (millions),8/1/2022,1797,8/1/2021,1775,7/1/2022,1846,7/1/2021,1919
South Atlantic,Maryland,7,rural,vehicle-miles (millions),8/1/2022,601,8/1/2021,600,7/1/2022,603,7/1/2021,621
South Atlantic,North Carolina,44,rural,vehicle-miles (millions),8/1/2022,1976,8/1/2021,1988,7/1/2022,1994,7/1/2021,2066
South Atlantic,South Carolina,56,rural,vehicle-miles (millions),8/1/2022,1626,8/1/2021,1596,7/1/2022,1660,7/1/2021,1714
South Atlantic,Virginia,325,rural,vehicle-miles (millions),8/1/2022,1985,8/1/2021,2017,7/1/2022,1978,7/1/2021,2084
South Atlantic,West Virginia,15,rural,vehicle-miles (millions),8/1/2022,489,8/1/2021,511,7/1/2022,492,7/1/2021,544
North Central,Illinois,35,rural,vehicle-miles (millions),8/1/2022,1497,8/1/2021,1503,7/1/2022,1590,7/1/2021,1642
North Central,Indiana,22,rural,vehicle-miles (millions),8/1/2022,1603,8/1/2021,1642,7/1/2022,1555,7/1/2021,1664
North Central,Iowa,79,rural,vehicle-miles (millions),8/1/2022,1290,8/1/2021,1311,7/1/2022,1273,7/1/2021,1330
North Central,Kansas,64,rural,vehicle-miles (millions),8/1/2022,967,8/1/2021,953,7/1/2022,1014,7/1/2021,1039
North Central,Michigan,58,rural,vehicle-miles (millions),8/1/2022,1836,8/1/2021,1898,7/1/2022,1876,7/1/2021,1964
