"Name","Male_LT_5","Female_LT_5","Male_5_T_9","Female_5_T_9","Male_10_T_14","Female_10_T_14","Male_15_T_17","Female_15_T_17","Male_18_T_19","Female_18_T_19","Male_20","Female_20","Male_21","Female_21","Male_22_T_24","Female_22_T_24","Male_25_T_29","Female_25_T_29","Male_30_T_34","Female_30_T_34","Male_35_T_39","Female_35_T_39","Male_40_T_44","Female_40_T_44","Male_45_T_49","Female_45_T_49","Male_50_T_54","Female_50_T_54","Male_55_T_59","Female_55_T_59","Male_60_T_61","Female_60_T_61","Male_62_T_64","Female_62_T_64","Male_65_T_66","Female_65_T_66","Male_67_T_69","Female_67_T_69","Male_70_T_74","Female_70_T_74","Male_75_T_79","Female_75_T_79","Male_80_T_84","Female_80_T_84","Male_GE_85","Female_GE_85","STATEFP","COUNTYFP","STATE_FIPS","Year"
"Meigs County, Tennessee","296","330","365","245","316","462","248","220","120","116","89","20","32","34","173","235","347","317","351","279","278","333","412","387","414","407","435","510","502","436","149","305","223","220","219","250","244","229","392","364","237","209","125","170","72","120","47","121","47121","2020"
"Montgomery County, Tennessee","8916","8202","7959","7512","7229","7228","4053","3840","2544","2668","1642","2397","1694","1482","5927","4333","10985","10075","9174","8753","7666","7521","6094","6207","5506","5940","5259","5600","4623","5312","2116","2537","2378","2555","1684","2069","1912","1672","1930","2656","1315","1754","866","1130","733","1344","47","125","47125","2020"
"Moore County, Tennessee","211","112","236","179","90","166","150","92","25","81","33","59","42","64","127","56","146","175","158","160","162","181","239","174","223","207","246","194","199","246","60","71","205","278","100","125","123","80","130","191","130","97","87","85","49","152","47","127","47127","2020"
"Obion County, Tennessee","836","900","714","872","1128","932","617","612","444","293","148","172","158","174","418","538","921","922","712","828","754","1035","1112","855","907","902","982","1008","1121","1250","437","341","511","607","320","346","550","664","739","878","515","661","230","382","379","518","47","131","47131","2020"
"Overton County, Tennessee","668","521","620","549","774","785","436","410","247","241","139","129","88","174","402","308","730","641","506","599","553","761","737","525","698","762","728","777","639","763","271","358","576","525","376","147","466","522","443","737","387","350","213","411","185","294","47","133","47133","2020"
"Pickett County, Tennessee","136","113","186","255","72","115","68","4","50","60","0","4","64","25","34","28","114","147","109","103","90","99","187","153","141","150","196","187","191","200","66","72","125","139","68","103","48","121","288","178","122","163","95","99","48","52","47","137","47137","2020"
"Polk County, Tennessee","400","392","356","390","534","495","326","291","180","133","117","94","134","7","186","339","510","418","432","431","493","459","417","497","601","584","800","658","830","762","123","163","273","446","265","157","291","296","436","602","439","411","101","161","160","217","47","139","47139","2020"
"Rhea County, Tennessee","998","1048","1170","977","931","1075","728","571","420","410","116","310","126","178","827","614","1087","933","941","1005","1068","956","729","886","1015","1041","1133","1170","1035","1045","464","274","755","918","382","372","619","581","706","918","509","546","341","461","192","383","47","143","47143","2020"
"Roane County, Tennessee","1287","1094","1412","1510","1452","1253","1006","961","654","572","413","319","247","174","697","868","1441","1478","1391","1336","1326","1449","1369","1356","1727","1783","1946","2037","1996","1963","855","1065","1350","1438","800","660","981","1160","1602","1761","1217","1490","463","671","479","822","47","145","47145","2020"
"Rutherford County, Tennessee","10772","10320","11045","10622","12034","11492","6813","6779","4930","4741","3181","3030","3526","3124","8239","8844","12814","12414","11257","11585","11656","11896","10646","11522","10800","11063","9812","10321","9546","9809","3665","3692","3593","4493","2739","2658","3316","3906","3684","5067","2688","3530","1316","1952","1227","1980","47","149","47149","2020"
"Scott County, Tennessee","702","653","698","578","832","810","466","489","341","207","57","104","136","186","353","311","714","710","608","606","860","765","603","661","690","707","750","732","725","818","225","180","465","573","223","313","350","291","502","548","366","355","144","293","104","216","47","151","47151","2020"
"Sequatchie County, Tennessee","409","334","450","391","321","365","385","230","226","161","77","38","58","61","232","255","486","420","635","415","422","378","411","458","495","478","469","526","491","652","222","213","404","277","241","246","345","280","309","429","326","376","107","252","100","80","47","153","47153","2020"
"Shelby County, Tennessee","33195","32409","31189","31146","35134","33019","19144","18936","11749","11423","6322","5678","5942","6881","19036","19792","35771","38088","31297","33953","28910","32360","26361","29274","27452","30943","27093","30866","26646","31222","9594","13650","16995","18190","9294","10537","10997","14757","14486","18298","9356","11959","4370","7842","4239","10816","47","157","47157","2020"
"Smith County, Tennessee","620","506","514","599","860","577","416","410","212","191","99","87","124","78","336","400","641","578","629","579","542","689","545","477","640","712","813","775","918","688","227","360","382","401","264","168","197","502","516","400","265","253","164","224","103","245","47","159","47159","2020"
"Sullivan County, Tennessee","3969","3708","4136","3899","4604","4405","2947","2794","1685","1525","1071","695","857","1116","2716","2360","4815","4664","4142","4395","4314","4195","4383","4823","5485","5500","5479","5831","5164","6312","2176","2177","3474","3391","2251","1910","2807","3360","3986","5098","3235","3621","1663","2424","1338","2807","47","163","47163","2020"
"Sumner County, Tennessee","5776","5516","6523","6640","6312","5672","3938","3817","2181","1955","872","927","1088","916","3242","3131","5890","5945","5639","6258","6489","6047","5687","6680","6458","6682","6340","6517","5896","6800","2673","2473","3321","3490","2179","2429","2878","3302","3393","3882","2521","2944","1235","1497","1075","2554","47","165","47165","2020"
"Trousdale County, Tennessee","373","142","425","301","268","219","160","105","349","72","115","0","191","31","281","87","926","373","837","425","374","151","474","340","342","295","310","303","412","279","89","155","119","133","143","161","113","151","165","182","155","125","23","164","24","48","47","169","47169","2020"
"Unicoi County, Tennessee","345","325","391","423","516","364","289","282","192","163","83","114","275","122","189","242","637","483","279","426","551","489","727","479","595","581","657","631","521","749","407","240","387","436","251","211","496","294","394","757","424","335","222","308","152","387","47","171","47171","2020"
