"Name","Total","No_Schooling_Completed","Nursery_School","Kindergarten","1st_Grade","2nd_Grade","3rd_Grade","4th_Grade","5th_Grade","6th_Grade","7th_Grade","8th_Grade","9th_Grade","10th_Grade","11th_Grade","12th_Grade_No_Diploma","Regular_High_School_Diploma","GED_or_alternative_credential","Some_College_less_than_1_year","Some_College_1_year_or_more","Associates_Degree","Bachelors_Degree","Masters_Degree","Professional_School_Degree","Doctorate_Degree","STATEFP","COUNTYFP","STATE_FIPS","Year","No_Highschool_Diploma","Some_College"
"Meigs County, Tennessee","8936","107","0","0","0","0","14","19","0","65","54","177","220","324","277","172","3164","834","723","1237","635","595","250","56","13","47","121","47121","2020","1429","1960"
"Montgomery County, Tennessee","127366","1089","35","0","12","28","59","30","0","542","211","676","680","1073","2121","1986","28971","5585","9387","23318","14088","24253","10536","1488","1198","47","125","47125","2020","8542","32705"
"Moore County, Tennessee","4673","40","0","0","0","6","19","0","0","88","47","96","39","89","72","139","1668","300","285","481","399","715","180","0","10","47","127","47127","2020","635","766"
"Obion County, Tennessee","21387","398","0","4","11","0","34","15","52","166","124","633","323","572","711","465","7629","1951","1306","2514","1166","2125","921","205","62","47","131","47131","2020","3508","3820"
"Overton County, Tennessee","15680","146","0","0","0","0","84","35","36","131","274","923","386","544","279","237","6131","1167","745","1849","752","1240","476","148","97","47","133","47133","2020","3075","2594"
"Pickett County, Tennessee","3854","42","0","0","0","0","0","0","0","55","54","215","127","142","117","47","1287","235","292","367","353","323","80","77","41","47","137","47137","2020","799","659"
"Polk County, Tennessee","12433","133","0","0","0","9","4","95","34","76","130","463","369","429","436","104","3235","1001","949","2000","1396","944","443","106","77","47","139","47139","2020","2282","2949"
"Rhea County, Tennessee","22465","274","0","0","0","2","24","0","85","306","186","577","724","810","602","333","6665","1908","1409","3285","1544","2402","1016","126","187","47","143","47143","2020","3923","4694"
"Roane County, Tennessee","39412","326","0","0","4","25","147","118","0","270","89","414","353","834","730","701","11710","3179","3370","6188","3432","4497","2175","544","306","47","145","47145","2020","4011","9558"
"Rutherford County, Tennessee","204647","1995","25","0","7","22","156","161","130","607","587","1478","2094","2612","2600","3131","47329","9566","14713","33304","17467","46770","14790","2499","2604","47","149","47149","2020","15605","48017"
"Scott County, Tennessee","15097","272","0","19","0","0","110","22","112","174","19","407","701","427","572","415","5567","1248","695","2028","923","792","402","139","53","47","151","47151","2020","3250","2723"
"Sequatchie County, Tennessee","10943","54","0","0","0","11","18","63","24","66","66","197","166","486","554","129","3638","899","618","1655","695","1068","277","117","142","47","153","47153","2020","1834","2273"
"Shelby County, Tennessee","615616","7583","91","122","370","315","624","509","1050","4620","1844","5396","7474","11775","13324","12239","146772","21391","34512","106037","40279","119097","57167","14514","8511","47","157","47157","2020","67336","140549"
"Smith County, Tennessee","13897","114","0","13","9","0","0","0","2","42","149","349","275","434","361","217","4838","1168","1147","1479","915","1631","592","48","114","47","159","47159","2020","1965","2626"
"Sullivan County, Tennessee","115220","930","25","0","60","45","130","70","318","421","848","1760","2329","2891","2879","1750","30861","8449","7141","15904","10189","18244","6842","1583","1551","47","163","47163","2020","14456","23045"
