"Name","Male_Employed_16_T_19","Female_Employed_16_T_19","Male_Employed_20_T_21","Female_Employed_20_T_21","Male_Employed_22_T_24","Female_Employed_22_T_24","Male_Employed_25_T_29","Female_Employed_25_T_29","Male_Employed_30_T_34","Female_Employed_30_T_34","Male_Employed_35_T_44","Female_Employed_35_T_44","Male_Employed_45_T_54","Female_Employed_45_T_54","Male_Employed_55_T_59","Female_Employed_55_T_59","Male_Employed_60_T_61","Female_Employed_60_T_61","Male_Employed_62_T_64","Female_Employed_62_T_64","Male_Employed_65_T_69","Female_Employed_65_T_69","Male_Employed_70_T_74","Female_Employed_70_T_74","Male_Employed_75_or_more","Female_Employed_75_or_more","STATEFP","COUNTYFP","STATE_FIPS","Employed_16_T_19","Employed_20_T_21","Employed_22_T_24","Employed_25_T_29","Employed_30_T_34","Employed_35_T_44","Employed_45_T_54","Employed_55_T_59","Employed_60_T_61","Employed_62_T_64","Employed_65_T_69","Employed_70_T_74","Employed_75_or_more","Year"
"Meigs County, Tennessee","144","75","100","45","158","29","302","175","283","173","539","509","611","453","311","235","71","92","103","42","49","80","46","26","17","34","47","121","47121","219","145","187","477","456","1048","1064","546","163","145","129","72","51","2020"
"Montgomery County, Tennessee","1638","1901","1490","2400","3340","2661","6187","6284","6021","5649","8656","9038","8049","8485","3308","3116","1209","1139","1389","894","1187","890","239","203","306","101","47","125","47125","3539","3890","6001","12471","11670","17694","16534","6424","2348","2283","2077","442","407","2020"
"Moore County, Tennessee","22","64","47","33","108","34","121","126","109","116","314","266","360","270","165","156","54","32","69","104","95","58","31","0","25","10","47","127","47127","86","80","142","247","225","580","630","321","86","173","153","31","35","2020"
"Obion County, Tennessee","224","197","184","214","209","337","720","531","551","619","1481","1422","1461","1099","739","713","209","184","199","264","324","352","184","100","48","48","47","131","47131","421","398","546","1251","1170","2903","2560","1452","393","463","676","284","96","2020"
"Overton County, Tennessee","206","151","193","209","359","263","602","487","298","400","1124","1100","1142","1133","413","424","112","121","281","86","208","98","23","43","36","33","47","133","47133","357","402","622","1089","698","2224","2275","837","233","367","306","66","69","2020"
"Pickett County, Tennessee","20","53","48","7","21","3","103","84","81","103","218","136","301","185","135","55","2","13","39","79","21","61","68","16","14","2","47","137","47137","73","55","24","187","184","354","486","190","15","118","82","84","16","2020"
"Polk County, Tennessee","147","87","202","46","136","224","460","300","318","288","701","640","1116","970","565","407","69","9","133","264","107","41","57","5","14","45","47","139","47139","234","248","360","760","606","1341","2086","972","78","397","148","62","59","2020"
"Rhea County, Tennessee","303","424","188","199","563","258","839","600","646","639","1424","1169","1443","1315","610","530","231","123","422","226","293","149","107","120","133","77","47","143","47143","727","387","821","1439","1285","2593","2758","1140","354","648","442","227","210","2020"
"Roane County, Tennessee","552","379","370","308","535","642","1199","969","969","991","1918","1863","3093","2463","1279","1017","336","562","791","657","556","410","254","476","250","130","47","145","47145","931","678","1177","2168","1960","3781","5556","2296","898","1448","966","730","380","2020"
"Rutherford County, Tennessee","3138","4058","5040","4802","6764","7082","10265","9795","9688","9316","20019","17542","18648","16333","7647","6455","2544","2012","2106","1909","2658","1670","863","582","422","577","47","149","47149","7196","9842","13846","20060","19004","37561","34981","14102","4556","4015","4328","1445","999","2020"
"Scott County, Tennessee","203","281","175","191","286","239","457","310","574","505","816","857","898","829","338","490","41","31","193","138","117","125","9","53","24","23","47","151","47151","484","366","525","767","1079","1673","1727","828","72","331","242","62","47","2020"
"Sequatchie County, Tennessee","227","148","70","55","121","167","369","325","375","368","615","455","766","587","235","243","156","88","131","117","168","130","92","7","103","19","47","153","47153","375","125","288","694","743","1070","1353","478","244","248","298","99","122","2020"
"Shelby County, Tennessee","6225","6790","6858","7180","12873","13132","27078","27008","24694","24697","44426","44632","43481","45349","19512","19632","5863","8554","9082","8259","7724","7486","3753","3073","2483","1839","47","157","47157","13015","14038","26005","54086","49391","89058","88830","39144","14417","17341","15210","6826","4322","2020"
"Smith County, Tennessee","185","108","137","89","244","319","616","393","509","439","783","940","1109","1029","590","389","164","173","146","152","132","116","164","62","24","18","47","159","47159","293","226","563","1009","948","1723","2138","979","337","298","248","226","42","2020"
"Sullivan County, Tennessee","1234","1208","1024","1023","2049","1581","3801","3388","3412","3055","6859","5852","8311","7809","3548","3596","1439","1017","1301","1274","1248","1263","711","517","435","341","47","163","47163","2442","2047","3630","7189","6467","12711","16120","7144","2456","2575","2511","1228","776","2020"
"Sumner County, Tennessee","2016","2151","1509","1532","2443","2325","5009","4440","4619","4702","10675","9526","11474","10003","4252","4596","2011","1577","2053","1835","2023","1928","578","464","673","356","47","165","47165","4167","3041","4768","9449","9321","20201","21477","8848","3588","3888","3951","1042","1029","2020"
"Trousdale County, Tennessee","224","97","171","13","30","87","447","205","565","397","409","407","356","389","269","256","30","23","4","51","36","175","50","45","11","0","47","169","47169","321","184","117","652","962","816","745","525","53","55","211","95","11","2020"
"Unicoi County, Tennessee","173","133","270","125","103","178","477","273","247","271","892","721","919","712","266","347","374","100","175","170","295","103","111","61","72","38","47","171","47171","306","395","281","750","518","1613","1631","613","474","345","398","172","110","2020"
"Van Buren County, Tennessee","22","69","106","0","29","65","83","82","121","73","227","248","279","323","125","111","62","80","56","37","62","37","10","42","36","21","47","175","47175","91","106","94","165","194","475","602","236","142","93","99","52","57","2020"
"Warren County, Tennessee","479","451","334","172","451","530","1079","786","844","781","2113","1747","2197","1672","945","902","229","320","481","238","287","221","283","86","105","57","47","177","47177","930","506","981","1865","1625","3860","3869","1847","549","719","508","369","162","2020"
"Wayne County, Tennessee","146","57","52","42","332","100","435","291","391","284","616","490","726","680","200","382","145","177","214","138","29","66","36","76","32","14","47","181","47181","203","94","432","726","675","1106","1406","582","322","352","95","112","46","2020"
"Weakley County, Tennessee","397","272","460","511","572","599","941","680","680","656","1361","1186","1377","1267","634","645","237","278","346","256","281","278","143","84","105","57","47","183","47183","669","971","1171","1621","1336","2547","2644","1279","515","602","559","227","162","2020"
"Williamson County, Tennessee","3162","2676","1770","1566","2931","2816","4454","4064","5021","4625","15689","12239","15815","13100","6708","5579","2687","1813","2653","1820","2264","1594","1177","656","703","355","47","187","47187","5838","3336","5747","8518","9646","27928","28915","12287","4500","4473","3858","1833","1058","2020"
"Wilson County, Tennessee","1841","1074","994","683","1687","1870","3440","3162","3605","3493","8454","7726","8405","7358","3847","3305","1182","1306","1250","1232","1712","1322","537","404","225","173","47","189","47189","2915","1677","3557","6602","7098","16180","15763","7152","2488","2482","3034","941","398","2020"
"Bedford County, Tennessee","255","357","745","262","608","673","1411","1116","1518","1041","2479","2321","2542","2193","743","846","742","269","498","599","192","302","255","266","182","102","47","003","47003","612","1007","1281","2527","2559","4800","4735","1589","1011","1097","494","521","284","2020"
"Blount County, Tennessee","1200","1308","928","1033","1793","1449","3259","2888","3116","2842","6134","5669","7461","6669","3430","3524","1248","982","1446","1304","1206","1071","490","624","365","340","47","009","47009","2508","1961","3242","6147","5958","11803","14130","6954","2230","2750","2277","1114","705","2020"
"Cannon County, Tennessee","112","55","120","76","155","205","406","279","363","359","564","541","908","756","367","227","34","152","127","78","150","111","71","62","2","24","47","015","47015","167","196","360","685","722","1105","1664","594","186","205","261","133","26","2020"
"Cheatham County, Tennessee","340","416","245","381","670","353","1060","839","1057","1016","2300","2123","2455","2093","1185","1009","462","384","347","293","425","320","83","116","128","6","47","021","47021","756","626","1023","1899","2073","4423","4548","2194","846","640","745","199","134","2020"
"Clay County, Tennessee","37","88","94","32","64","40","133","146","166","129","218","301","391","238","147","136","6","34","45","48","62","29","44","44","12","24","47","027","47027","125","126","104","279","295","519","629","283","40","93","91","88","36","2020"
"Crockett County, Tennessee","163","96","51","64","96","184","358","340","377","309","696","688","619","685","309","362","146","114","93","65","143","124","62","39","12","26","47","033","47033","259","115","280","698","686","1384","1304","671","260","158","267","101","38","2020"
"Decatur County, Tennessee","34","41","78","27","94","65","266","193","243","135","466","536","636","416","191","262","49","114","126","51","130","70","66","48","25","15","47","039","47039","75","105","159","459","378","1002","1052","453","163","177","200","114","40","2020"
"Jackson County, Tennessee","111","66","115","94","48","85","285","190","171","203","449","455","525","443","397","232","60","165","78","89","102","21","41","55","23","158","47","087","47087","177","209","133","475","374","904","968","629","225","167","123","96","181","2020"
"Knox County, Tennessee","4011","4578","6399","4984","8304","9266","13869","12829","13098","11904","25142","21693","24200","21935","11114","10996","4131","3326","4325","3762","4484","3388","2005","1721","1145","931","47","093","47093","8589","11383","17570","26698","25002","46835","46135","22110","7457","8087","7872","3726","2076","2020"
"Lawrence County, Tennessee","427","336","319","150","558","444","955","1076","826","785","1924","1517","2138","1794","965","634","342","188","227","265","371","289","112","146","83","89","47","099","47099","763","469","1002","2031","1611","3441","3932","1599","530","492","660","258","172","2020"
"Loudon County, Tennessee","444","431","364","456","620","639","1137","869","1062","879","2165","2050","2825","2516","1184","1412","545","264","669","409","644","656","338","164","191","126","47","105","47105","875","820","1259","2006","1941","4215","5341","2596","809","1078","1300","502","317","2020"
"Macon County, Tennessee","164","204","297","247","332","344","636","500","655","448","1169","926","1120","1092","604","632","153","61","218","124","341","191","88","124","60","63","47","111","47111","368","544","676","1136","1103","2095","2212","1236","214","342","532","212","123","2020"
"Marshall County, Tennessee","237","294","196","133","490","329","942","782","1006","826","1685","1586","1715","1469","781","620","186","298","516","286","253","242","167","135","47","71","47","117","47117","531","329","819","1724","1832","3271","3184","1401","484","802","495","302","118","2020"
