"Name","Male_in_Labor_Force_16_T_19","Female_in_Labor_Force_16_T_19","Male_in_Labor_Force_20_T_21","Female_in_Labor_Force_20_T_21","Male_in_Labor_Force_22_T_24","Female_in_Labor_Force_22_T_24","Male_in_Labor_Force_25_T_29","Female_in_Labor_Force_25_T_29","Male_in_Labor_Force_30_T_34","Female_in_Labor_Force_30_T_34","Male_in_Labor_Force_35_T_44","Female_in_Labor_Force_35_T_44","Male_in_Labor_Force_45_T_54","Female_in_Labor_Force_45_T_54","Male_in_Labor_Force_55_T_59","Female_in_Labor_Force_55_T_59","Male_in_Labor_Force_60_T_61","Female_in_Labor_Force_60_T_61","Male_in_Labor_Force_62_T_64","Female_in_Labor_Force_62_T_64","Male_in_Labor_Force_65_T_69","Female_in_Labor_Force_65_T_69","Male_in_Labor_Force_70_T_74","Female_in_Labor_Force_70_T_74","Male_in_Labor_Force_75_or_more","Female_in_Labor_Force_75_or_more","STATEFP","COUNTYFP","STATE_FIPS","In_Labor_Force_16_T_19","In_Labor_Force_20_T_21","In_Labor_Force_22_T_24","In_Labor_Force_25_T_29","In_Labor_Force_30_T_34","In_Labor_Force_35_T_44","In_Labor_Force_45_T_54","In_Labor_Force_55_T_59","In_Labor_Force_60_T_61","In_Labor_Force_62_T_64","In_Labor_Force_65_T_69","In_Labor_Force_70_T_74","In_Labor_Force_75_or_more","Year"
"Meigs County, Tennessee","158","95","100","45","158","121","317","182","283","173","576","519","710","523","313","235","71","92","134","42","101","83","54","26","17","34","47","121","47121","253","145","279","499","456","1095","1233","548","163","176","184","80","51","2020"
"Montgomery County, Tennessee","2204","2319","2556","2981","5376","3176","9851","7394","8327","6260","11655","9768","8629","8813","3385","3247","1249","1153","1408","915","1203","914","239","232","339","129","47","125","47125","4523","5537","8552","17245","14587","21423","17442","6632","2402","2323","2117","471","468","2020"
"Moore County, Tennessee","22","75","73","33","108","34","134","126","111","126","352","266","360","279","174","162","54","32","78","104","95","58","31","9","25","10","47","127","47127","97","106","142","260","237","618","639","336","86","182","153","40","35","2020"
"Obion County, Tennessee","246","264","207","255","306","378","776","599","600","651","1559","1516","1536","1161","745","713","226","185","199","264","324","393","184","100","48","48","47","131","47131","510","462","684","1375","1251","3075","2697","1458","411","463","717","284","96","2020"
"Overton County, Tennessee","210","160","193","271","359","279","615","496","354","416","1140","1105","1197","1148","413","424","112","121","281","86","285","98","23","43","36","33","47","133","47133","370","464","638","1111","770","2245","2345","837","233","367","383","66","69","2020"
"Pickett County, Tennessee","20","53","48","7","28","6","106","147","81","103","218","136","301","187","135","55","2","13","39","79","39","61","68","16","14","2","47","137","47137","73","55","34","253","184","354","488","190","15","118","100","84","16","2020"
"Polk County, Tennessee","153","103","231","67","166","332","478","339","365","309","752","681","1125","978","594","407","84","13","133","264","107","41","57","5","14","45","47","139","47139","256","298","498","817","674","1433","2103","1001","97","397","148","62","59","2020"
"Rhea County, Tennessee","489","464","192","238","664","258","954","620","695","735","1524","1356","1557","1372","610","530","322","144","437","226","301","149","107","125","133","84","47","143","47143","953","430","922","1574","1430","2880","2929","1140","466","663","450","232","217","2020"
"Roane County, Tennessee","682","460","591","308","626","654","1258","1188","1008","991","2046","1922","3285","2551","1326","1050","353","571","828","666","556","410","254","476","250","130","47","145","47145","1142","899","1280","2446","1999","3968","5836","2376","924","1494","966","730","380","2020"
"Rutherford County, Tennessee","3868","4576","5623","5113","7233","7494","11688","10151","10059","9560","20777","18173","19033","16813","7754","6713","2601","2012","2183","2044","2754","1684","890","582","435","577","47","149","47149","8444","10736","14727","21839","19619","38950","35846","14467","4613","4227","4438","1472","1012","2020"
"Scott County, Tennessee","225","318","180","261","286","264","581","329","574","509","1007","930","983","877","338","504","41","31","193","153","117","125","9","53","24","23","47","151","47151","543","441","550","910","1083","1937","1860","842","72","346","242","62","47","2020"
"Sequatchie County, Tennessee","227","182","112","71","135","181","385","330","462","368","641","461","772","587","253","253","156","88","131","117","168","130","92","7","103","27","47","153","47153","409","183","316","715","830","1102","1359","506","244","248","298","99","130","2020"
"Shelby County, Tennessee","7787","8933","8435","8557","14731","15251","30003","29830","26572","27146","47511","47767","46214","47077","20545","20531","6124","8908","9404","8832","8196","7891","3885","3207","2606","1945","47","157","47157","16720","16992","29982","59833","53718","95278","93291","41076","15032","18236","16087","7092","4551","2020"
"Smith County, Tennessee","192","136","152","100","244","319","616","420","563","477","809","966","1124","1038","596","459","164","173","146","162","136","116","164","62","24","18","47","159","47159","328","252","563","1036","1040","1775","2162","1055","337","308","252","226","42","2020"
"Sullivan County, Tennessee","1680","1489","1269","1320","2264","1695","4186","3783","3501","3434","7216","6132","8731","8034","3699","3860","1467","1025","1352","1293","1279","1271","736","528","435","341","47","163","47163","3169","2589","3959","7969","6935","13348","16765","7559","2492","2645","2550","1264","776","2020"
"Sumner County, Tennessee","2191","2330","1544","1584","2697","2479","5161","4567","4823","4925","10935","9854","11636","10308","4620","4657","2034","1599","2208","1912","2110","1991","589","468","673","356","47","165","47165","4521","3128","5176","9728","9748","20789","21944","9277","3633","4120","4101","1057","1029","2020"
"Trousdale County, Tennessee","224","97","171","13","85","87","516","205","565","397","419","417","364","437","269","256","30","53","4","51","36","175","50","45","11","0","47","169","47169","321","184","172","721","962","836","801","525","83","55","211","95","11","2020"
"Unicoi County, Tennessee","173","158","351","125","184","198","477","310","247","271","994","777","942","769","266","361","374","100","175","180","295","103","111","61","72","38","47","171","47171","331","476","382","787","518","1771","1711","627","474","355","398","172","110","2020"
"Van Buren County, Tennessee","34","100","106","18","29","65","117","82","124","73","227","277","279","323","125","111","62","80","56","37","62","37","10","42","36","21","47","175","47175","134","124","94","199","197","504","602","236","142","93","99","52","57","2020"
"Warren County, Tennessee","553","484","356","231","485","540","1140","857","879","781","2184","1872","2225","1745","945","925","229","320","481","238","287","229","283","102","110","57","47","177","47177","1037","587","1025","1997","1660","4056","3970","1870","549","719","516","385","167","2020"
"Wayne County, Tennessee","155","76","64","82","335","115","481","304","404","287","697","588","726","705","200","382","145","177","215","138","35","103","36","76","32","14","47","181","47181","231","146","450","785","691","1285","1431","582","322","353","138","112","46","2020"
"Weakley County, Tennessee","484","343","527","525","654","651","981","737","689","666","1381","1224","1413","1373","647","645","237","278","353","259","281","278","148","91","105","57","47","183","47183","827","1052","1305","1718","1355","2605","2786","1292","515","612","559","239","162","2020"
"Williamson County, Tennessee","3416","2823","1850","1566","3162","2919","4787","4254","5114","4710","15867","12476","16067","13510","6913","5634","2725","1861","2687","1844","2280","1594","1189","675","707","355","47","187","47187","6239","3416","6081","9041","9824","28343","29577","12547","4586","4531","3874","1864","1062","2020"
"Wilson County, Tennessee","1993","1270","1130","755","1792","2098","3672","3248","3766","3627","8786","7941","8454","7720","3889","3333","1195","1322","1250","1232","1749","1345","537","437","225","173","47","189","47189","3263","1885","3890","6920","7393","16727","16174","7222","2517","2482","3094","974","398","2020"
"Bedford County, Tennessee","382","455","782","305","608","723","1460","1267","1534","1064","2515","2418","2636","2273","771","868","742","298","513","599","266","302","255","266","182","102","47","003","47003","837","1087","1331","2727","2598","4933","4909","1639","1040","1112","568","521","284","2020"
"Blount County, Tennessee","1391","1431","1302","1257","1889","1553","3360","3020","3374","2962","6391","6088","7596","6960","3586","3647","1308","998","1466","1338","1209","1086","504","655","365","341","47","009","47009","2822","2559","3442","6380","6336","12479","14556","7233","2306","2804","2295","1159","706","2020"
"Cannon County, Tennessee","117","63","135","76","155","219","443","362","374","381","581","541","908","758","367","227","34","152","134","78","150","111","71","62","2","24","47","015","47015","180","211","374","805","755","1122","1666","594","186","212","261","133","26","2020"
"Cheatham County, Tennessee","460","456","245","426","705","392","1105","907","1155","1035","2319","2203","2565","2194","1206","1014","479","395","362","299","431","360","95","116","128","6","47","021","47021","916","671","1097","2012","2190","4522","4759","2220","874","661","791","211","134","2020"
"Clay County, Tennessee","37","88","103","32","82","40","133","160","166","129","236","301","422","269","157","136","6","34","45","48","62","59","44","44","12","24","47","027","47027","125","135","122","293","295","537","691","293","40","93","121","88","36","2020"
"Crockett County, Tennessee","201","152","55","64","139","197","385","353","389","329","697","724","625","687","312","368","146","114","93","65","143","124","62","39","12","26","47","033","47033","353","119","336","738","718","1421","1312","680","260","158","267","101","38","2020"
"Decatur County, Tennessee","86","59","95","27","178","107","295","210","243","140","483","560","656","438","206","262","49","114","132","51","135","70","66","64","25","15","47","039","47039","145","122","285","505","383","1043","1094","468","163","183","205","130","40","2020"
"Jackson County, Tennessee","152","66","158","134","113","85","326","202","181","206","466","455","542","526","397","238","60","165","83","89","102","21","41","55","23","158","47","087","47087","218","292","198","528","387","921","1068","635","225","172","123","96","181","2020"
"Knox County, Tennessee","4702","5205","7035","5457","8857","9737","14484","13534","13569","12423","26110","22839","25100","22771","11479","11287","4190","3377","4384","3839","4522","3457","2067","1864","1145","946","47","093","47093","9907","12492","18594","28018","25992","48949","47871","22766","7567","8223","7979","3931","2091","2020"
"Lawrence County, Tennessee","524","453","344","180","638","464","1007","1156","1056","864","2045","1737","2196","1943","980","716","345","188","278","285","371","289","112","146","83","89","47","099","47099","977","524","1102","2163","1920","3782","4139","1696","533","563","660","258","172","2020"
"Loudon County, Tennessee","465","459","382","504","627","686","1197","872","1095","1001","2196","2145","2873","2584","1266","1498","608","302","669","409","644","672","338","178","191","126","47","105","47105","924","886","1313","2069","2096","4341","5457","2764","910","1078","1316","516","317","2020"
