"Name","Male_Not_in_Labor_Force_16_T_19","Female_Not_in_Labor_Force_16_T_19","Male_Not_in_Labor_Force_20_T_21","Female_Not_in_Labor_Force_20_T_21","Male_Not_in_Labor_Force_22_T_24","Female_Not_in_Labor_Force_22_T_24","Male_Not_in_Labor_Force_25_T_29","Female_Not_in_Labor_Force_25_T_29","Male_Not_in_Labor_Force_30_T_34","Female_Not_in_Labor_Force_30_T_34","Male_Not_in_Labor_Force_35_T_44","Female_Not_in_Labor_Force_35_T_44","Male_Not_in_Labor_Force_45_T_54","Female_Not_in_Labor_Force_45_T_54","Male_Not_in_Labor_Force_55_T_59","Female_Not_in_Labor_Force_55_T_59","Male_Not_in_Labor_Force_60_T_61","Female_Not_in_Labor_Force_60_T_61","Male_Not_in_Labor_Force_62_T_64","Female_Not_in_Labor_Force_62_T_64","Male_Not_in_Labor_Force_65_T_69","Female_Not_in_Labor_Force_65_T_69","Male_Not_in_Labor_Force_70_T_74","Female_Not_in_Labor_Force_70_T_74","Male_Not_in_Labor_Force_75_or_more","Female_Not_in_Labor_Force_75_or_more","STATEFP","COUNTYFP","STATE_FIPS","Not_in_Labor_Force_16_T_19","Not_in_Labor_Force_20_T_21","Not_in_Labor_Force_22_T_24","Not_in_Labor_Force_25_T_29","Not_in_Labor_Force_30_T_34","Not_in_Labor_Force_35_T_44","Not_in_Labor_Force_45_T_54","Not_in_Labor_Force_55_T_59","Not_in_Labor_Force_60_T_61","Not_in_Labor_Force_62_T_64","Not_in_Labor_Force_65_T_69","Not_in_Labor_Force_70_T_74","Not_in_Labor_Force_75_or_more","Year"
"Meigs County, Tennessee","83","181","21","9","15","114","30","135","68","106","114","201","139","394","189","201","78","213","89","178","362","396","338","338","417","465","47","121","47121","264","30","129","165","174","315","533","390","291","267","758","676","882","2020"
"Montgomery County, Tennessee","3008","3032","780","898","551","1157","1134","2681","847","2493","2105","3960","2136","2727","1238","2065","867","1384","970","1640","2393","2827","1691","2424","2575","4099","47","125","47125","6040","1678","1708","3815","3340","6065","4863","3303","2251","2610","5220","4115","6674","2020"
"Moore County, Tennessee","83","87","2","90","19","22","12","49","47","34","49","89","109","122","25","84","6","39","127","174","128","147","99","182","241","324","47","127","47127","170","92","41","61","81","138","231","109","45","301","275","281","565","2020"
"Obion County, Tennessee","505","434","99","91","112","160","145","323","112","177","307","374","353","749","376","537","211","156","312","343","546","617","555","778","1076","1513","47","131","47131","939","190","272","468","289","681","1102","913","367","655","1163","1333","2589","2020"
"Overton County, Tennessee","301","321","34","32","43","29","115","145","152","183","150","181","229","391","226","339","159","237","295","439","557","571","420","694","749","1022","47","133","47133","622","66","72","260","335","331","620","565","396","734","1128","1114","1771","2020"
"Pickett County, Tennessee","77","7","16","22","6","22","8","0","28","0","59","116","36","150","56","145","64","59","86","60","77","163","220","162","251","312","47","137","47137","84","38","28","8","28","175","186","201","123","146","240","382","563","2020"
"Polk County, Tennessee","259","158","20","34","20","7","32","79","67","122","158","275","276","264","236","355","39","150","140","182","449","412","379","597","686","744","47","139","47139","417","54","27","111","189","433","540","591","189","322","861","976","1430","2020"
"Rhea County, Tennessee","422","411","50","250","163","356","133","313","246","270","273","486","591","839","425","515","142","130","318","692","700","804","599","793","909","1306","47","143","47143","833","300","519","446","516","759","1430","940","272","1010","1504","1392","2215","2020"
"Roane County, Tennessee","736","817","69","185","71","214","183","290","383","345","649","883","388","1269","670","913","502","494","522","772","1225","1410","1348","1285","1909","2853","47","145","47145","1553","254","285","473","728","1532","1657","1583","996","1294","2635","2633","4762","2020"
"Rutherford County, Tennessee","5577","4683","1084","1041","1006","1350","1126","2263","1198","2025","1525","5245","1579","4571","1792","3096","1064","1680","1410","2449","3301","4880","2794","4485","4796","6885","47","149","47149","10260","2125","2356","3389","3223","6770","6150","4888","2744","3859","8181","7279","11681","2020"
"Scott County, Tennessee","418","237","13","29","67","47","133","381","34","97","456","496","457","562","387","314","184","149","272","420","456","479","493","495","590","841","47","151","47151","655","42","114","514","131","952","1019","701","333","692","935","988","1431","2020"
"Sequatchie County, Tennessee","263","148","23","28","97","74","101","90","173","47","192","375","192","417","238","399","66","125","273","160","418","396","217","422","430","681","47","153","47153","411","51","171","191","220","567","609","637","191","433","814","639","1111","2020"
"Shelby County, Tennessee","16883","15576","3829","4002","4305","4541","5768","8258","4725","6807","7760","13867","8331","14732","6101","10691","3470","4742","7591","9358","12095","17403","10601","15091","15359","28672","47","157","47157","32459","7831","8846","14026","11532","21627","23063","16792","8212","16949","29498","25692","44031","2020"
"Smith County, Tennessee","339","319","71","65","92","81","25","158","66","102","278","200","329","449","322","229","63","187","236","239","325","554","352","338","508","704","47","159","47159","658","136","173","183","168","478","778","551","250","475","879","690","1212","2020"
"Sullivan County, Tennessee","1880","1852","659","491","452","665","629","881","641","961","1481","2886","2233","3297","1465","2452","709","1152","2122","2098","3779","3999","3250","4570","5801","8511","47","163","47163","3732","1150","1117","1510","1602","4367","5530","3917","1861","4220","7778","7820","14312","2020"
"Sumner County, Tennessee","2525","2259","416","259","545","652","729","1378","816","1333","1241","2873","1162","2891","1276","2143","639","874","1113","1578","2947","3740","2804","3414","4158","6639","47","165","47165","4784","675","1197","2107","2149","4114","4053","3419","1513","2691","6687","6218","10797","2020"
"Trousdale County, Tennessee","264","38","135","18","196","0","410","168","272","28","429","74","288","161","143","23","59","102","115","82","220","137","115","137","191","337","47","169","47169","302","153","196","578","300","503","449","166","161","197","357","252","528","2020"
"Unicoi County, Tennessee","276","155","7","111","5","44","160","173","32","155","284","191","310","443","255","388","33","140","212","256","452","402","283","696","726","992","47","171","47171","431","118","49","333","187","475","753","643","173","468","854","979","1718","2020"
