"Name","Total_Population","Male_Population","Female_Population","White_Population","Black_or_African_American_Population","American_Indian_or_Alaskan_Native","Asian","Native_Hawaiian_or_Pacific_Islander","Some_other_Race","Two_or_more_Races","White_Not_Hispanic_or_Latino","Hispanic_or_Latino","Entered_2010_or_later","Entered_2000_T_2009","Entered_1990_T_1999","Entered_before_1990","STATEFP","COUNTYFP","STATE_FIPS","Born_in_US","Year"
"Meigs County, Tennessee","12237","6039","6198","11636","232","45","33","0","50","241","11381","272","21","95","34","115","47","121","47121","11972","2020"
"Montgomery County, Tennessee","204992","102205","102787","141679","40546","947","4878","663","3826","12453","128270","21063","3947","5112","3751","5599","47","125","47125","186583","2020"
"Moore County, Tennessee","6396","3171","3225","5926","119","72","213","1","1","64","5926","1","60","1","23","159","47","127","47127","6153","2020"
"Obion County, Tennessee","30343","14653","15690","25345","3421","72","131","5","448","921","24691","1415","117","150","152","172","47","131","47131","29752","2020"
"Overton County, Tennessee","22171","10882","11289","21482","97","24","70","139","8","351","21266","347","58","0","35","91","47","133","47133","21987","2020"
"Pickett County, Tennessee","5068","2498","2570","4969","11","0","0","0","0","88","4882","161","0","10","71","55","47","137","47137","4932","2020"
"Polk County, Tennessee","16807","8404","8403","15877","144","37","27","0","77","645","15592","362","27","104","55","249","47","139","47139","16372","2020"
"Rhea County, Tennessee","32964","16292","16672","30584","579","31","172","0","559","1039","29564","1682","176","339","196","277","47","143","47143","31976","2020"
"Roane County, Tennessee","53331","26111","27220","49925","1275","226","412","18","237","1238","49376","1043","137","458","246","464","47","145","47145","52026","2020"
"Rutherford County, Tennessee","324139","159299","164840","243607","49005","844","11318","37","5443","13885","225604","26978","8190","9108","5158","6762","47","149","47149","294921","2020"
"Scott County, Tennessee","22020","10914","11106","21527","127","122","3","0","15","226","21366","218","14","32","13","94","47","151","47151","21867","2020"
"Sequatchie County, Tennessee","14936","7621","7315","14438","64","26","0","0","51","357","13905","536","233","136","10","101","47","153","47153","14456","2020"
"Shelby County, Tennessee","936611","444572","492039","357239","504387","1728","25385","339","26189","21344","329976","60266","18849","22416","13491","12548","47","157","47157","869307","2020"
"Smith County, Tennessee","19926","10027","9899","18407","551","93","89","0","249","537","18258","572","144","127","134","132","47","159","47159","19389","2020"
"Sullivan County, Tennessee","157707","76697","81010","148420","2922","400","1042","107","1092","3724","146987","3137","873","667","548","1382","47","163","47163","154237","2020"
"Sumner County, Tennessee","187680","91606","96074","160257","14794","409","2784","156","2679","6601","155517","9623","2396","2958","1939","2495","47","165","47165","177892","2020"
"Trousdale County, Tennessee","10910","6668","4242","9045","1129","66","31","0","45","594","9007","108","13","38","24","66","47","169","47169","10769","2020"
"Unicoi County, Tennessee","17821","8980","8841","17053","48","52","75","0","280","313","16463","946","146","298","65","236","47","171","47171","17076","2020"
"Van Buren County, Tennessee","5813","2883","2930","5603","10","0","0","0","32","168","5557","78","0","54","0","26","47","175","47175","5733","2020"
"Warren County, Tennessee","40971","20463","20508","36702","1078","98","309","127","1270","1387","34744","3770","621","1018","421","620","47","177","47177","38291","2020"
"Wayne County, Tennessee","16638","9140","7498","15123","990","16","63","24","92","330","14898","360","66","30","41","71","47","181","47181","16430","2020"
"Weakley County, Tennessee","33377","16394","16983","29458","2851","110","91","23","286","558","28884","916","318","76","110","281","47","183","47183","32592","2020"
"Williamson County, Tennessee","232380","113906","118474","202325","9507","897","10867","49","1779","6956","194587","11302","6537","4823","3750","4138","47","187","47187","213132","2020"
"Wilson County, Tennessee","140604","68930","71674","121579","9674","395","2625","22","2398","3911","117685","6288","2688","2623","1065","2010","47","189","47189","132218","2020"
"Bedford County, Tennessee","48937","24097","24840","41749","3529","223","96","20","1557","1763","37405","6238","800","983","1107","481","47","003","47003","45566","2020"
"Blount County, Tennessee","131641","63833","67808","122604","3488","190","994","110","411","3844","119217","4602","1512","1146","692","1300","47","009","47009","126991","2020"
"Cannon County, Tennessee","14374","7113","7261","13781","284","20","4","2","45","238","13490","336","20","120","60","85","47","015","47015","14089","2020"
"Cheatham County, Tennessee","40539","20221","20318","37863","575","216","210","21","476","1178","37206","1353","298","391","306","371","47","021","47021","39173","2020"
"Clay County, Tennessee","7640","3703","3937","7227","250","0","34","0","95","34","7218","122","46","52","9","79","47","027","47027","7454","2020"
"Crockett County, Tennessee","14310","6882","7428","11087","1871","25","48","10","722","547","10500","1542","66","260","208","167","47","033","47033","13609","2020"
"Decatur County, Tennessee","11663","5746","5917","10846","411","53","0","0","133","220","10705","383","0","18","0","59","47","039","47039","11586","2020"
"Jackson County, Tennessee","11767","5890","5877","11192","41","31","8","0","202","293","11136","254","29","60","29","47","47","087","47087","11602","2020"
"Knox County, Tennessee","466184","226679","239505","395210","40154","1197","10521","133","5356","13613","381864","20555","9714","8647","4364","6055","47","093","47093","437404","2020"
"Lawrence County, Tennessee","43780","21478","22302","41544","757","121","180","56","259","863","40756","1036","147","194","188","152","47","099","47099","43099","2020"
"Loudon County, Tennessee","53169","26102","27067","48813","591","117","407","0","1385","1856","46234","4832","901","1239","782","1481","47","105","47105","48766","2020"
"Macon County, Tennessee","24208","11894","12314","22892","240","41","168","0","266","601","22120","1248","182","225","99","173","47","111","47111","23529","2020"
