"Name","Male_Unemployed_16_T_19","Female_Unemployed_16_T_19","Male_Unemployed_20_T_21","Female_Unemployed_20_T_21","Male_Unemployed_22_T_24","Female_Unemployed_22_T_24","Male_Unemployed_25_T_29","Female_Unemployed_25_T_29","Male_Unemployed_30_T_34","Female_Unemployed_30_T_34","Male_Unemployed_35_T_44","Female_Unemployed_35_T_44","Male_Unemployed_45_T_54","Female_Unemployed_45_T_54","Male_Unemployed_55_T_59","Female_Unemployed_55_T_59","Male_Unemployed_60_T_61","Female_Unemployed_60_T_61","Male_Unemployed_62_T_64","Female_Unemployed_62_T_64","Male_Unemployed_65_T_69","Female_Unemployed_65_T_69","Male_Unemployed_70_T_74","Female_Unemployed_70_T_74","Male_Unemployed_75_or_more","Female_Unemployed_75_or_more","STATEFP","COUNTYFP","STATE_FIPS","Unemployed_16_T_19","Unemployed_20_T_21","Unemployed_22_T_24","Unemployed_25_T_29","Unemployed_30_T_34","Unemployed_35_T_44","Unemployed_45_T_54","Unemployed_55_T_59","Unemployed_60_T_61","Unemployed_62_T_64","Unemployed_65_T_69","Unemployed_70_T_74","Unemployed_75_or_more","Year"
"Meigs County, Tennessee","14","20","0","0","0","92","15","7","0","0","37","10","99","70","2","0","0","0","31","0","52","3","8","0","0","0","47","121","47121","34","0","92","22","0","47","169","2","0","31","55","8","0","2020"
"Montgomery County, Tennessee","278","362","114","429","197","251","418","762","391","272","559","562","188","243","61","131","40","14","19","21","16","24","0","29","33","28","47","125","47125","640","543","448","1180","663","1121","431","192","54","40","40","29","61","2020"
"Moore County, Tennessee","0","11","26","0","0","0","13","0","2","10","9","0","0","9","9","6","0","0","9","0","0","0","0","9","0","0","47","127","47127","11","26","0","13","12","9","9","15","0","9","0","9","0","2020"
"Obion County, Tennessee","22","67","23","41","97","41","47","68","49","32","44","94","75","62","6","0","17","1","0","0","0","41","0","0","0","0","47","131","47131","89","64","138","115","81","138","137","6","18","0","41","0","0","2020"
"Overton County, Tennessee","4","9","0","62","0","16","12","9","56","16","16","5","55","15","0","0","0","0","0","0","77","0","0","0","0","0","47","133","47133","13","62","16","21","72","21","70","0","0","0","77","0","0","2020"
"Pickett County, Tennessee","0","0","0","0","5","3","3","63","0","0","0","0","0","2","0","0","0","0","0","0","18","0","0","0","0","0","47","137","47137","0","0","8","66","0","0","2","0","0","0","18","0","0","2020"
"Polk County, Tennessee","6","16","29","21","30","108","18","39","47","21","51","41","9","8","29","0","15","4","0","0","0","0","0","0","0","0","47","139","47139","22","50","138","57","68","92","17","29","19","0","0","0","0","2020"
"Rhea County, Tennessee","186","40","4","39","101","0","115","20","49","96","100","187","114","57","0","0","91","21","15","0","8","0","0","5","0","7","47","143","47143","226","43","101","135","145","287","171","0","112","15","8","5","7","2020"
"Roane County, Tennessee","130","81","221","0","91","12","59","219","39","0","128","59","192","88","47","33","17","9","37","9","0","0","0","0","0","0","47","145","47145","211","221","103","278","39","187","280","80","26","46","0","0","0","2020"
"Rutherford County, Tennessee","685","518","488","311","455","412","1275","303","191","238","546","617","287","480","85","258","57","0","77","135","96","14","27","0","13","0","47","149","47149","1203","799","867","1578","429","1163","767","343","57","212","110","27","13","2020"
"Scott County, Tennessee","22","37","5","70","0","25","124","19","0","4","191","73","85","48","0","14","0","0","0","15","0","0","0","0","0","0","47","151","47151","59","75","25","143","4","264","133","14","0","15","0","0","0","2020"
"Sequatchie County, Tennessee","0","34","42","16","14","14","16","5","87","0","26","6","6","0","18","10","0","0","0","0","0","0","0","0","0","8","47","153","47153","34","58","28","21","87","32","6","28","0","0","0","0","8","2020"
"Shelby County, Tennessee","1515","2128","1472","1370","1722","2093","2704","2624","1601","2444","2614","2949","2585","1694","1033","889","256","354","322","573","472","405","132","134","123","106","47","157","47157","3643","2842","3815","5328","4045","5563","4279","1922","610","895","877","266","229","2020"
"Smith County, Tennessee","7","28","15","11","0","0","0","27","54","38","26","26","15","9","6","70","0","0","0","10","4","0","0","0","0","0","47","159","47159","35","26","0","27","92","52","24","76","0","10","4","0","0","2020"
"Sullivan County, Tennessee","446","281","245","297","215","114","381","395","89","379","332","280","407","225","151","264","28","8","51","19","31","8","25","11","0","0","47","163","47163","727","542","329","776","468","612","632","415","36","70","39","36","0","2020"
"Sumner County, Tennessee","165","179","35","42","221","154","142","122","189","223","208","328","155","305","368","61","23","22","155","77","87","63","11","4","0","0","47","165","47165","344","77","375","264","412","536","460","429","45","232","150","15","0","2020"
"Trousdale County, Tennessee","0","0","0","0","55","0","69","0","0","0","10","10","8","48","0","0","0","30","0","0","0","0","0","0","0","0","47","169","47169","0","0","55","69","0","20","56","0","30","0","0","0","0","2020"
"Unicoi County, Tennessee","0","25","81","0","69","20","0","37","0","0","102","56","23","57","0","14","0","0","0","10","0","0","0","0","0","0","47","171","47171","25","81","89","37","0","158","80","14","0","10","0","0","0","2020"
"Van Buren County, Tennessee","12","31","0","18","0","0","34","0","3","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47","175","47175","43","18","0","34","3","29","0","0","0","0","0","0","0","2020"
"Warren County, Tennessee","74","33","22","59","34","10","18","71","35","0","71","125","28","73","0","23","0","0","0","0","0","8","0","16","5","0","47","177","47177","107","81","44","89","35","196","101","23","0","0","8","16","5","2020"
"Wayne County, Tennessee","9","19","12","40","3","15","19","13","13","3","81","98","0","25","0","0","0","0","1","0","6","37","0","0","0","0","47","181","47181","28","52","18","32","16","179","25","0","0","1","43","0","0","2020"
"Weakley County, Tennessee","87","71","56","14","71","52","40","57","9","10","20","38","36","106","13","0","0","0","7","3","0","0","5","7","0","0","47","183","47183","158","70","123","97","19","58","142","13","0","10","0","12","0","2020"
"Williamson County, Tennessee","254","147","80","0","231","103","323","190","86","85","146","233","247","410","192","55","38","48","34","24","16","0","12","19","4","0","47","187","47187","401","80","334","513","171","379","657","247","86","58","16","31","4","2020"
"Wilson County, Tennessee","152","196","136","72","105","228","224","86","161","134","273","215","33","353","42","28","13","16","0","0","37","23","0","33","0","0","47","189","47189","348","208","333","310","295","488","386","70","29","0","60","33","0","2020"
"Bedford County, Tennessee","127","98","37","43","0","50","49","151","16","23","36","97","65","80","28","22","0","29","15","0","74","0","0","0","0","0","47","003","47003","225","80","50","200","39","133","145","50","29","15","74","0","0","2020"
"Blount County, Tennessee","191","123","374","224","96","104","101","132","137","120","214","419","135","263","135","123","60","16","20","34","3","15","14","31","0","1","47","009","47009","314","598","200","233","257","633","398","258","76","54","18","45","1","2020"
"Cannon County, Tennessee","5","8","15","0","0","14","37","58","11","22","17","0","0","2","0","0","0","0","7","0","0","0","0","0","0","0","47","015","47015","13","15","14","95","33","17","2","0","0","7","0","0","0","2020"
"Cheatham County, Tennessee","120","40","0","45","35","39","45","68","59","19","13","80","110","101","21","5","17","11","15","6","6","40","12","0","0","0","47","021","47021","160","45","74","113","78","93","211","26","28","21","46","12","0","2020"
"Clay County, Tennessee","0","0","9","0","18","0","0","14","0","0","18","0","31","31","0","0","0","0","0","0","0","30","0","0","0","0","47","027","47027","0","9","18","14","0","18","62","0","0","0","30","0","0","2020"
"Crockett County, Tennessee","38","56","4","0","43","13","22","13","12","20","1","36","6","2","3","6","0","0","0","0","0","0","0","0","0","0","47","033","47033","94","4","56","35","32","37","8","9","0","0","0","0","0","2020"
"Decatur County, Tennessee","52","18","17","0","74","42","29","17","0","5","17","24","20","22","15","0","0","0","6","0","5","0","0","16","0","0","47","039","47039","70","17","116","46","5","41","42","15","0","6","5","16","0","2020"
"Jackson County, Tennessee","41","0","43","40","65","0","41","12","10","3","17","0","17","83","0","6","0","0","5","0","0","0","0","0","0","0","47","087","47087","41","83","65","53","13","17","100","6","0","5","0","0","0","2020"
"Knox County, Tennessee","648","627","636","473","499","471","483","655","426","499","929","1093","826","827","365","291","59","51","59","77","38","69","62","143","0","15","47","093","47093","1275","1109","970","1138","925","2022","1653","656","110","136","107","205","15","2020"
"Lawrence County, Tennessee","97","117","25","30","80","20","52","80","230","79","109","220","58","149","15","82","3","0","51","20","0","0","0","0","0","0","47","099","47099","214","55","100","132","309","329","207","97","3","71","0","0","0","2020"
"Loudon County, Tennessee","21","28","18","48","7","47","60","3","29","122","31","95","48","68","82","86","0","38","0","0","0","16","0","14","0","0","47","105","47105","49","66","54","63","151","126","116","168","38","0","16","14","0","2020"
"Macon County, Tennessee","70","2","0","0","7","32","42","136","9","14","32","67","0","46","0","31","4","0","0","0","0","0","0","0","0","0","47","111","47111","72","0","39","178","23","99","46","31","4","0","0","0","0","2020"
"Marshall County, Tennessee","98","104","21","45","12","64","20","20","56","82","71","170","45","121","0","27","0","17","9","19","11","0","20","0","0","7","47","117","47117","202","66","76","40","138","241","166","27","17","28","11","20","7","2020"
"Monroe County, Tennessee","179","133","93","37","8","0","159","123","32","59","134","75","35","69","60","91","0","15","0","0","11","23","0","0","0","0","47","123","47123","312","130","8","282","91","209","104","151","15","0","34","0","0","2020"
"Morgan County, Tennessee","39","51","9","11","13","23","15","50","49","31","103","70","0","25","0","9","2","0","0","0","101","0","0","0","0","0","47","129","47129","90","20","36","65","80","173","25","9","2","0","101","0","0","2020"
"Perry County, Tennessee","6","0","0","0","0","0","0","74","58","0","43","50","23","0","4","3","13","0","0","0","2","0","0","0","0","0","47","135","47135","6","0","0","74","58","93","23","7","13","0","2","0","0","2020"
"Putnam County, Tennessee","437","283","203","124","234","34","79","100","89","72","111","65","38","97","100","29","14","0","0","0","44","15","0","9","38","9","47","141","47141","720","327","268","179","161","176","135","129","14","0","59","9","47","2020"
"Robertson County, Tennessee","175","68","24","2","53","27","161","190","156","134","134","112","96","92","53","121","11","25","17","8","11","18","3","0","1","16","47","147","47147","243","26","80","351","290","246","188","174","36","25","29","3","17","2020"
"Sevier County, Tennessee","37","204","3","71","147","39","117","234","181","48","325","305","98","125","121","90","14","11","43","16","32","0","39","52","17","0","47","155","47155","241","74","186","351","229","630","223","211","25","59","32","91","17","2020"
"Stewart County, Tennessee","2","17","0","52","46","0","68","15","75","11","44","2","21","0","0","0","0","0","0","0","0","0","9","0","0","0","47","161","47161","19","52","46","83","86","46","21","0","0","0","0","9","0","2020"
"Tipton County, Tennessee","170","98","85","11","119","38","127","112","118","80","58","133","105","68","101","17","53","0","6","0","7","12","7","0","0","0","47","167","47167","268","96","157","239","198","191","173","118","53","6","19","7","0","2020"
"Union County, Tennessee","0","12","8","11","44","16","52","45","10","42","63","92","35","34","0","0","0","5","0","10","12","14","0","0","9","45","47","173","47173","12","19","60","97","52","155","69","0","5","10","26","0","54","2020"
"Washington County, Tennessee","182","273","204","56","185","189","324","25","104","259","136","107","213","234","196","185","53","0","25","0","16","34","0","0","0","53","47","179","47179","455","260","374","349","363","243","447","381","53","25","50","0","53","2020"
"White County, Tennessee","34","44","13","0","72","34","0","0","19","37","13","181","10","62","0","24","0","0","7","0","0","0","2","0","8","0","47","185","47185","78","13","106","0","56","194","72","24","0","7","0","2","8","2020"
"Anderson County, Tennessee","141","55","108","49","208","81","136","237","168","55","147","71","96","130","21","54","0","12","24","50","4","38","7","0","0","0","47","001","47001","196","157","289","373","223","218","226","75","12","74","42","7","0","2020"
"Benton County, Tennessee","20","4","11","74","0","0","21","34","50","9","10","14","62","44","25","37","0","9","0","4","0","5","7","0","0","0","47","005","47005","24","85","0","55","59","24","106","62","9","4","5","7","0","2020"
"Bledsoe County, Tennessee","14","16","0","0","56","25","163","0","53","39","9","31","13","0","17","0","10","0","0","0","11","0","0","0","0","26","47","007","47007","30","0","81","163","92","40","13","17","10","0","11","0","26","2020"
