"Name","Car_Truck_or_Van_Drove_Alone","Car_Truck_or_Van_Carpooled","Public_Transportation","Bicycle","Walked","Taxicab_Motorcycle_or_other_means","Worked_From_Home","Depart_12am_to_4_59am","Depart_5am_to_5_29am","Depart_5_30am_to_6am","Depart_6am_to_6_29am","Depart_6_30am_to_6_59am","Depart_7am_to_7_29am","Depart_7_30am_to_7_59am","Depart_8am_to_8_29am","Depart_8_30am_to_8_59am","Depart_9am_to_9_59am","Depart_10am_to_10_59am","Depart_11am_to_11_59am","Depart_12pm_to_3_59pm","Depart_4pm_to_11_59pm","No_Vehicles_Availible","Vehicle_Availible_1","Vehicles_Availible_2","Vehicles_Availible_3","Vehicles_Availible_4","Vehicles_Availible_5_or_More","Aggregate_Num_of_Vehicles_Used_in_Commuting","Travel_Time_to_Work_LT_5_Min","Travel_Time_to_Work_5_T_9_Min","Travel_Time_to_Work_10_T_14_Min","Travel_Time_to_Work_15_T_19_Min","Travel_Time_to_Work_20_T_24_Min","Travel_Time_to_Work_25_T_29_Min","Travel_Time_to_Work_30_T_34_Min","Travel_Time_to_Work_35_T_39_Min","Travel_Time_to_Work_40_T_44_Min","Travel_Time_to_Work_45_T_59_Min","Travel_Time_to_Work_60_T_89_Min","Travel_Time_to_Work_GE_90_Min","STATEFP","COUNTYFP","STATE_FIPS","Year"
"Meigs County, Tennessee","3723","539","16","12","10","62","169","440","306","338","501","255","522","393","292","168","171","159","17","209","591","105","550","1805","1137","671","263","3980","150","236","377","308","646","466","817","154","185","565","327","131","47","121","47121","2020"
"Montgomery County, Tennessee","82464","7772","673","17","891","1166","3526","6360","6883","9433","11285","10020","9690","7687","5254","3869","3887","2016","1250","7511","7838","1059","17505","39111","22495","10260","4299","85880","1954","6711","12282","17388","16058","6902","10540","2510","2665","6935","7080","1958","47","125","47125","2020"
"Moore County, Tennessee","2446","140","0","0","6","17","158","149","182","165","334","454","438","210","208","7","182","23","11","159","87","0","289","1149","892","256","177","2515","109","132","435","418","300","182","473","92","48","142","199","79","47","127","47127","2020"
"Obion County, Tennessee","10732","943","0","14","207","200","277","547","431","820","1238","1493","2065","1661","821","301","510","163","123","1190","733","213","2652","5033","3013","1160","299","11145","750","1784","2203","2368","1804","679","1090","249","134","518","322","195","47","131","47131","2020"
"Overton County, Tennessee","8084","737","6","0","81","83","390","913","317","338","889","1292","1925","1456","407","153","144","23","252","526","356","233","1522","3022","2295","1218","1089","8420","373","760","1294","1017","1160","499","1780","326","262","1016","256","248","47","133","47133","2020"
"Pickett County, Tennessee","1531","82","0","0","13","74","104","131","20","111","189","212","222","309","209","12","29","26","16","129","85","12","134","514","815","205","124","1570","53","146","135","205","280","61","324","29","83","170","196","18","47","137","47137","2020"
"Polk County, Tennessee","6115","768","0","0","45","32","224","656","214","499","948","750","1096","800","302","113","303","229","141","410","499","208","1048","2250","2238","1034","395","6470","245","309","738","724","787","706","1367","357","307","768","495","157","47","139","47139","2020"
"Rhea County, Tennessee","10489","1268","18","0","214","128","482","935","1135","928","1230","1014","1330","1495","617","219","381","220","269","1248","1096","544","2074","4714","2860","996","1259","11025","500","1728","2023","1682","1562","680","850","240","241","1276","1217","118","47","143","47143","2020"
"Roane County, Tennessee","19002","1963","0","6","95","121","1153","1359","1245","1337","1635","1875","2934","2800","2334","1077","677","101","386","1533","1894","393","2290","8146","6842","3489","1173","19905","464","1863","2327","2816","3094","1405","2731","1172","927","2912","1026","450","47","145","47145","2020"
"Rutherford County, Tennessee","138133","16208","369","361","1149","1369","11833","9426","8601","11970","18128","16694","21875","13150","10887","5251","7174","3405","2007","12995","16026","1511","25957","68701","42339","21173","8775","145455","2891","10427","18420","26029","23242","9250","19697","5757","7071","17978","12812","4015","47","149","47149","2020"
