"Name","Enrolled_in_School","Not_Enrolled_in_School","Below_Poverty_Status","Median_Income","Male_Employee_of_a_Private_Company","Female_Employee_of_a_Private_Company","Male_Self_employed_in_own_incorporated_business","Female_Self_employed_in_own_incorporated_business","Male_Private_not_for_profit_wage_and_salary","Female_Private_not_for_profit_wage_and_salary","Male_Local_Government","Female_Local_Government","Male_State_Government","Female_State_Government","Male_Federal_Government","Female_Federal_Government","Male_Self_employed_in_own_not_incorporated_business","Female_Self_employed_in_own_not_incorporated_business","Male_Unpaid_family","Female_Unpaid_family","Male_35_hours_or_more","Female_35_hours_or_more","Male_15_T_34_hours","Female_15_T_34_hours","Male_1_T_14_hours","Female_1_T_14_hours","Male_No_Hours","Female_No_Hours","STATEFP","COUNTYFP","STATE_FIPS","Employee_of_a_Private_Company","Self_employed_in_own_incorporated_business","Private_not_for_profit_wage_and_salary","Local_Government","State_Government","Federal_Government","Self_employed_in_own_not_incorporated_business","Unpaid_family","Worked_35_hours_or_more","Worked_15_T_34_hours","Worked_1_T_14_hours","Worked_No_Hours","Year"
"Meigs County, Tennessee","2205","9692","1852","23032","2161","1298","20","47","84","148","100","207","37","108","110","55","203","105","19","0","2600","1491","242","680","40","93","764","1495","47","121","47121","3459","67","232","307","145","165","308","19","4091","922","133","2259","2020"
"Montgomery County, Tennessee","57366","137446","24675","31258","28525","28129","1284","682","1418","2513","3436","4885","1671","1865","4096","2892","2522","1745","67","50","49128","34772","5342","12003","1445","1903","12361","19385","47","125","47125","56654","1966","3931","8321","3536","6988","4267","117","83900","17345","3348","31746","2020"
"Moore County, Tennessee","1260","4883","505","31094","1027","922","50","4","35","5","92","116","79","66","3","43","234","113","0","0","1319","1100","133","178","29","85","464","664","47","127","47127","1949","54","40","208","145","46","347","0","2419","311","114","1128","2020"
"Obion County, Tennessee","6057","23125","5673","24312","4588","4114","144","82","283","489","387","550","283","442","50","50","779","310","19","43","5715","4512","635","1367","274","295","2308","3156","47","131","47131","8702","226","772","937","725","100","1089","62","10227","2002","569","5464","2020"
"Overton County, Tennessee","4484","16840","4200","23377","3055","3215","160","36","238","332","286","402","114","115","153","118","915","319","76","11","4198","3596","590","814","190","208","1600","2185","47","133","47133","6270","196","570","688","229","271","1234","87","7794","1404","398","3785","2020"
"Pickett County, Tennessee","616","4314","966","23716","599","519","0","0","55","34","72","91","51","111","118","0","176","42","0","0","933","565","103","277","15","0","363","525","47","137","47137","1118","0","89","163","162","118","218","0","1498","380","15","888","2020"
"Polk County, Tennessee","2949","13304","2046","25335","2847","2212","36","38","152","353","368","420","109","182","80","16","433","101","0","4","3975","2740","247","689","85","239","1021","1451","47","139","47139","5059","74","505","788","291","96","534","4","6715","936","324","2472","2020"
"Rhea County, Tennessee","7503","24200","5449","24581","4717","3687","196","98","390","640","498","756","389","187","491","195","517","266","4","0","6478","4385","834","1429","320","377","2575","4014","47","143","47143","8404","294","1030","1254","576","686","783","4","10863","2263","697","6589","2020"
"Roane County, Tennessee","10549","41583","7117","28840","8049","6739","306","193","455","1350","863","1066","344","468","1118","389","944","621","23","41","10515","7699","1364","2878","276","393","4021","5573","47","145","47145","14788","499","1805","1929","812","1507","1565","64","18214","4242","669","9594","2020"
"Rutherford County, Tennessee","88737","222823","32953","34261","67866","57382","2120","1243","3688","6388","4109","6394","3195","4568","2216","2048","6524","4004","84","106","80013","64114","11270","18701","2534","3541","14363","24696","47","149","47149","125248","3363","10076","10503","7763","4264","10528","190","144127","29971","6075","39059","2020"
"Scott County, Tennessee","4811","16346","4734","20376","3100","2718","160","87","94","143","258","586","110","245","90","172","275","121","44","0","4253","3087","213","1043","101","197","2262","2581","47","151","47151","5818","247","237","844","355","262","396","44","7340","1256","298","4843","2020"
"Sequatchie County, Tennessee","2525","11921","3174","23270","2362","1704","110","71","115","216","303","363","93","87","116","38","325","230","4","0","2731","1852","509","719","42","145","1610","1785","47","153","47153","4066","181","331","666","180","154","555","4","4583","1228","187","3395","2020"
"Shelby County, Tennessee","236788","661398","174362","30203","156726","147135","6811","2747","14605","25213","12651","19234","3921","7620","5690","6878","13291","8276","357","528","183832","171941","29319","44453","7047","11264","65891","87748","47","157","47157","303861","9558","39818","31885","11541","12568","21567","885","355773","73772","18311","153639","2020"
"Smith County, Tennessee","4138","15052","2904","29468","3734","2843","91","55","95","382","355","402","103","301","20","57","405","187","0","0","4280","3494","453","702","37","175","1657","1908","47","159","47159","6577","146","477","757","404","77","592","0","7774","1155","212","3565","2020"
"Sullivan County, Tennessee","30257","122861","24071","25607","26239","21710","932","492","1743","3415","1859","2973","810","1362","622","318","3127","1596","40","58","31208","24029","4831","8075","926","1862","10671","14834","47","163","47163","47949","1424","5158","4832","2172","940","4723","98","55237","12906","2788","25505","2020"
"Sumner County, Tennessee","43560","138078","18421","33701","35414","31511","2023","801","2012","4262","3307","4323","1079","1722","1032","544","4394","2194","74","78","43301","34345","4752","9264","1432","2893","8826","13953","47","165","47165","66925","2824","6274","7630","2801","1576","6588","152","77646","14016","4325","22779","2020"
"Trousdale County, Tennessee","2419","8172","918","29813","1864","1451","37","17","253","107","107","219","108","119","105","36","98","196","30","0","2360","1671","394","374","102","65","2102","597","47","169","47169","3315","54","360","326","227","141","294","30","4031","768","167","2699","2020"
"Unicoi County, Tennessee","3247","14257","3039","22185","3028","1994","154","46","149","580","481","293","63","145","189","59","310","115","0","0","3697","2821","552","521","101","88","1407","1875","47","171","47171","5022","200","729","774","208","248","425","0","6518","1073","189","3282","2020"
"Van Buren County, Tennessee","1145","4503","856","23918","734","690","61","33","29","75","247","158","49","113","0","33","98","71","0","15","1122","895","81","247","15","54","525","558","47","175","47175","1424","94","104","405","162","33","169","15","2017","328","69","1083","2020"
